sector_name,dataset_id,row_id,dataset_name,publisher,dataset_type,information_requirements_satisfied,related_gpc_sector,geographic_coverage,geographic_granularity,granularity_class,temporal_coverage,update_frequency,data_format,open_restricted,license,api_available,download_url,documentation_url,short_description,limitations,confidence_level,authoritative_tier,data_tier,usage_type
Commercial & institutional buildings,PHL-001,PHL-001-I.2,Philippines Biennial Transparency Report (BTR1) — National GHG Inventories 2015 & 2020,Climate Change Commission (CCC) / UNFCCC,Emissions,"National GHG emissions/removals by Energy, Transport, AFOLU, IPPU, Waste; inventory methods and sectoral results",I.2,Philippines (national),National,national,Inventory years 2015 and 2020 (BTR submitted 2025),BTR/NIR cycle (biennial target under EO 174),PDF (+ CTF tables),Open,Not identified (UNFCCC public),No,https://unfccc.int/sites/default/files/resource/%5BFinal%5D%20Philippine%20Biennial%20Transparency%20Report.pdf,https://unfccc.int/documents/646252,Official BTR1 consolidating 2015 and 2020 national GHG inventories under PGHGIMRS (EO 174).,National totals; not LGU boundary. Underlying agency microdata not fully published with BTR.,High,Primary official,Local + activity-based,validation
Commercial & institutional buildings,PHL-003,PHL-003-I.2,"Philippine Power Statistics (sales, generation, capacity by grid/region/sector)",Department of Energy (DOE) — EPIMB,Activity,"Electricity generation by technology/grid; electricity sales & consumption by sector (residential, commercial, industrial, others); regional sales; monthly series",I.2,Philippines (Luzon/Visayas/Mindanao grids; regional sales tables),Grid / region / sector (not barangay),state_or_province,2003–2024/2025 series publicly posted,Annual (with monthly files),XLSX / PDF tables,Open,Not identified,No,https://doe.gov.ph/site/epimb/articles/group/statistics?category=Philippine+Power+Statistics&display_type=Card,https://legacy.doe.gov.ph/energy-statistics/philippine-power-statistics,Flagship open power statistics with sectoral electricity sales — among the strongest national electricity activity products in SEA for city downscaling.,Not LGU/customer-meter extracts; franchise utilities hold city detail; coal-heavy grid EF needed for Scope 2.,High,Primary official,Local + activity-based,local source
Commercial & institutional buildings,PHL-004,PHL-004-I.2,Key Energy Statistics / Energy Supply and Demand Situationer / Energy Balance Table,DOE — EPPB,Activity,Primary/final energy by fuel; petroleum consumption by sector; coal/oil/gas production & imports; self-sufficiency,I.2,Philippines,National; fuel/sector,national,Annual (e.g. 2023–2024 KES pocketbook),Annual (EBT by mid-year mandate),PDF,Open,Not identified,No,https://prod-cms.doe.gov.ph/documents/d/guest/-final-11-20-25_doe-key-energy-stat-pocket-size-2024-pdf,https://doe.gov.ph/site/eppb/articles/group/statistics?category=Energy+Statistics+%2F+Data+Visualizations&display_type=Card,Official energy statistics pocketbook and situationers including coal/oil/gas production and petroleum use by sector.,City fuel sales not included; biomass traditional use may be under-resolved for LGU inventories.,High,Primary official,Local + activity-based,local source
Commercial & institutional buildings,PHL-006,PHL-006-I.2,Meralco distribution sales / annual reports (franchise area),Manila Electric Company (Meralco),Activity,Electricity distribution volume and customer counts for large Metro Manila / franchise area (~50%+ of national sales historically cited),I.2,Meralco franchise (Metro Manila and surrounding areas),Franchise / customer segment in reports,facility_or_asset,"Annual reports (e.g. 2022: 48,916 GWh)",Annual,PDF / web,Open (aggregates),Not identified,No,https://www.meralco.com.ph/2022-annual-report,https://www.meralco.com.ph/,Largest private DUs public sales volumes — key city-metro electricity activity source when LGU-level extracts obtained via request.,LGU-by-sector extracts typically require formal LGU request (documented in CCC community inventory guidance); not fully open barangay tables.,High,Primary operator,Local + activity-based,local source
Commercial & institutional buildings,PHL-014,PHL-014-I.2,Quezon City GHG inventory / Enhanced QC-LCCAP (GPC-based),Quezon City Government (C40 / partners),Emissions,"City territorial GHG inventory by sector (stationary energy, transport, waste) for reference year ~2016",I.2,Quezon City,City,city_or_municipality,2016 baseline cited in LCCAP (~8 MtCO2e),Plan/update cycles (not confirmed annual open inventory),PDF plans/reports,Open,Not identified,No,https://www.burohappold.com/wp-content/uploads/2022/08/C40_CC_QuezonCity_Report_web.pdf,https://www.env.go.jp/earth/coop/lowcarbon-asia/english/project/data/EN_PHL_2023_01.pdf,Published city-scale GHG inventory results for Quezon City under GPC-aligned planning.,Dated baseline; full CIRIS workbook not always public; rail electricity noted confidential.,High,City official,Local + activity-based,validation
Commercial & institutional buildings,PHL-019,PHL-019-I.2,EDGAR GHG gridded & cities emissions,European Commission JRC,Emissions,Modeled sectoral GHG grids and city products,I.2,Global including Philippines,0.1° / 1 km city products,modeled_grid,1970–2024,Periodic,NetCDF/CSV,Open,As stated by JRC,No,https://edgar.jrc.ec.europa.eu/emissions_data_and_maps,https://edgar.jrc.ec.europa.eu/,"Downscaling baseline only (OEF–C40/GCOM workshop, 14 Aug 2026): use EDGAR city/national coefficients to downscale national UNFCCC inventories for cities without local data. Not a primary source.","Modeled; methodological limitations acknowledged in OEF–C40/GCOM decision. Not a primary city inventory. Where local activity data or official inventories exist (DOE/PSA/BTR/LGU), those take precedence.",High,International modeled,International / global + downscaled,alternative international
Manufacturing industries & construction,PHL-001,PHL-001-I.3,Philippines Biennial Transparency Report (BTR1) — National GHG Inventories 2015 & 2020,Climate Change Commission (CCC) / UNFCCC,Emissions,"National GHG emissions/removals by Energy, Transport, AFOLU, IPPU, Waste; inventory methods and sectoral results",I.3,Philippines (national),National,national,Inventory years 2015 and 2020 (BTR submitted 2025),BTR/NIR cycle (biennial target under EO 174),PDF (+ CTF tables),Open,Not identified (UNFCCC public),No,https://unfccc.int/sites/default/files/resource/%5BFinal%5D%20Philippine%20Biennial%20Transparency%20Report.pdf,https://unfccc.int/documents/646252,Official BTR1 consolidating 2015 and 2020 national GHG inventories under PGHGIMRS (EO 174).,National totals; not LGU boundary. Underlying agency microdata not fully published with BTR.,High,Primary official,Local + activity-based,validation
Manufacturing industries & construction,PHL-003,PHL-003-I.3,"Philippine Power Statistics (sales, generation, capacity by grid/region/sector)",Department of Energy (DOE) — EPIMB,Activity,"Electricity generation by technology/grid; electricity sales & consumption by sector (residential, commercial, industrial, others); regional sales; monthly series",I.3,Philippines (Luzon/Visayas/Mindanao grids; regional sales tables),Grid / region / sector (not barangay),state_or_province,2003–2024/2025 series publicly posted,Annual (with monthly files),XLSX / PDF tables,Open,Not identified,No,https://doe.gov.ph/site/epimb/articles/group/statistics?category=Philippine+Power+Statistics&display_type=Card,https://legacy.doe.gov.ph/energy-statistics/philippine-power-statistics,Flagship open power statistics with sectoral electricity sales — among the strongest national electricity activity products in SEA for city downscaling.,Not LGU/customer-meter extracts; franchise utilities hold city detail; coal-heavy grid EF needed for Scope 2.,High,Primary official,Local + activity-based,local source
Manufacturing industries & construction,PHL-004,PHL-004-I.3,Key Energy Statistics / Energy Supply and Demand Situationer / Energy Balance Table,DOE — EPPB,Activity,Primary/final energy by fuel; petroleum consumption by sector; coal/oil/gas production & imports; self-sufficiency,I.3,Philippines,National; fuel/sector,national,Annual (e.g. 2023–2024 KES pocketbook),Annual (EBT by mid-year mandate),PDF,Open,Not identified,No,https://prod-cms.doe.gov.ph/documents/d/guest/-final-11-20-25_doe-key-energy-stat-pocket-size-2024-pdf,https://doe.gov.ph/site/eppb/articles/group/statistics?category=Energy+Statistics+%2F+Data+Visualizations&display_type=Card,Official energy statistics pocketbook and situationers including coal/oil/gas production and petroleum use by sector.,City fuel sales not included; biomass traditional use may be under-resolved for LGU inventories.,High,Primary official,Local + activity-based,local source
Manufacturing industries & construction,PHL-005,PHL-005-I.3,"PSA OpenSTAT — Energy, Agriculture, Environment databases",Philippine Statistics Authority (PSA),Activity,"Open statistical tables for energy, agriculture/forestry/fisheries, environment; allocation proxies",I.3,Philippines,National to regional/provincial depending on table,state_or_province,Multi-year PX-Web series,As PSA releases,PX-Web / CSV export,Open,Open (attribution required per OpenSTAT),Yes (PX-Web),https://openstat.psa.gov.ph/,https://openstat.psa.gov.ph/,National open statistics platform with energy and AFOLU-related tables usable for activity and allocation.,Coverage uneven across GPC needs; not utility meter data.,High,Primary official,Local + activity-based,local source
Manufacturing industries & construction,PHL-006,PHL-006-I.3,Meralco distribution sales / annual reports (franchise area),Manila Electric Company (Meralco),Activity,Electricity distribution volume and customer counts for large Metro Manila / franchise area (~50%+ of national sales historically cited),I.3,Meralco franchise (Metro Manila and surrounding areas),Franchise / customer segment in reports,facility_or_asset,"Annual reports (e.g. 2022: 48,916 GWh)",Annual,PDF / web,Open (aggregates),Not identified,No,https://www.meralco.com.ph/2022-annual-report,https://www.meralco.com.ph/,Largest private DUs public sales volumes — key city-metro electricity activity source when LGU-level extracts obtained via request.,LGU-by-sector extracts typically require formal LGU request (documented in CCC community inventory guidance); not fully open barangay tables.,High,Primary operator,Local + activity-based,local source
Manufacturing industries & construction,PHL-014,PHL-014-I.3,Quezon City GHG inventory / Enhanced QC-LCCAP (GPC-based),Quezon City Government (C40 / partners),Emissions,"City territorial GHG inventory by sector (stationary energy, transport, waste) for reference year ~2016",I.3,Quezon City,City,city_or_municipality,2016 baseline cited in LCCAP (~8 MtCO2e),Plan/update cycles (not confirmed annual open inventory),PDF plans/reports,Open,Not identified,No,https://www.burohappold.com/wp-content/uploads/2022/08/C40_CC_QuezonCity_Report_web.pdf,https://www.env.go.jp/earth/coop/lowcarbon-asia/english/project/data/EN_PHL_2023_01.pdf,Published city-scale GHG inventory results for Quezon City under GPC-aligned planning.,Dated baseline; full CIRIS workbook not always public; rail electricity noted confidential.,High,City official,Local + activity-based,validation
Manufacturing industries & construction,PHL-017,PHL-017-I.3,Oil and gas production & petroleum product consumption by sector (KES),DOE,Activity,"Domestic oil/gas production; petroleum products consumption by sector (transport, industry, etc.)",I.3,Philippines,National; sector for products,national,Annual,Annual,PDF,Open,Not identified,No,https://prod-cms.doe.gov.ph/documents/d/guest/-final-11-20-25_doe-key-energy-stat-pocket-size-2024-pdf,https://doe.gov.ph/,Official oil/gas production and petroleum demand by sector for combustion and fugitive screening.,Distribution network leakage rates not published; LGU pump sales absent.,High,Primary official,Local + activity-based,local source
Manufacturing industries & construction,PHL-018,PHL-018-I.3,Cement industry production/capacity disclosures (CeMAP / DTI context),Cement Manufacturers Association of the Philippines (CeMAP) / DTI citations,Activity,Cement production/capacity and import context for IPPU process emissions,I.3,Philippines,National industry; plants not fully open individually,national,Industry announcements / market years ~2020–2025,Irregular public,Web / trade press / association,Partial Open,Not identified,No,https://www.datamintelligence.com/research-report/philippines-cement-market,https://niccdies.climate.gov.ph/ghg-inventory,Industry cement capacity/production figures used with BTR IPPU for process emissions.,Association microdata not fully open; plant geocoded EF tables incomplete publicly.,Medium,Industry association,Local + activity-based,local source
Manufacturing industries & construction,PHL-019,PHL-019-I.3,EDGAR GHG gridded & cities emissions,European Commission JRC,Emissions,Modeled sectoral GHG grids and city products,I.3,Global including Philippines,0.1° / 1 km city products,modeled_grid,1970–2024,Periodic,NetCDF/CSV,Open,As stated by JRC,No,https://edgar.jrc.ec.europa.eu/emissions_data_and_maps,https://edgar.jrc.ec.europa.eu/,"Downscaling baseline only (OEF–C40/GCOM workshop, 14 Aug 2026): use EDGAR city/national coefficients to downscale national UNFCCC inventories for cities without local data. Not a primary source.","Modeled; methodological limitations acknowledged in OEF–C40/GCOM decision. Not a primary city inventory. Where local activity data or official inventories exist (DOE/PSA/BTR/LGU), those take precedence.",High,International modeled,International / global + downscaled,alternative international
Manufacturing industries & construction,PHL-020,PHL-020-I.3,Climate TRACE inventory,Climate TRACE,Emissions,Asset and urban-area emissions estimates,I.3,Global including Philippines,Asset / urban area,modeled_grid,Monthly recent years,Periodic,CSV/API,Open,As stated by Climate TRACE,Yes,https://climatetrace.org/,https://climatetrace.org/,"Asset/urban emissions useful for power, industry, waste, transport gap-fill.",Not official; boundary mismatch with LGUs possible.,Medium,International modeled,International / global + downscaled,alternative international
Energy industries,PHL-001,PHL-001-I.4,Philippines Biennial Transparency Report (BTR1) — National GHG Inventories 2015 & 2020,Climate Change Commission (CCC) / UNFCCC,Emissions,"National GHG emissions/removals by Energy, Transport, AFOLU, IPPU, Waste; inventory methods and sectoral results",I.4,Philippines (national),National,national,Inventory years 2015 and 2020 (BTR submitted 2025),BTR/NIR cycle (biennial target under EO 174),PDF (+ CTF tables),Open,Not identified (UNFCCC public),No,https://unfccc.int/sites/default/files/resource/%5BFinal%5D%20Philippine%20Biennial%20Transparency%20Report.pdf,https://unfccc.int/documents/646252,Official BTR1 consolidating 2015 and 2020 national GHG inventories under PGHGIMRS (EO 174).,National totals; not LGU boundary. Underlying agency microdata not fully published with BTR.,High,Primary official,Local + activity-based,validation
Energy industries,PHL-003,PHL-003-I.4,"Philippine Power Statistics (sales, generation, capacity by grid/region/sector)",Department of Energy (DOE) — EPIMB,Activity,"Electricity generation by technology/grid; electricity sales & consumption by sector (residential, commercial, industrial, others); regional sales; monthly series",I.4,Philippines (Luzon/Visayas/Mindanao grids; regional sales tables),Grid / region / sector (not barangay),state_or_province,2003–2024/2025 series publicly posted,Annual (with monthly files),XLSX / PDF tables,Open,Not identified,No,https://doe.gov.ph/site/epimb/articles/group/statistics?category=Philippine+Power+Statistics&display_type=Card,https://legacy.doe.gov.ph/energy-statistics/philippine-power-statistics,Flagship open power statistics with sectoral electricity sales — among the strongest national electricity activity products in SEA for city downscaling.,Not LGU/customer-meter extracts; franchise utilities hold city detail; coal-heavy grid EF needed for Scope 2.,High,Primary official,Local + activity-based,local source
Energy industries,PHL-004,PHL-004-I.4,Key Energy Statistics / Energy Supply and Demand Situationer / Energy Balance Table,DOE — EPPB,Activity,Primary/final energy by fuel; petroleum consumption by sector; coal/oil/gas production & imports; self-sufficiency,I.4,Philippines,National; fuel/sector,national,Annual (e.g. 2023–2024 KES pocketbook),Annual (EBT by mid-year mandate),PDF,Open,Not identified,No,https://prod-cms.doe.gov.ph/documents/d/guest/-final-11-20-25_doe-key-energy-stat-pocket-size-2024-pdf,https://doe.gov.ph/site/eppb/articles/group/statistics?category=Energy+Statistics+%2F+Data+Visualizations&display_type=Card,Official energy statistics pocketbook and situationers including coal/oil/gas production and petroleum use by sector.,City fuel sales not included; biomass traditional use may be under-resolved for LGU inventories.,High,Primary official,Local + activity-based,local source
Energy industries,PHL-016,PHL-016-I.4,Coal production by source (Key Energy Statistics),DOE,Activity,Coal production by mine/source (e.g. Semirara) for fugitive/energy-industry coal activity,I.4,Philippines coal-producing areas,Source/mine group in KES tables,other_or_mixed,Annual in KES,Annual,PDF tables,Open,Not identified,No,https://prod-cms.doe.gov.ph/documents/d/guest/-final-11-20-25_doe-key-energy-stat-pocket-size-2024-pdf,https://doe.gov.ph/,Official coal production by source supporting fugitive methane and energy-industry fuel accounting where relevant.,Mine-level methane monitoring not open; most cities have no coal mines inside boundary.,High,Primary official,Local + activity-based,local source
Energy industries,PHL-019,PHL-019-I.4,EDGAR GHG gridded & cities emissions,European Commission JRC,Emissions,Modeled sectoral GHG grids and city products,I.4,Global including Philippines,0.1° / 1 km city products,modeled_grid,1970–2024,Periodic,NetCDF/CSV,Open,As stated by JRC,No,https://edgar.jrc.ec.europa.eu/emissions_data_and_maps,https://edgar.jrc.ec.europa.eu/,"Downscaling baseline only (OEF–C40/GCOM workshop, 14 Aug 2026): use EDGAR city/national coefficients to downscale national UNFCCC inventories for cities without local data. Not a primary source.","Modeled; methodological limitations acknowledged in OEF–C40/GCOM decision. Not a primary city inventory. Where local activity data or official inventories exist (DOE/PSA/BTR/LGU), those take precedence.",High,International modeled,International / global + downscaled,alternative international
Energy industries,PHL-020,PHL-020-I.4,Climate TRACE inventory,Climate TRACE,Emissions,Asset and urban-area emissions estimates,I.4,Global including Philippines,Asset / urban area,modeled_grid,Monthly recent years,Periodic,CSV/API,Open,As stated by Climate TRACE,Yes,https://climatetrace.org/,https://climatetrace.org/,"Asset/urban emissions useful for power, industry, waste, transport gap-fill.",Not official; boundary mismatch with LGUs possible.,Medium,International modeled,International / global + downscaled,alternative international
Energy industries,PHL-022,PHL-022-I.4,Global Power Plant Database (Philippines),WRI,Activity,"Power plant locations, fuels, capacities",I.4,Philippine plants in global DB,Facility,modeled_grid,Snapshot (verify vs DOE),Irregular,CSV,Open,CC-BY 4.0 (typical),No,https://datasets.wri.org/dataset/globalpowerplantdatabase,https://datasets.wri.org/dataset/globalpowerplantdatabase,Facility registry for territorial energy-industry emissions geocoding.,May miss newest plants; pair with DOE Power Statistics.,Medium,International compiled,International + activity-based,alternative international
"Agriculture, forestry & fishing energy",PHL-001,PHL-001-I.5,Philippines Biennial Transparency Report (BTR1) — National GHG Inventories 2015 & 2020,Climate Change Commission (CCC) / UNFCCC,Emissions,"National GHG emissions/removals by Energy, Transport, AFOLU, IPPU, Waste; inventory methods and sectoral results",I.5,Philippines (national),National,national,Inventory years 2015 and 2020 (BTR submitted 2025),BTR/NIR cycle (biennial target under EO 174),PDF (+ CTF tables),Open,Not identified (UNFCCC public),No,https://unfccc.int/sites/default/files/resource/%5BFinal%5D%20Philippine%20Biennial%20Transparency%20Report.pdf,https://unfccc.int/documents/646252,Official BTR1 consolidating 2015 and 2020 national GHG inventories under PGHGIMRS (EO 174).,National totals; not LGU boundary. Underlying agency microdata not fully published with BTR.,High,Primary official,Local + activity-based,validation
"Agriculture, forestry & fishing energy",PHL-004,PHL-004-I.5,Key Energy Statistics / Energy Supply and Demand Situationer / Energy Balance Table,DOE — EPPB,Activity,Primary/final energy by fuel; petroleum consumption by sector; coal/oil/gas production & imports; self-sufficiency,I.5,Philippines,National; fuel/sector,national,Annual (e.g. 2023–2024 KES pocketbook),Annual (EBT by mid-year mandate),PDF,Open,Not identified,No,https://prod-cms.doe.gov.ph/documents/d/guest/-final-11-20-25_doe-key-energy-stat-pocket-size-2024-pdf,https://doe.gov.ph/site/eppb/articles/group/statistics?category=Energy+Statistics+%2F+Data+Visualizations&display_type=Card,Official energy statistics pocketbook and situationers including coal/oil/gas production and petroleum use by sector.,City fuel sales not included; biomass traditional use may be under-resolved for LGU inventories.,High,Primary official,Local + activity-based,local source
"Agriculture, forestry & fishing energy",PHL-012,PHL-012-I.5,PSA livestock & poultry / crops surveys (OpenSTAT Agriculture),PSA,Activity,Livestock and poultry inventory; crop area/production; farm statistics for AFOLU,I.5,Philippines,National/regional/provincial (survey design),state_or_province,Quarterly/annual livestock & crops series,Quarterly livestock; seasonal crops,PX-Web / PDF releases,Open,OpenSTAT terms,Yes,https://openstat.psa.gov.ph/Database/Agriculture-Forestry-Fisheries/Agricultural-Accounts,https://psa.gov.ph/,Official livestock and crop statistics — strong AFOLU activity foundation including rice systems.,Manure management detail limited; city herds need allocation; fertilizer maps incomplete.,High,Primary official,Local + activity-based,local source
Non-specified sources,NO-COVERAGE,NO-COVERAGE-I.6,No suitable dataset identified (I.6),,,,I.6,,,unknown,,,,,,,,,No suitable dataset identified for this GPC subsector in the current research pass.,,,,,
"Fugitive emissions from mining, processing, storage & transport of coal",PHL-001,PHL-001-I.7,Philippines Biennial Transparency Report (BTR1) — National GHG Inventories 2015 & 2020,Climate Change Commission (CCC) / UNFCCC,Emissions,"National GHG emissions/removals by Energy, Transport, AFOLU, IPPU, Waste; inventory methods and sectoral results",I.7,Philippines (national),National,national,Inventory years 2015 and 2020 (BTR submitted 2025),BTR/NIR cycle (biennial target under EO 174),PDF (+ CTF tables),Open,Not identified (UNFCCC public),No,https://unfccc.int/sites/default/files/resource/%5BFinal%5D%20Philippine%20Biennial%20Transparency%20Report.pdf,https://unfccc.int/documents/646252,Official BTR1 consolidating 2015 and 2020 national GHG inventories under PGHGIMRS (EO 174).,National totals; not LGU boundary. Underlying agency microdata not fully published with BTR.,High,Primary official,Local + activity-based,validation
"Fugitive emissions from mining, processing, storage & transport of coal",PHL-004,PHL-004-I.7,Key Energy Statistics / Energy Supply and Demand Situationer / Energy Balance Table,DOE — EPPB,Activity,Primary/final energy by fuel; petroleum consumption by sector; coal/oil/gas production & imports; self-sufficiency,I.7,Philippines,National; fuel/sector,national,Annual (e.g. 2023–2024 KES pocketbook),Annual (EBT by mid-year mandate),PDF,Open,Not identified,No,https://prod-cms.doe.gov.ph/documents/d/guest/-final-11-20-25_doe-key-energy-stat-pocket-size-2024-pdf,https://doe.gov.ph/site/eppb/articles/group/statistics?category=Energy+Statistics+%2F+Data+Visualizations&display_type=Card,Official energy statistics pocketbook and situationers including coal/oil/gas production and petroleum use by sector.,City fuel sales not included; biomass traditional use may be under-resolved for LGU inventories.,High,Primary official,Local + activity-based,local source
