indicator_id,indicator_name,risk_components,kinds,attributes,sectors_served,climatic_risks_served,n_sector_risk_uses,has_future_horizon,description
CCRA-018,Inadequate Sanitation,Vulnerability,Socioeconomic,Sensitivity,Public Health,Diseases,1,no,"Basic sanitation has a direct impact on public health. A population with widespread access to water, sanitation and waste collection is less susceptible to disease."
CCRA-019,Inadequate water access,Vulnerability,Socioeconomic,Adaptive capacity; Sensitivity,Public Health; Water Resources,Diseases; Droughts,2,no,Share of population without reliable access to safe drinking water. Limited water access increases drought and disease impacts.
CCRA-020,Income,Vulnerability,Socioeconomic,Sensitivity,Energy Security; Food Security; Hydrogeological Disasters; Public Health; Water Resources,Diseases; Droughts; Floods; Heatwaves; Landslides,9,no,"Low-income population share (or equivalent poverty measure). Lower income reduces capacity to prepare for, cope with, and recover from climate impacts."
CCRA-021,Industrial GDP share,Vulnerability,Economic,Adaptive capacity,Infrastructures,Erosions; Heatwave; Landslides; Sea level rise,4,no,"Share of industry in local GDP, indicating economic assets that may be disrupted by climate hazards."
CCRA-022,Landslide Susceptibility,Vulnerability,Physical,Sensitivity,Infrastructures,Landslides,1,no,Physical predisposition of terrain to landslides; used as a vulnerability or hazard-context layer for infrastructure and communities.
CCRA-023,Landslide Threat Index,Hazard,Bioclimatic,Susceptibility,Hydrogeological Disasters; Infrastructures,Landslides,6,yes,"Modeled landslide susceptibility from topography (elevation, slope, curvature, flow accumulation), geology/soils, land cover, distance to streams, and extreme rainfall indices (e.g. Rx1day, Rx5day)."
CCRA-024,Maximum Consecutive Dry Days (CDD),Hazard,Climatic,Duration,Biodiversity; Energy Security; Food Security; Water Resources,Droughts,12,yes,Determine the maximum period of days without rains in a year
CCRA-025,Maximum Precipitation 5 days (Rx5day),Hazard,Bioclimatic; Climatic,Intensity,Food Security; Infrastructures; Public Health,Diseases; Erosions; Floods,7,yes,"Maximum annual precipitation in 5 (five) consecutive days (mm). Maximum accumulated precipitation in 5 days, occurring in one year."
CCRA-026,Maximum temperature,Hazard,Bioclimatic; Climatic,Intensity,Biodiversity; Energy Security; Infrastructures; Public Health,Diseases; Heatwave; Heatwaves,13,yes,Mean or extreme maximum temperature for a historical baseline period in the study area (e.g. multi-year climatology).
CCRA-027,Natural vegetation cover,Exposure; Vulnerability,Physical,Exposure,Biodiversity; Hydrogeological Disasters,Droughts; Heatwaves; Landslides,3,no,Share of the study area covered by forest or other natural vegetation. Higher natural cover can reduce landslide and erosion sensitivity and supports biodiversity.
CCRA-028,Population density,Exposure,Demographic,People exposure,Energy Security; Food Security; Hydrogeological Disasters; Infrastructures; Public Health; Water Resources,Diseases; Droughts; Floods; Heatwaves; Landslides; Sea level rise,10,no,"People per unit area. Higher density concentrates people and demand for services, increasing potential harm when a hazard occurs."
CCRA-029,Port infrastructures,Exposure,Physical,Infrastructure exposure,Infrastructures,Sea level rise,1,no,Port and related coastal infrastructure assets exposed to sea-level rise and coastal hazards.
CCRA-030,Power generation facilities,Exposure,Infrastructure,Infrastructure exposure,Energy Security,Droughts; Heatwaves,2,no,"Presence and density of power generation facilities (hydro, thermal, renewable) that may be affected by drought or heat stress."
CCRA-031,Protected areas,Exposure,Physical,Exposure,Biodiversity,Droughts; Heatwaves,2,no,Legally designated protected or conserved areas that preserve nature and manage natural resources.
CCRA-032,Railroad density,Exposure,Physical,Infrastructure exposure,Infrastructures,Erosions; Heatwave; Landslides,3,no,Density of railway network (length per unit area) in the study area.
CCRA-033,Relative humidity,Hazard,Bioclimatic,Intensity,Public Health,Diseases,1,yes,Humidity is critical for vectors breeding and survival.
CCRA-034,Road density,Exposure,Physical,Infrastructure exposure,Infrastructures,Erosions; Heatwave; Landslides,3,no,Density of road network (length per unit area) in the study area.
CCRA-035,Sea Level change,Hazard,Climatic,Intensity,Infrastructures,Sea level rise,3,yes,"Median projections of global and regional sea level rise, relative to a 1995-2014 baseline. IPCC AR6"
CCRA-036,Standardized Precipitation Evapotranspiration Index (SPEI),Hazard,Bioclimatic; Climatic,Duration/Severity/Frequency,Biodiversity; Energy Security; Food Security; Water Resources,Droughts,12,yes,Provide a more nuanced understanding of drought by accounting for precipitation and temperature to assess drought by determining water balance
CCRA-037,Total precipitation,Hazard,Climatic,Intensity,Food Security,Floods,3,yes,Total annual precipitation considering days in which 95% of the rainfall is greater than or equal to 1.0 millimeter. Indicates precipitation of extreme intensity. The indicator is the result of multiplying the total annual precipitation above the 95th percentile and the weight assigned by experts considering its relative importance to the problem of heavy rainfall.
CCRA-038,Urban infrastructure social vulnerability,Exposure,Physical,Infrastructure exposure,Infrastructures,Erosions; Heatwave; Landslides; Sea level rise,4,no,"Composite of urban infrastructure conditions related to sanitation, drainage, and mobility that shape exposure of people and assets."
CCRA-039,Urban stormwater drainage coverage,Vulnerability,Socioeconomic,Adaptive capacity,Hydrogeological Disasters,Floods,1,no,Share of urban roads/areas served by storm drains or equivalent public drainage systems.
CCRA-040,Waste Collection,Vulnerability,Socioeconomic,Sensitivity,Public Health,Diseases,1,no,Share of households or population with regular solid-waste collection. Poor waste services increase public-health sensitivity to climate hazards.
CCRA-041,Water security index,Vulnerability,Socioeconomic,Sensitivity,Water Resources,Droughts,1,no,"Composite water-security measure covering availability, access, and risk to water uses (adapt with national or global water-security frameworks)."
