indicator_name,dataset_id,row_id,dataset_name,publisher,dataset_type,information_requirements_satisfied,related_ccra_indicator,sectors_served,climatic_risks_served,risk_components,geographic_coverage,geographic_granularity,granularity_class,horizons_covered,temporal_coverage,update_frequency,data_format,open_restricted,license,api_available,download_url,documentation_url,short_description,limitations,confidence_level,authoritative_tier
Confirmed disease cases,ETH-A003,ETH-A003-CCRA-007,"DHS Ethiopia — water, sanitation, health & nutrition indicators",The DHS Program / ESS,Vulnerability,"Water access, sanitation, health service / malnutrition proxies",CCRA-007,Public Health,Diseases,Vulnerability,Ethiopia (survey-representative domains),Region / survey cluster (GPS displaced),state_or_province,present,DHS rounds (2000–2016+) + mini-DHS,Survey rounds,CSV / API aggregates; restricted microdata,Open aggregates (HDX/API); microdata registration,DHS terms,Yes (DHS API),https://data.humdata.org/dataset/dhs-data-for-ethiopia,https://dhsprogram.com/countries/Country-Main.cfm?ctry_id=65,"Standard DHS indicators for WASH, health, and nutrition; useful V/E proxies where census service fields are thin.","Not city-block continuous surfaces; cluster GPS displaced. Disease cases are survey prevalence, not surveillance case counts — weak for CCRA-007.",High,Secondary official
Dependence on large-scale irrigation,ETH-A023,ETH-A023-CCRA-008,"ESS Agricultural Sample Survey (AgSS) — crops, livestock, land use",Ethiopian Statistical Service (ESS),Exposure,"Agricultural land, production, holdings — food security exposure/vulnerability",CCRA-008,Food Security,Droughts,Vulnerability,Ethiopia,Region / zone (sometimes woreda tables in reports),state_or_province,present,Annual AgSS rounds,Annual,PDF/tables; some StatBank,Open reports; microdata restricted,See ESS,Partial,https://www.statsethiopia.gov.et/,https://www.statsethiopia.gov.et/,Core official agriculture statistics (strong AFOLU parallel to GPC ETH research).,City-scale farm establishment density weak; irrigated-area share not always spatial.,High,Primary official
Dependence on large-scale irrigation,ETH-A024,ETH-A024-CCRA-008,FAO / WaPOR / AQUASTAT — irrigated area & agricultural water,FAO,Vulnerability,Irrigation dependence and agricultural water-use proxies,CCRA-008,Food Security,Droughts,Vulnerability,Ethiopia / basins,Raster / national tables,modeled_grid,present,WaPOR seasons; AQUASTAT series,Product cadence,GeoTIFF / tables,Open,See FAO,Yes,https://wapor.apps.fao.org/,https://www.fao.org/aquastat/,Remote-sensing and statistical irrigation/water products for drought sensitivity of agriculture.,Not a farm-registry census of large-scale irrigation schemes.,Medium,International modeled
Electricity consumption,ETH-A029,ETH-A029-CCRA-009,EEU / MoWE electricity access & consumption statistics; Multi-Tier Framework (MTF),EEU / MoWE / energydata.info,Vulnerability,Electricity consumption and energy poverty / access tiers,CCRA-009,Energy Security,Droughts; Heatwaves,Vulnerability,Ethiopia,National / survey; limited woreda retail extracts,other_or_mixed,present,Annual utility reports + MTF survey,Irregular,Reports / survey microdata,Partially open,See sources,No,https://energydata.info/,https://www.eeu.gov.et/,Utility and MTF energy-access statistics; retail by woreda/customer class rarely open (same as GPC ETH).,City meter extracts not systematic open data.,Medium,Primary official
Energy poverty,ETH-A004,ETH-A004-CCRA-010,"HCES / LSMS-ISA Ethiopia — poverty, consumption, energy access",ESS / World Bank LSMS,Vulnerability,"Income/poverty, consumption, energy poverty proxies",CCRA-010,Energy Security,Droughts; Heatwaves,Vulnerability,Ethiopia,Survey strata (region/urban-rural); SAE poverty sometimes woreda,state_or_province,present,HCES / LSMS rounds,Survey rounds,Microdata (restricted) + published tables,Restricted microdata; open reports/tables,See World Bank/ESS,No,https://microdata.worldbank.org/,https://www.statsethiopia.gov.et/,Household consumption/expenditure and living-standards surveys underpinning poverty and energy-access vulnerability.,Direct open woreda poverty GIS not always published; small-area estimates exist in research/PSIA lineages.,High,Primary official
Energy poverty,ETH-A029,ETH-A029-CCRA-010,EEU / MoWE electricity access & consumption statistics; Multi-Tier Framework (MTF),EEU / MoWE / energydata.info,Vulnerability,Electricity consumption and energy poverty / access tiers,CCRA-010,Energy Security,Droughts; Heatwaves,Vulnerability,Ethiopia,National / survey; limited woreda retail extracts,other_or_mixed,present,Annual utility reports + MTF survey,Irregular,Reports / survey microdata,Partially open,See sources,No,https://energydata.info/,https://www.eeu.gov.et/,Utility and MTF energy-access statistics; retail by woreda/customer class rarely open (same as GPC ETH).,City meter extracts not systematic open data.,Medium,Primary official
Flood Threat Index,ETH-A007,ETH-A007-CCRA-011,"Ethiopia — Risk Assessment Indicators (HeiGIT GAIA / HDX, ADM2)",HeiGIT (via HDX),Hybrid,"ADM2 demographics, vulnerability, facilities, flood exposure",CCRA-011,Hydrogeological Disasters,Floods,Hazard,Ethiopia,Admin level 2,state_or_province,present,GAIA pipeline build,Publisher refresh,CSV,Open,See HDX,Yes (HDX),https://data.humdata.org/dataset/ethiopia---risk-assessment-indicators,https://data.humdata.org/dataset/ethiopia---risk-assessment-indicators,Pre-aggregated risk indicators including flood exposure at 30 cm depth for multiple return periods.,"Zone-level screening, not intra-city hotspots.",Medium,Research/NGO
Flood Threat Index,ETH-A008,ETH-A008-CCRA-011,CLIMADA / Floodbase historical flood footprint grids (Ethiopia),ETH Zurich Climada / Floodbase (via HDX),Hazard,Historical flood extent footprints as Flood Threat proxy,CCRA-011,Hydrogeological Disasters,Floods,Hazard,Ethiopia,~200 m flood footprint grids,modeled_grid,present,Events ~2000–2018,Dataset vintage,CSV/gridded extract,Open,See HDX,Yes (HDX),https://data.humdata.org/dataset/climada-flood-dataset,https://data.humdata.org/dataset/climada-flood-dataset,"Country flood hazard footprints from historical satellite-mapped events (Floodbase), packaged for DRA.",Historical footprint ≠ probabilistic return-period depth; incomplete event catalog.,Medium,Research/NGO
Flood Threat Index,ETH-A009,ETH-A009-CCRA-011,JRC Global River Flood Hazard Maps v2.1,European Commission JRC,Hazard,Modeled river flood hazard depths / return periods,CCRA-011,Hydrogeological Disasters,Floods,Hazard,Global (incl. Ethiopia),Raster return-period maps,modeled_grid,present,Model v2.1,Product versions,GeoTIFF,Open,See JRC/CDS,Yes,https://data.jrc.ec.europa.eu/,https://data.jrc.ec.europa.eu/collection/id-0054,Global fluvial flood hazard (OEF catalog jrc_gloflor_v2) — key input to OEF flood_hazard.,Fluvial focus; urban pluvial / flash floods in highlands may need local models.,High,International modeled
Flood Threat Index,ETH-A010,ETH-A010-CCRA-011,WRI Aqueduct Flood Hazard Maps,World Resources Institute,Hazard,Alternate global flood hazard,CCRA-011,Hydrogeological Disasters,Floods,Hazard,Global (incl. Ethiopia),Raster,modeled_grid,present,Aqueduct flood v2,Product versions,GeoTIFF,Open,See WRI,Yes,https://www.wri.org/data/aqueduct-floods,https://www.wri.org/aqueduct,Global flood hazard layers (catalog wri_aqueduct_flood).,Global model — validate with local flood footprints where available.,Medium,International modeled
Flood Threat Index,ETH-A011,ETH-A011-CCRA-011,"CHIRPS extreme precipitation (Rx5day, R90p…) + drought monitoring",UCSB Climate Hazards Center / CHIRPS,Hazard,"Rx5day, CDD drivers, total precip; widely used for Ethiopia drought/flood early warning",CCRA-011,Hydrogeological Disasters,Floods,Hazard,Global land (incl. Ethiopia),~0.05°,modeled_grid,present,1981–present,Near real-time,GeoTIFF / NetCDF,Open,Open,Yes,https://www.chc.ucsb.edu/data/chirps,https://www.chc.ucsb.edu/data/chirps,Satellite-station blended precip foundational for Ethiopia FEWS NET / NMA workflows and OEF FRI/landslide precip inputs.,Mountain bias; not NMA station truth.,High,International modeled
Flood Threat Index,ETH-A017,ETH-A017-CCRA-011,Copernicus DEM GLO-30 (+ slope/HAND derivatives),ESA / Copernicus,Hazard,Elevation/slope/HAND inputs for landslide & flood mechanisms,CCRA-011,Hydrogeological Disasters,Floods,Hazard,Global (incl. Ethiopia),30 m,modeled_grid,n/a,DEM mosaic,Product versions,GeoTIFF COG,Open,Copernicus,Yes,https://spacedata.copernicus.eu/,https://spacedata.copernicus.eu/,DEM foundation for OEF landslide_hazard and flood mechanism layers.,Terrain driver only.,High,International modeled
Flood Threat Index,ETH-A032,ETH-A032-CCRA-011,OEF CHIRPS–COPDEM Flood Risk Index (FRI) — global/present+SSP inputs,Open Earth Foundation (geospatial-data),Hazard,FRI present + SSP futures as flood-threat input family,CCRA-011,Hydrogeological Disasters,Floods,Hazard,Global pipeline / city AOIs,Model raster,modeled_grid,present;2030;2050,2024 baseline + SSP slices,Internal releases,GeoTIFF / COG,Internal/open per OEF policy,See OEF catalog,Via catalog/tiles,https://github.com/Open-Earth-Foundation/geospatial-data,https://github.com/Open-Earth-Foundation/geospatial-data/blob/main/catalog/datasets.yaml,OEF FRI layers (chirps_copdem_fri_*) — distinct from city flood_hazard ensemble.,Model product; calibrate with local flood footprints.,Medium,OEF derived screening
Flood Threat Index,ETH-A033,ETH-A033-CCRA-011,OEF Flood Hazard Score (city screening ensemble),Open Earth Foundation (models/flood_hazard),Hazard,City-AOI flood hazard screening index (0–1),CCRA-011,Hydrogeological Disasters,Floods,Hazard,"Pipeline-ready for Ethiopian cities (Addis Ababa, Dire Dawa, Hawassa, Bahir Dar, Mekelle, Adama, …). Published examples: POA/MN.",~250 m city grid,modeled_grid,present,Static ensemble of global fluvial inputs,Per city run,COG + XYZ tiles,Internal when published,CC BY 4.0,When published,https://github.com/Open-Earth-Foundation/geospatial-data/tree/main/transformation/flood_hazard,https://github.com/Open-Earth-Foundation/geospatial-data/blob/main/docs/ccra_pipeline_architecture.md,OEF flood_hazard: JRC GLOFLO + GFD + Aqueduct + GFPLAIN ensemble. Not yet published for ETH cities.,Requires site YAML + boundary. Screening only.,High,OEF derived screening
Flood Threat Index,ETH-A036,ETH-A036-CCRA-011,OEF Flood Risk Score H×E×V (city screening),Open Earth Foundation (flood_risk),Hybrid,R=(H×E×V)^(1/3) flood risk composite,CCRA-011,Hydrogeological Disasters,Floods,Hazard,Pipeline-ready for ETH cities,~250 m,modeled_grid,present,Static composite,Per city run,COG + tiles + zonal vector,Internal when published,CC BY 4.0,When published,https://github.com/Open-Earth-Foundation/geospatial-data/tree/main/transformation/flood_risk,https://github.com/Open-Earth-Foundation/geospatial-data/blob/main/docs/ccra_pipeline_architecture.md,OEF flood risk screening. ETH E/V via WorldPop/COD-PS/DHS analogues.,Local E/V adaptation required.,High,OEF derived screening
Flood Threat Index,ETH-A041,ETH-A041-CCRA-011,OEF Flood / Heat / Landslide mechanism-type layers (NbS screening),Open Earth Foundation (models/nbs_*_mechanism_type),Hazard,Dominant mechanism class per cell; drainage_constrained proxies stormwater gap,CCRA-011,Hydrogeological Disasters,Floods,Hazard,Pipeline-ready for ETH cities,~250 m / ~90 m,modeled_grid,present,Static classification,Per NbS screening run,Categorical COG + GeoJSON,Internal when published,CC BY 4.0,When published,https://github.com/Open-Earth-Foundation/geospatial-data/tree/main/transformation/nbs_screening,https://github.com/Open-Earth-Foundation/geospatial-data/blob/main/collections/layers.yaml,OEF mechanism-type rasters. Flood drainage_constrained remains proxy until municipal drainage GIS exists.,Screening classification only.,Medium,OEF derived screening
Food production and marketing,ETH-A023,ETH-A023-CCRA-012,"ESS Agricultural Sample Survey (AgSS) — crops, livestock, land use",Ethiopian Statistical Service (ESS),Exposure,"Agricultural land, production, holdings — food security exposure/vulnerability",CCRA-012,Food Security,Droughts; Floods,Vulnerability,Ethiopia,Region / zone (sometimes woreda tables in reports),state_or_province,present,Annual AgSS rounds,Annual,PDF/tables; some StatBank,Open reports; microdata restricted,See ESS,Partial,https://www.statsethiopia.gov.et/,https://www.statsethiopia.gov.et/,Core official agriculture statistics (strong AFOLU parallel to GPC ETH research).,City-scale farm establishment density weak; irrigated-area share not always spatial.,High,Primary official
Forest cover,ETH-A018,ETH-A018-CCRA-013,Hansen Global Forest Change (treecover / loss),UMD / GLAD,Hybrid,Forest cover and forest loss,CCRA-013,Infrastructures,Erosions; Heatwave,Vulnerability,Global (incl. Ethiopia),~30 m,modeled_grid,present,2000 + annual loss,Annual,GeoTIFF,Open,CC BY 4.0,Yes (GEE),https://glad.earthengine.app/view/global-forest-change,https://storage.googleapis.com/earthenginepartners-hansen/GFC-2023-v1.11/download.html,Standard forest cover/loss (OEF hansen_*).,Dryland woodland/classification caveats.,High,International modeled
Forest cover,ETH-A019,ETH-A019-CCRA-013,ESA WorldCover / Dynamic World land cover,ESA / Google+WRI,Hybrid,Natural vegetation and agricultural land proxies,CCRA-013,Infrastructures,Erosions; Heatwave,Vulnerability,Global (incl. Ethiopia),10 m,modeled_grid,present,Annual / NRT,Product cadence,GeoTIFF / GEE,Open,Open,Yes,https://esa-worldcover.org/,https://developers.google.com/earth-engine/datasets/catalog/GOOGLE_DYNAMICWORLD_V1,Land-cover rasters for vegetation and cropland exposure.,Class confusion in mosaic highland systems.,High,International modeled
Forest loss,ETH-A018,ETH-A018-CCRA-014,Hansen Global Forest Change (treecover / loss),UMD / GLAD,Hybrid,Forest cover and forest loss,CCRA-014,Public Health,Diseases,Exposure,Global (incl. Ethiopia),~30 m,modeled_grid,present,2000 + annual loss,Annual,GeoTIFF,Open,CC BY 4.0,Yes (GEE),https://glad.earthengine.app/view/global-forest-change,https://storage.googleapis.com/earthenginepartners-hansen/GFC-2023-v1.11/download.html,Standard forest cover/loss (OEF hansen_*).,Dryland woodland/classification caveats.,High,International modeled
Health and basic services access,ETH-A001,ETH-A001-CCRA-015,ESS / CSA population & housing census + projections (via IMIS / StatBank / HDX COD-PS),Ethiopian Statistical Service (ESS; formerly CSA),Hybrid,"Population counts, age/sex structure, housing & basic services proxies for E/V",CCRA-015,Food Security; Public Health; Water Resources,Diseases; Droughts; Floods; Heatwaves,Exposure,Ethiopia,Woreda / town (ADM3) for COD-PS projections; census microgeography varies,city_or_municipality,present,2007 census + CSA/ESS projections (e.g. 2021/2022 COD-PS),Projection & survey releases,Tables / CSV (HDX); IMIS interactive,Open (aggregates); microdata restricted,See ESS/HDX,Partial (IMIS/StatBank),https://data.humdata.org/dataset/cod-ps-eth,http://imisethiopia.gov.et/,Official population statistics and projections; HDX COD-PS provides ADM0–3 sex/age disaggregated 2022 estimates based on CSA projections.,Last full census 2007; finer kebele/city-block extracts uneven. Urban service indicators often from surveys (DHS/HCES) not census grids.,High,Primary official
Health and basic services access,ETH-A003,ETH-A003-CCRA-015,"DHS Ethiopia — water, sanitation, health & nutrition indicators",The DHS Program / ESS,Vulnerability,"Water access, sanitation, health service / malnutrition proxies",CCRA-015,Food Security; Public Health; Water Resources,Diseases; Droughts; Floods; Heatwaves,Exposure,Ethiopia (survey-representative domains),Region / survey cluster (GPS displaced),state_or_province,present,DHS rounds (2000–2016+) + mini-DHS,Survey rounds,CSV / API aggregates; restricted microdata,Open aggregates (HDX/API); microdata registration,DHS terms,Yes (DHS API),https://data.humdata.org/dataset/dhs-data-for-ethiopia,https://dhsprogram.com/countries/Country-Main.cfm?ctry_id=65,"Standard DHS indicators for WASH, health, and nutrition; useful V/E proxies where census service fields are thin.","Not city-block continuous surfaces; cluster GPS displaced. Disease cases are survey prevalence, not surveillance case counts — weak for CCRA-007.",High,Secondary official
Health and basic services access,ETH-A004,ETH-A004-CCRA-015,"HCES / LSMS-ISA Ethiopia — poverty, consumption, energy access",ESS / World Bank LSMS,Vulnerability,"Income/poverty, consumption, energy poverty proxies",CCRA-015,Food Security; Public Health; Water Resources,Diseases; Droughts; Floods; Heatwaves,Exposure,Ethiopia,Survey strata (region/urban-rural); SAE poverty sometimes woreda,state_or_province,present,HCES / LSMS rounds,Survey rounds,Microdata (restricted) + published tables,Restricted microdata; open reports/tables,See World Bank/ESS,No,https://microdata.worldbank.org/,https://www.statsethiopia.gov.et/,Household consumption/expenditure and living-standards surveys underpinning poverty and energy-access vulnerability.,Direct open woreda poverty GIS not always published; small-area estimates exist in research/PSIA lineages.,High,Primary official
Health and basic services access,ETH-A007,ETH-A007-CCRA-015,"Ethiopia — Risk Assessment Indicators (HeiGIT GAIA / HDX, ADM2)",HeiGIT (via HDX),Hybrid,"ADM2 demographics, vulnerability, facilities, flood exposure",CCRA-015,Food Security; Public Health; Water Resources,Diseases; Droughts; Floods; Heatwaves,Exposure,Ethiopia,Admin level 2,state_or_province,present,GAIA pipeline build,Publisher refresh,CSV,Open,See HDX,Yes (HDX),https://data.humdata.org/dataset/ethiopia---risk-assessment-indicators,https://data.humdata.org/dataset/ethiopia---risk-assessment-indicators,Pre-aggregated risk indicators including flood exposure at 30 cm depth for multiple return periods.,"Zone-level screening, not intra-city hotspots.",Medium,Research/NGO
Health and basic services access,ETH-A027,ETH-A027-CCRA-015,healthsites.io / HDX health facilities (Ethiopia),healthsites.io / humanitarian partners (via HDX),Vulnerability,Health facility points for facility density,CCRA-015,Food Security; Public Health; Water Resources,Diseases; Droughts; Floods; Heatwaves,Exposure,Ethiopia,Facility points,facility_or_asset,present,Ongoing compilation,Continuous,GeoJSON / CSV,Open,See healthsites/HDX,Yes,https://data.humdata.org/group/eth,https://healthsites.io/,Compiled health facility locations used widely in humanitarian analysis.,Not official MoH complete registry; verify before clinical planning use.,Medium,Research/NGO
Health facility density,ETH-A007,ETH-A007-CCRA-016,"Ethiopia — Risk Assessment Indicators (HeiGIT GAIA / HDX, ADM2)",HeiGIT (via HDX),Hybrid,"ADM2 demographics, vulnerability, facilities, flood exposure",CCRA-016,Public Health,Diseases; Heatwaves,Vulnerability,Ethiopia,Admin level 2,state_or_province,present,GAIA pipeline build,Publisher refresh,CSV,Open,See HDX,Yes (HDX),https://data.humdata.org/dataset/ethiopia---risk-assessment-indicators,https://data.humdata.org/dataset/ethiopia---risk-assessment-indicators,Pre-aggregated risk indicators including flood exposure at 30 cm depth for multiple return periods.,"Zone-level screening, not intra-city hotspots.",Medium,Research/NGO
Health facility density,ETH-A026,ETH-A026-CCRA-016,"OpenStreetMap — roads, rail, health facilities, buildings",OpenStreetMap contributors,Exposure,Road/rail density; health POIs; buildings for hazard-prone households,CCRA-016,Public Health,Diseases; Heatwaves,Vulnerability,Ethiopia,Vector features,facility_or_asset,present,Continuous,Continuous,PBF / GeoJSON,Open,ODbL,Yes,https://download.geofabrik.de/africa/ethiopia.html,https://wiki.openstreetmap.org/wiki/Ethiopia,Primary open infrastructure layer; Ethio-Djibouti rail/corridor and dry-port nodes can proxy logistics exposure (no seaport).,Health POI completeness uneven vs MoH master list. Port infrastructures indicator: landlocked — use dry ports/logistics nodes as partial proxy only.,Medium,Research/NGO
Health facility density,ETH-A027,ETH-A027-CCRA-016,healthsites.io / HDX health facilities (Ethiopia),healthsites.io / humanitarian partners (via HDX),Vulnerability,Health facility points for facility density,CCRA-016,Public Health,Diseases; Heatwaves,Vulnerability,Ethiopia,Facility points,facility_or_asset,present,Ongoing compilation,Continuous,GeoJSON / CSV,Open,See healthsites/HDX,Yes,https://data.humdata.org/group/eth,https://healthsites.io/,Compiled health facility locations used widely in humanitarian analysis.,Not official MoH complete registry; verify before clinical planning use.,Medium,Research/NGO
