indicator_name,dataset_id,row_id,dataset_name,publisher,dataset_type,information_requirements_satisfied,related_ccra_indicator,sectors_served,climatic_risks_served,risk_components,geographic_coverage,geographic_granularity,granularity_class,horizons_covered,temporal_coverage,update_frequency,data_format,open_restricted,license,api_available,download_url,documentation_url,short_description,limitations,confidence_level,authoritative_tier
Confirmed disease cases,AUS-A005,AUS-A005-CCRA-007,AIHW / state health facility directories + OSM healthcare POIs,AIHW / state health departments / OSM,Vulnerability,Health facility density and access proxies; disease aggregates soft only,CCRA-007,Public Health,Diseases,Vulnerability,Australia,Facility points; PHN/SA3 for some AIHW tables,facility_or_asset,present,Ongoing,Periodic / continuous,CSV / GeoJSON,Partially open,Varies / ODbL,Partial,https://www.aihw.gov.au/,https://www.health.gov.au/,Hospital/clinic locations from state open data and OSM; AIHW for system/health outcome aggregates.,Confirmed disease cases: not open city-block surveillance GIS — soft gap; use SEIFA health-related Census proxies.,Medium,Secondary official
Dependence on large-scale irrigation,AUS-A016,AUS-A016-CCRA-008,ABARES / ABS Agricultural Census + Catchment Scale Land Use (CLUM) / irrigated agriculture layers,ABARES / ABS / DAFF,Exposure,"Agricultural land area, production, holdings, irrigation dependence",CCRA-008,Food Security,Droughts,Vulnerability,Australia,CLUM ~50 m; Agricultural Census SA2/region,modeled_grid,present,CLUM cycles; Ag Census,Periodic / census,GeoTIFF / tables,Open,CC BY / ABS,Partial,https://www.agriculture.gov.au/abares,https://www.abs.gov.au/statistics/industry/agriculture,Strong agri exposure stack: CLUM land use + Agricultural Census — irrigation critical for AUS drought CCRA.,City AOIs may be peri-urban only; irrigation districts matter for inland metros.,High,Primary official
Electricity consumption,AUS-A022,AUS-A022-CCRA-009,AEMO / CER generator registers + WRI Global Power Plant Database,AEMO / Clean Energy Regulator / WRI,Exposure,Power generation facilities,CCRA-009,Energy Security,Droughts; Heatwaves,Vulnerability,Australia (NEM + SWIS/NWIS context),Facility points,facility_or_asset,present,Ongoing registers,Periodic,CSV / tables,Open,AEMO/CER / CC BY,Partial,https://aemo.com.au/,https://www.cer.gov.au/,Official generator locations for Energy Security exposure.,Some behind-meter/distributed assets incomplete.,High,Primary official
Electricity consumption,AUS-A023,AUS-A023-CCRA-009,Australian Energy Statistics / AER / ABS Energy Account; postcode/SA2 electricity use research,DCCEEW / AER / ABS,Vulnerability,Electricity consumption intensity; energy poverty proxies with Census/SEIFA,CCRA-009,Energy Security,Droughts; Heatwaves,Vulnerability,Australia,State / DNSP; some postcode research products,other_or_mixed,present,Annual AES,Annual,Tables / CSV,Partially open,CC BY / agency terms,Partial,https://www.energy.gov.au/publications/australian-energy-statistics,https://www.aer.gov.au/,National/state electricity use; SA1 energy poverty via Census low-income + no/inadequate cooling proxies + SEIFA (no UK-style fuel poverty LSOA).,City meter extracts not systematic open data (same GPC pattern); energy poverty is constructed.,Medium,Primary official
Energy poverty,AUS-A001,AUS-A001-CCRA-010,"ABS Census of Population and Housing 2021 — SA1/SA2 General Community Profiles (age, income, housing, dwellings)",Australian Bureau of Statistics (ABS),Hybrid,"Population density, age distribution, income, housing/WASH proxies for E/V",CCRA-010,Energy Security,Droughts; Heatwaves,Vulnerability,Australia,SA1 (~200–800 people) / SA2; Mesh Block for some counts,neighborhood_or_small_area,present,2021 Census (+ 2016 comparable),Census cycle (5 years),CSV / TableBuilder / DataPacks / API,Open,Creative Commons Attribution 4.0 (ABS),Yes (ABS.Stat / Data API),https://www.abs.gov.au/census,https://www.abs.gov.au/statistics/people/population,"National gold-standard E/V backbone at SA1: age, income, tenure, dwelling type — city CCRA ready (closest ACS/LSOA analogue).",Urban piped water/sanitation near-universal — use carefully for WASH; remote/Indigenous gaps remain.,High,Primary official
Energy poverty,AUS-A002,AUS-A002-CCRA-010,ABS SEIFA 2021 (IRSD / IRSAD / IER / IEO) — SA1,Australian Bureau of Statistics,Vulnerability,Income and multi-domain socio-economic disadvantage for V,CCRA-010,Energy Security,Droughts; Heatwaves,Vulnerability,Australia,SA1 (also SA2/LGA/SAL/POA aggregates),neighborhood_or_small_area,present,2021 (from Census),Census cycle,CSV / ArcGIS FeatureServer,Open,CC BY 4.0 (ABS),Yes (web services),https://www.abs.gov.au/statistics/people/people-and-communities/socio-economic-indexes-areas-seifa-australia/latest-release,https://www.abs.gov.au/methodologies/socio-economic-indexes-areas-seifa-australia-methodology/2021,Canonical small-area disadvantage indexes — preferred Income/V proxy at SA1 (IMD analogue).,Relative ranks; IRSD ≠ absolute poverty. Prefer Census income fields for some compositions.,High,Primary official
Energy poverty,AUS-A023,AUS-A023-CCRA-010,Australian Energy Statistics / AER / ABS Energy Account; postcode/SA2 electricity use research,DCCEEW / AER / ABS,Vulnerability,Electricity consumption intensity; energy poverty proxies with Census/SEIFA,CCRA-010,Energy Security,Droughts; Heatwaves,Vulnerability,Australia,State / DNSP; some postcode research products,other_or_mixed,present,Annual AES,Annual,Tables / CSV,Partially open,CC BY / agency terms,Partial,https://www.energy.gov.au/publications/australian-energy-statistics,https://www.aer.gov.au/,National/state electricity use; SA1 energy poverty via Census low-income + no/inadequate cooling proxies + SEIFA (no UK-style fuel poverty LSOA).,City meter extracts not systematic open data (same GPC pattern); energy poverty is constructed.,Medium,Primary official
Flood Threat Index,AUS-A006,AUS-A006-CCRA-011,Australian Flood Risk Information Portal (AFRIP) / GA Flood Study Database + WMS/WFS,Geoscience Australia,Hazard,Catalogue of flood studies and inundation maps (extent/depth/hazard) — primary Flood Threat path,CCRA-011,Hydrogeological Disasters,Floods,Hazard,Australia (coverage uneven by LGA/floodplain study),Local flood-study polygons where mapped,other_or_mixed,present,Studies to ~2018 in portal; newer via state portals,Portal updates / study vintages,WMS / WFS / study downloads,Open metadata; map ownership varies,GA / study custodians,Yes (OGC),https://www.ga.gov.au/scientific-topics/community-safety/data-and-products/afrip,https://www.ga.gov.au/scientific-topics/community-safety/hazards/flood,National flood-study catalogue — authoritative path to local Flood Threat maps (like CFM/FHIMP for Canada).,Not a seamless national regulatory flood layer; city coverage depends on state/LGA studies. Pair with state flood portals.,High,Primary official
Flood Threat Index,AUS-A007,AUS-A007-CCRA-011,State/territory flood hazard portals (NSW SES Flood Data / QLD FloodCheck / VIC FloodZoom / WA/SA/NT/ACT council & SES layers),State SES / water / planning agencies,Hazard,Jurisdictional flood planning and hazard maps for capital cities,CCRA-011,Hydrogeological Disasters,Floods,Hazard,Australia by state/territory,Floodplain / planning zone polygons,other_or_mixed,present,Map vintages vary,Ongoing,WMS / open data portals / PDF maps,Mostly open view; bulk GIS varies,State terms,Partial,https://data.gov.au/,https://www.ga.gov.au/scientific-topics/community-safety/hazards/flood,Operational city Flood Threat layers for Sydney/Melbourne/Brisbane/etc. — prefer over global rasters when available.,Fragmented schemas; no single national layer. Climate-change allowances vary by jurisdiction.,High,Primary official
Flood Threat Index,AUS-A008,AUS-A008-CCRA-011,GA Water Observations from Space (WOfS) / DEA Water Observations — historic inundation frequency,Geoscience Australia / Digital Earth Australia,Hazard,Observed surface-water inundation frequency as Flood Threat / exposure complement,CCRA-011,Hydrogeological Disasters,Floods,Hazard,Australia,~25–30 m Landsat-derived,modeled_grid,present,1980s–present composites,DEA product updates,GeoTIFF / STAC / WMS,Open,CC BY 4.0 (GA/DEA),Yes (DEA STAC),https://www.ga.gov.au/scientific-topics/community-safety/hazards/flood,https://knowledge.dea.ga.gov.au/,National EO inundation frequency — strong screening complement where flood studies missing.,Observed wet pixels ≠ design flood AEP; misses short flash floods between satellite overpasses.,High,Primary official
Flood Threat Index,AUS-A009,AUS-A009-CCRA-011,JRC Global River Flood Hazard + WRI Aqueduct Flood,JRC / WRI,Hazard,Global fluvial flood alternatives / OEF flood_hazard inputs,CCRA-011,Hydrogeological Disasters,Floods,Hazard,Global (incl. Australia),Raster,modeled_grid,present,Model vintages,Product versions,GeoTIFF,Open,See publishers,Yes,https://data.jrc.ec.europa.eu/,https://www.wri.org/aqueduct,Global flood rasters used in OEF ensemble; secondary to AFRIP/state maps for AUS.,Prefer GA/state flood studies locally.,High,International modeled
Flood Threat Index,AUS-A013,AUS-A013-CCRA-011,CHIRPS + ERA5-Land extremes / OEF HWM & FRI inputs,UCSB CHIRPS / ECMWF / OEF transforms,Hazard,"Rx5day, CDD, heatwave magnitude, FRI futures as ensemble gap-fills",CCRA-011,Hydrogeological Disasters,Floods,Hazard,Global (incl. Australia),0.05°–0.1° / OEF derivatives,modeled_grid,present;2030;2050,Multi-decadal + OEF futures,Near real-time / CDS,GeoTIFF / NetCDF,Open,Open/Copernicus,Yes,https://www.chc.ucsb.edu/data/chirps,https://cds.climate.copernicus.eu/,Open global climate extremes and OEF heat/FRI derivatives as ensemble gap-fills.,Prefer BOM/CCiA for Australian official climate citation.,High,International modeled
Flood Threat Index,AUS-A028,AUS-A028-CCRA-011,OEF CHIRPS–COPDEM Flood Risk Index (FRI) — present+SSP,Open Earth Foundation,Hazard,FRI futures complement to CCiA/state flood CC,CCRA-011,Hydrogeological Disasters,Floods,Hazard,Global / city AOIs,Model raster,modeled_grid,present;2030;2050,2024 + SSP,Internal,COG,Internal/open per OEF,See catalog,Via catalog,https://github.com/Open-Earth-Foundation/geospatial-data,https://github.com/Open-Earth-Foundation/geospatial-data/blob/main/catalog/datasets.yaml,OEF FRI — SSP ensemble alongside Australian flood/climate futures.,Prefer AFRIP/state maps for official present flood hazard.,Medium,OEF derived screening
Flood Threat Index,AUS-A029,AUS-A029-CCRA-011,OEF Flood Hazard Score (city screening ensemble),Open Earth Foundation (models/flood_hazard),Hazard,City flood hazard ensemble (0–1),CCRA-011,Hydrogeological Disasters,Floods,Hazard,"Pipeline-ready for Australian cities (Sydney, Melbourne, Brisbane, Perth, Adelaide, Canberra, …)",~250 m,modeled_grid,present,Static ensemble,Per city run,COG + tiles,Internal when published,CC BY 4.0,When published,https://github.com/Open-Earth-Foundation/geospatial-data/tree/main/transformation/flood_hazard,https://github.com/Open-Earth-Foundation/geospatial-data/blob/main/docs/ccra_pipeline_architecture.md,OEF flood_hazard — calibrate vs AFRIP/state flood maps; fills gaps where studies missing.,Not a substitute for regulatory flood studies.,High,OEF derived screening
Flood Threat Index,AUS-A032,AUS-A032-CCRA-011,OEF Flood Risk Score H×E×V (city screening),Open Earth Foundation (flood_risk),Hybrid,R=(H×E×V)^(1/3) with ABS SA1/SEIFA E/V; optional state flood H,CCRA-011,Hydrogeological Disasters,Floods,Hazard,Pipeline-ready,~250 m,modeled_grid,present,Static,Per city run,COG + tiles,Internal when published,CC BY 4.0,When published,https://github.com/Open-Earth-Foundation/geospatial-data/tree/main/transformation/flood_risk,https://github.com/Open-Earth-Foundation/geospatial-data/blob/main/docs/ccra_pipeline_architecture.md,OEF flood risk packaging; AUS can feed SA1 E/V and optionally AFRIP/state hazard.,State H adapter optional.,High,OEF derived screening
Flood Threat Index,AUS-A037,AUS-A037-CCRA-011,OEF Flood / Heat / Landslide mechanism-type layers (NbS screening),Open Earth Foundation (nbs_*_mechanism_type),Hazard,Mechanism classes; drainage_constrained proxies stormwater gap,CCRA-011,Hydrogeological Disasters,Floods,Hazard,Pipeline-ready,~250 m / ~90 m,modeled_grid,present,Static,Per NbS run,Categorical COG,Internal when published,CC BY 4.0,When published,https://github.com/Open-Earth-Foundation/geospatial-data/tree/main/transformation/nbs_screening,https://github.com/Open-Earth-Foundation/geospatial-data/blob/main/collections/layers.yaml,OEF mechanism-type layers. Drainage_constrained remains proxy until municipal drainage GIS opens.,Screening only; not pipe-network coverage.,Medium,OEF derived screening
Food production and marketing,AUS-A016,AUS-A016-CCRA-012,ABARES / ABS Agricultural Census + Catchment Scale Land Use (CLUM) / irrigated agriculture layers,ABARES / ABS / DAFF,Exposure,"Agricultural land area, production, holdings, irrigation dependence",CCRA-012,Food Security,Droughts; Floods,Vulnerability,Australia,CLUM ~50 m; Agricultural Census SA2/region,modeled_grid,present,CLUM cycles; Ag Census,Periodic / census,GeoTIFF / tables,Open,CC BY / ABS,Partial,https://www.agriculture.gov.au/abares,https://www.abs.gov.au/statistics/industry/agriculture,Strong agri exposure stack: CLUM land use + Agricultural Census — irrigation critical for AUS drought CCRA.,City AOIs may be peri-urban only; irrigation districts matter for inland metros.,High,Primary official
Forest cover,AUS-A017,AUS-A017-CCRA-013,Australia's State of the Forests / National Forest Inventory + Hansen GFC + DEA land cover,DAFF / ABARES / UMD / DEA,Hybrid,"Forest cover, forest loss, natural vegetation",CCRA-013,Infrastructures,Erosions; Heatwave,Vulnerability,Australia,NFI / 30 m EO,modeled_grid,present,SOFR cycles + annual Hansen,Periodic/annual,GeoTIFF / tables,Open,CC BY / OGL-style,Yes,https://www.agriculture.gov.au/abares/forestsaustralia,https://knowledge.dea.ga.gov.au/,Forest and natural vegetation products for biodiversity/erosion/landslide context.,Combine SOFR/NFI with Hansen for loss dynamics.,High,Primary official
Forest loss,AUS-A017,AUS-A017-CCRA-014,Australia's State of the Forests / National Forest Inventory + Hansen GFC + DEA land cover,DAFF / ABARES / UMD / DEA,Hybrid,"Forest cover, forest loss, natural vegetation",CCRA-014,Public Health,Diseases,Exposure,Australia,NFI / 30 m EO,modeled_grid,present,SOFR cycles + annual Hansen,Periodic/annual,GeoTIFF / tables,Open,CC BY / OGL-style,Yes,https://www.agriculture.gov.au/abares/forestsaustralia,https://knowledge.dea.ga.gov.au/,Forest and natural vegetation products for biodiversity/erosion/landslide context.,Combine SOFR/NFI with Hansen for loss dynamics.,High,Primary official
Health and basic services access,AUS-A001,AUS-A001-CCRA-015,"ABS Census of Population and Housing 2021 — SA1/SA2 General Community Profiles (age, income, housing, dwellings)",Australian Bureau of Statistics (ABS),Hybrid,"Population density, age distribution, income, housing/WASH proxies for E/V",CCRA-015,Food Security; Public Health; Water Resources,Diseases; Droughts; Floods; Heatwaves,Exposure,Australia,SA1 (~200–800 people) / SA2; Mesh Block for some counts,neighborhood_or_small_area,present,2021 Census (+ 2016 comparable),Census cycle (5 years),CSV / TableBuilder / DataPacks / API,Open,Creative Commons Attribution 4.0 (ABS),Yes (ABS.Stat / Data API),https://www.abs.gov.au/census,https://www.abs.gov.au/statistics/people/population,"National gold-standard E/V backbone at SA1: age, income, tenure, dwelling type — city CCRA ready (closest ACS/LSOA analogue).",Urban piped water/sanitation near-universal — use carefully for WASH; remote/Indigenous gaps remain.,High,Primary official
Health and basic services access,AUS-A002,AUS-A002-CCRA-015,ABS SEIFA 2021 (IRSD / IRSAD / IER / IEO) — SA1,Australian Bureau of Statistics,Vulnerability,Income and multi-domain socio-economic disadvantage for V,CCRA-015,Food Security; Public Health; Water Resources,Diseases; Droughts; Floods; Heatwaves,Exposure,Australia,SA1 (also SA2/LGA/SAL/POA aggregates),neighborhood_or_small_area,present,2021 (from Census),Census cycle,CSV / ArcGIS FeatureServer,Open,CC BY 4.0 (ABS),Yes (web services),https://www.abs.gov.au/statistics/people/people-and-communities/socio-economic-indexes-areas-seifa-australia/latest-release,https://www.abs.gov.au/methodologies/socio-economic-indexes-areas-seifa-australia-methodology/2021,Canonical small-area disadvantage indexes — preferred Income/V proxy at SA1 (IMD analogue).,Relative ranks; IRSD ≠ absolute poverty. Prefer Census income fields for some compositions.,High,Primary official
Health and basic services access,AUS-A005,AUS-A005-CCRA-015,AIHW / state health facility directories + OSM healthcare POIs,AIHW / state health departments / OSM,Vulnerability,Health facility density and access proxies; disease aggregates soft only,CCRA-015,Food Security; Public Health; Water Resources,Diseases; Droughts; Floods; Heatwaves,Exposure,Australia,Facility points; PHN/SA3 for some AIHW tables,facility_or_asset,present,Ongoing,Periodic / continuous,CSV / GeoJSON,Partially open,Varies / ODbL,Partial,https://www.aihw.gov.au/,https://www.health.gov.au/,Hospital/clinic locations from state open data and OSM; AIHW for system/health outcome aggregates.,Confirmed disease cases: not open city-block surveillance GIS — soft gap; use SEIFA health-related Census proxies.,Medium,Secondary official
Health facility density,AUS-A005,AUS-A005-CCRA-016,AIHW / state health facility directories + OSM healthcare POIs,AIHW / state health departments / OSM,Vulnerability,Health facility density and access proxies; disease aggregates soft only,CCRA-016,Public Health,Diseases; Heatwaves,Vulnerability,Australia,Facility points; PHN/SA3 for some AIHW tables,facility_or_asset,present,Ongoing,Periodic / continuous,CSV / GeoJSON,Partially open,Varies / ODbL,Partial,https://www.aihw.gov.au/,https://www.health.gov.au/,Hospital/clinic locations from state open data and OSM; AIHW for system/health outcome aggregates.,Confirmed disease cases: not open city-block surveillance GIS — soft gap; use SEIFA health-related Census proxies.,Medium,Secondary official
Households in hazard-prone areas,AUS-A003,AUS-A003-CCRA-017,ABS ASGS Edition 3 digital boundaries (Mesh Block / SA1 / SA2 / LGA / GCCSA),Australian Bureau of Statistics,Boundary,Official census/admin geographies for city AOI clipping and E/V joins,CCRA-017,Hydrogeological Disasters,Floods; Landslides,Exposure,Australia,Mesh Block → LGA / GCCSA,neighborhood_or_small_area,n/a,ASGS Ed. 3 (2021),ASGS editions,SHP / GPKG / GeoPackage,Open,CC BY 4.0 (ABS),Yes (downloads),https://www.abs.gov.au/statistics/standards/australian-statistical-geography-standard-asgs-edition-3,https://www.abs.gov.au/geography,Official ASGS polygons for joining Census/SEIFA and hazard overlays.,Match geography vintage to attribute tables (2016 vs 2021 SA1).,High,Primary official
Households in hazard-prone areas,AUS-A004,AUS-A004-CCRA-017,WorldPop / GHSL population grids (Australia),WorldPop / JRC,Exposure,Alternate gridded population density,CCRA-017,Hydrogeological Disasters,Floods; Landslides,Exposure,Australia,~100 m,modeled_grid,present;2030,Multi-epoch,Product releases,GeoTIFF,Open,CC BY / JRC,Yes,https://hub.worldpop.org/,https://ghsl.jrc.ec.europa.eu/,Continuous population rasters; prefer ABS SA1 for official counts when intersecting hazards.,Modeled vs census; use for raster CCRA grids / OEF E.,High,International modeled
Households in hazard-prone areas,AUS-A006,AUS-A006-CCRA-017,Australian Flood Risk Information Portal (AFRIP) / GA Flood Study Database + WMS/WFS,Geoscience Australia,Hazard,Catalogue of flood studies and inundation maps (extent/depth/hazard) — primary Flood Threat path,CCRA-017,Hydrogeological Disasters,Floods; Landslides,Exposure,Australia (coverage uneven by LGA/floodplain study),Local flood-study polygons where mapped,other_or_mixed,present,Studies to ~2018 in portal; newer via state portals,Portal updates / study vintages,WMS / WFS / study downloads,Open metadata; map ownership varies,GA / study custodians,Yes (OGC),https://www.ga.gov.au/scientific-topics/community-safety/data-and-products/afrip,https://www.ga.gov.au/scientific-topics/community-safety/hazards/flood,National flood-study catalogue — authoritative path to local Flood Threat maps (like CFM/FHIMP for Canada).,Not a seamless national regulatory flood layer; city coverage depends on state/LGA studies. Pair with state flood portals.,High,Primary official
Households in hazard-prone areas,AUS-A007,AUS-A007-CCRA-017,State/territory flood hazard portals (NSW SES Flood Data / QLD FloodCheck / VIC FloodZoom / WA/SA/NT/ACT council & SES layers),State SES / water / planning agencies,Hazard,Jurisdictional flood planning and hazard maps for capital cities,CCRA-017,Hydrogeological Disasters,Floods; Landslides,Exposure,Australia by state/territory,Floodplain / planning zone polygons,other_or_mixed,present,Map vintages vary,Ongoing,WMS / open data portals / PDF maps,Mostly open view; bulk GIS varies,State terms,Partial,https://data.gov.au/,https://www.ga.gov.au/scientific-topics/community-safety/hazards/flood,Operational city Flood Threat layers for Sydney/Melbourne/Brisbane/etc. — prefer over global rasters when available.,Fragmented schemas; no single national layer. Climate-change allowances vary by jurisdiction.,High,Primary official
Households in hazard-prone areas,AUS-A008,AUS-A008-CCRA-017,GA Water Observations from Space (WOfS) / DEA Water Observations — historic inundation frequency,Geoscience Australia / Digital Earth Australia,Hazard,Observed surface-water inundation frequency as Flood Threat / exposure complement,CCRA-017,Hydrogeological Disasters,Floods; Landslides,Exposure,Australia,~25–30 m Landsat-derived,modeled_grid,present,1980s–present composites,DEA product updates,GeoTIFF / STAC / WMS,Open,CC BY 4.0 (GA/DEA),Yes (DEA STAC),https://www.ga.gov.au/scientific-topics/community-safety/hazards/flood,https://knowledge.dea.ga.gov.au/,National EO inundation frequency — strong screening complement where flood studies missing.,Observed wet pixels ≠ design flood AEP; misses short flash floods between satellite overpasses.,High,Primary official
Households in hazard-prone areas,AUS-A015,AUS-A015-CCRA-017,GA National Landslide Database / state landslide susceptibility inventories + DEM drivers,Geoscience Australia / state geological surveys,Hazard,Landslide Threat / Susceptibility,CCRA-017,Hydrogeological Disasters,Floods; Landslides,Exposure,Australia (inventory density uneven),Point inventories + susceptibility rasters where published,other_or_mixed,present,Inventory vintages,Periodic,SHP / GPKG / WMS,Partially open,GA / state terms,Partial,https://www.ga.gov.au/,https://www.ga.gov.au/scientific-topics/community-safety,National landslide occurrence database and state susceptibility products — preferred national landslide H where available.,Not seamless nationwide susceptibility; OEF landslide_hazard as open city ensemble complement.,Medium,Primary official
