iso3,country,tier,score,related_gpc_sector,sector_name,dataset_count,coverage_status,best_granularity_class,best_granularity_label,needs_city_downscaling,top_dataset_1,top_dataset_1_id,top_dataset_2,top_dataset_3
GBR,United Kingdom,A,93,III.4,Wastewater treatment & discharge,6,covered,city_or_municipality,City / municipality (city-ready),no,UK local authority and regional greenhouse gas emissions statistics,GBR-002,London Energy and Greenhouse Gas Inventory (LEGGI),Environment Agency Pollution Inventory / UK PRTR facility emissions
GBR,United Kingdom,A,93,IV.1,Industrial processes,7,covered,city_or_municipality,City / municipality (city-ready),no,UK local authority and regional greenhouse gas emissions statistics,GBR-002,London Energy and Greenhouse Gas Inventory (LEGGI),Environment Agency Pollution Inventory / UK PRTR facility emissions
GBR,United Kingdom,A,93,IV.2,Product use,4,covered,city_or_municipality,City / municipality (city-ready),no,London Energy and Greenhouse Gas Inventory (LEGGI),GBR-017,UK Greenhouse Gas Inventory / National Inventory Document (NID),Greenhouse gas reporting conversion factors (company reporting)
GBR,United Kingdom,A,93,V.1,Livestock,6,covered,city_or_municipality,City / municipality (city-ready),no,UK local authority and regional greenhouse gas emissions statistics,GBR-002,London Energy and Greenhouse Gas Inventory (LEGGI),NAEI point sources and gridded emissions
GBR,United Kingdom,A,93,V.2,Land,9,covered,city_or_municipality,City / municipality (city-ready),no,UK local authority and regional greenhouse gas emissions statistics,GBR-002,LULUCF emissions and removals at local authority level (UKCEH / DESNZ),London Energy and Greenhouse Gas Inventory (LEGGI)
GBR,United Kingdom,A,93,V.3,Aggregate sources & non-CO₂ emissions sources on land,5,covered,city_or_municipality,City / municipality (city-ready),no,UK local authority and regional greenhouse gas emissions statistics,GBR-002,LULUCF emissions and removals at local authority level (UKCEH / DESNZ),UK Greenhouse Gas Inventory / National Inventory Document (NID)
GBR,United Kingdom,A,93,VI.1,Other Scope 3,3,covered,city_or_municipality,City / municipality (city-ready),no,London Energy and Greenhouse Gas Inventory (LEGGI),GBR-017,Greenhouse gas reporting conversion factors (company reporting),ONS UK Environmental Accounts (energy & GHG)
CAN,Canada,A,86,I.1,Residential buildings,9,covered,city_or_municipality,City / municipality (city-ready),no,BC Community Energy and Emissions Inventory (CEEI),CAN-010,Toronto Sector-Based Emissions Inventory (SBEI) / community GHG inventory,Calgary Community-wide GHG Inventory (Open Calgary)
CAN,Canada,A,86,I.2,Commercial & institutional buildings,8,covered,city_or_municipality,City / municipality (city-ready),no,BC Community Energy and Emissions Inventory (CEEI),CAN-010,Toronto Sector-Based Emissions Inventory (SBEI) / community GHG inventory,Calgary Community-wide GHG Inventory (Open Calgary)
CAN,Canada,A,86,I.3,Manufacturing industries & construction,12,covered,city_or_municipality,City / municipality (city-ready),no,BC Community Energy and Emissions Inventory (CEEI),CAN-010,Toronto Sector-Based Emissions Inventory (SBEI) / community GHG inventory,Calgary Community-wide GHG Inventory (Open Calgary)
CAN,Canada,A,86,I.4,Energy industries,11,covered,city_or_municipality,City / municipality (city-ready),no,Toronto Sector-Based Emissions Inventory (SBEI) / community GHG inventory,CAN-011,Greenhouse Gas Reporting Program (GHGRP) facility emissions,Canada's Official Greenhouse Gas Inventory / National Inventory Report (NIR)
CAN,Canada,A,86,I.5,"Agriculture, forestry & fishing energy",3,covered,state_or_province,State / province (needs downscaling to city),yes,Canada's Official Greenhouse Gas Inventory / National Inventory Report (NIR),CAN-001,Census of Agriculture (incl. geodata products),Report on Energy Supply and Demand in Canada (RESD) / energy tables
CAN,Canada,A,86,I.6,Non-specified sources,0,missing,unknown,Unknown,n/a,,,,
CAN,Canada,A,86,I.7,"Fugitive emissions from mining, processing, storage & transport of coal",1,covered,state_or_province,State / province (needs downscaling to city),yes,Canada's Official Greenhouse Gas Inventory / National Inventory Report (NIR),CAN-001,,
CAN,Canada,A,86,I.8,Fugitive emissions from oil & natural gas systems,5,covered,facility_or_asset,Facility / asset (point sources in cities),no,Greenhouse Gas Reporting Program (GHGRP) facility emissions,CAN-002,Canada's Official Greenhouse Gas Inventory / National Inventory Report (NIR),CER pipeline throughput & capacity / energy system data
CAN,Canada,A,86,II.1,On-road transportation,10,covered,city_or_municipality,City / municipality (city-ready),no,BC Community Energy and Emissions Inventory (CEEI),CAN-010,Toronto Sector-Based Emissions Inventory (SBEI) / community GHG inventory,Calgary Community-wide GHG Inventory (Open Calgary)
CAN,Canada,A,86,II.2,Railways,3,covered,city_or_municipality,City / municipality (city-ready),no,Toronto Sector-Based Emissions Inventory (SBEI) / community GHG inventory,CAN-011,Canada's Official Greenhouse Gas Inventory / National Inventory Report (NIR),StatCan rail / marine transport statistics
CAN,Canada,A,86,II.3,Waterborne navigation,4,covered,state_or_province,State / province (needs downscaling to city),yes,Canada's Official Greenhouse Gas Inventory / National Inventory Report (NIR),CAN-001,StatCan rail / marine transport statistics,EDGAR GHG gridded & cities emissions
CAN,Canada,A,86,II.4,Aviation,4,covered,facility_or_asset,Facility / asset (point sources in cities),no,StatCan air carrier / airport traffic statistics,CAN-015,Canada's Official Greenhouse Gas Inventory / National Inventory Report (NIR),EDGAR GHG gridded & cities emissions
CAN,Canada,A,86,II.5,Off-road transportation,2,covered,facility_or_asset,Facility / asset (point sources in cities),no,Greenhouse Gas Reporting Program (GHGRP) facility emissions,CAN-002,Canada's Official Greenhouse Gas Inventory / National Inventory Report (NIR),
CAN,Canada,A,86,III.1,Solid waste disposal,8,covered,city_or_municipality,City / municipality (city-ready),no,BC Community Energy and Emissions Inventory (CEEI),CAN-010,Toronto Sector-Based Emissions Inventory (SBEI) / community GHG inventory,Calgary Community-wide GHG Inventory (Open Calgary)
CAN,Canada,A,86,III.2,Biological treatment of waste,2,covered,facility_or_asset,Facility / asset (point sources in cities),no,Waste Management Survey / solid waste statistics (StatCan) + landfill reporters in GHGRP,CAN-017,Canada's Official Greenhouse Gas Inventory / National Inventory Report (NIR),
CAN,Canada,A,86,III.3,Incineration & open burning,3,covered,facility_or_asset,Facility / asset (point sources in cities),no,Waste Management Survey / solid waste statistics (StatCan) + landfill reporters in GHGRP,CAN-017,National Pollutant Release Inventory (NPRI),Canada's Official Greenhouse Gas Inventory / National Inventory Report (NIR)
CAN,Canada,A,86,III.4,Wastewater treatment & discharge,5,covered,city_or_municipality,City / municipality (city-ready),no,Toronto Sector-Based Emissions Inventory (SBEI) / community GHG inventory,CAN-011,Calgary Community-wide GHG Inventory (Open Calgary),Greenhouse Gas Reporting Program (GHGRP) facility emissions
CAN,Canada,A,86,IV.1,Industrial processes,6,covered,city_or_municipality,City / municipality (city-ready),no,Toronto Sector-Based Emissions Inventory (SBEI) / community GHG inventory,CAN-011,Greenhouse Gas Reporting Program (GHGRP) facility emissions,National Pollutant Release Inventory (NPRI)
CAN,Canada,A,86,IV.2,Product use,3,covered,city_or_municipality,City / municipality (city-ready),no,Toronto Sector-Based Emissions Inventory (SBEI) / community GHG inventory,CAN-011,Canada's Official Greenhouse Gas Inventory / National Inventory Report (NIR),HFC / refrigeration product-use statistics (NIR IPPU + Environment Canada ODS/HFC reporting context)
CAN,Canada,A,86,V.1,Livestock,4,covered,state_or_province,State / province (needs downscaling to city),yes,Canada's Official Greenhouse Gas Inventory / National Inventory Report (NIR),CAN-001,Census of Agriculture (incl. geodata products),EDGAR GHG gridded & cities emissions
CAN,Canada,A,86,V.2,Land,7,covered,city_or_municipality,City / municipality (city-ready),no,BC Community Energy and Emissions Inventory (CEEI),CAN-010,Canada's Official Greenhouse Gas Inventory / National Inventory Report (NIR),Census of Agriculture (incl. geodata products)
CAN,Canada,A,86,V.3,Aggregate sources & non-CO₂ emissions sources on land,4,covered,state_or_province,State / province (needs downscaling to city),yes,Canada's Official Greenhouse Gas Inventory / National Inventory Report (NIR),CAN-001,Census of Agriculture (incl. geodata products),EDGAR GHG gridded & cities emissions
CAN,Canada,A,86,VI.1,Other Scope 3,2,covered,national,National only (needs downscaling to city),yes,Canadian System of Environmental-Economic Accounts — energy use & GHG (SEEA PFA),CAN-003,Households and the Environment Survey / Survey of Household Spending (energy modules),
AUS,Australia,A,82,I.1,Residential buildings,10,covered,neighborhood_or_small_area,Neighborhood / small area (city-ready),no,City of Melbourne Municipal Greenhouse Gas Emissions (open data),AUS-016,State and Territory Greenhouse Gas Inventories,National Greenhouse Accounts Factors
AUS,Australia,A,82,I.2,Commercial & institutional buildings,9,covered,neighborhood_or_small_area,Neighborhood / small area (city-ready),no,City of Melbourne Municipal Greenhouse Gas Emissions (open data),AUS-016,State and Territory Greenhouse Gas Inventories,National Greenhouse Accounts Factors
AUS,Australia,A,82,I.3,Manufacturing industries & construction,13,covered,neighborhood_or_small_area,Neighborhood / small area (city-ready),no,National Pollutant Inventory (NPI),AUS-014,City of Melbourne Municipal Greenhouse Gas Emissions (open data),National Greenhouse and Energy Reporting (NGER) — corporate & electricity facility data
AUS,Australia,A,82,I.4,Energy industries,14,covered,city_or_municipality,City / municipality (city-ready),no,City of Melbourne Municipal Greenhouse Gas Emissions (open data),AUS-016,National Greenhouse and Energy Reporting (NGER) — corporate & electricity facility data,"AEMO NEM / electricity market data (generation, demand, carbon intensity products)"
AUS,Australia,A,82,I.5,"Agriculture, forestry & fishing energy",4,covered,state_or_province,State / province (needs downscaling to city),yes,State and Territory Greenhouse Gas Inventories,AUS-002,Australian Energy Statistics / Australian Energy Update,ABS Agricultural Census / ABARES agricultural statistics
AUS,Australia,A,82,I.6,Non-specified sources,0,missing,unknown,Unknown,n/a,,,,
AUS,Australia,A,82,I.7,"Fugitive emissions from mining, processing, storage & transport of coal",2,covered,state_or_province,State / province (needs downscaling to city),yes,State and Territory Greenhouse Gas Inventories,AUS-002,Australia's National Greenhouse Accounts / National Inventory Report (NIR),
AUS,Australia,A,82,I.8,Fugitive emissions from oil & natural gas systems,7,covered,facility_or_asset,Facility / asset (point sources in cities),no,National Greenhouse and Energy Reporting (NGER) — corporate & electricity facility data,AUS-003,Safeguard Mechanism facility emissions (CER),State and Territory Greenhouse Gas Inventories
AUS,Australia,A,82,II.1,On-road transportation,11,covered,city_or_municipality,City / municipality (city-ready),no,ABS Motor Vehicle Census / vehicle registrations,AUS-009,City of Melbourne Municipal Greenhouse Gas Emissions (open data),State and Territory Greenhouse Gas Inventories
AUS,Australia,A,82,II.2,Railways,6,covered,city_or_municipality,City / municipality (city-ready),no,City of Melbourne Municipal Greenhouse Gas Emissions (open data),AUS-016,State and Territory Greenhouse Gas Inventories,National Greenhouse Accounts Factors
AUS,Australia,A,82,II.3,Waterborne navigation,6,covered,state_or_province,State / province (needs downscaling to city),yes,State and Territory Greenhouse Gas Inventories,AUS-002,National Greenhouse Accounts Factors,BITRE Australian Infrastructure and Transport Statistics Yearbook (road/rail/aviation/maritime)
AUS,Australia,A,82,II.4,Aviation,6,covered,state_or_province,State / province (needs downscaling to city),yes,State and Territory Greenhouse Gas Inventories,AUS-002,National Greenhouse Accounts Factors,BITRE Australian Infrastructure and Transport Statistics Yearbook (road/rail/aviation/maritime)
AUS,Australia,A,82,II.5,Off-road transportation,4,covered,facility_or_asset,Facility / asset (point sources in cities),no,National Greenhouse and Energy Reporting (NGER) — corporate & electricity facility data,AUS-003,State and Territory Greenhouse Gas Inventories,National Greenhouse Accounts Factors
AUS,Australia,A,82,III.1,Solid waste disposal,9,covered,city_or_municipality,City / municipality (city-ready),no,National Waste and Resource Recovery Database / Report,AUS-010,City of Melbourne Municipal Greenhouse Gas Emissions (open data),National Greenhouse and Energy Reporting (NGER) — corporate & electricity facility data
AUS,Australia,A,82,III.2,Biological treatment of waste,3,covered,city_or_municipality,City / municipality (city-ready),no,National Waste and Resource Recovery Database / Report,AUS-010,State and Territory Greenhouse Gas Inventories,Australia's National Greenhouse Accounts / National Inventory Report (NIR)
AUS,Australia,A,82,III.3,Incineration & open burning,4,covered,neighborhood_or_small_area,Neighborhood / small area (city-ready),no,National Pollutant Inventory (NPI),AUS-014,National Waste and Resource Recovery Database / Report,State and Territory Greenhouse Gas Inventories
AUS,Australia,A,82,III.4,Wastewater treatment & discharge,7,covered,city_or_municipality,City / municipality (city-ready),no,City of Melbourne Municipal Greenhouse Gas Emissions (open data),AUS-016,National Greenhouse and Energy Reporting (NGER) — corporate & electricity facility data,State and Territory Greenhouse Gas Inventories
AUS,Australia,A,82,IV.1,Industrial processes,8,covered,neighborhood_or_small_area,Neighborhood / small area (city-ready),no,National Pollutant Inventory (NPI),AUS-014,National Greenhouse and Energy Reporting (NGER) — corporate & electricity facility data,Safeguard Mechanism facility emissions (CER)
AUS,Australia,A,82,IV.2,Product use,5,covered,state_or_province,State / province (needs downscaling to city),yes,State and Territory Greenhouse Gas Inventories,AUS-002,National Greenhouse Accounts Factors,Australia's National Greenhouse Accounts / National Inventory Report (NIR)
AUS,Australia,A,82,V.1,Livestock,5,covered,state_or_province,State / province (needs downscaling to city),yes,State and Territory Greenhouse Gas Inventories,AUS-002,ABS Agricultural Census / ABARES agricultural statistics,Australia's National Greenhouse Accounts / National Inventory Report (NIR)
AUS,Australia,A,82,V.2,Land,8,covered,state_or_province,State / province (needs downscaling to city),yes,State and Territory Greenhouse Gas Inventories,AUS-002,ABS Agricultural Census / ABARES agricultural statistics,Australia's State of the Forests / ABARES forest statistics
AUS,Australia,A,82,V.3,Aggregate sources & non-CO₂ emissions sources on land,5,covered,state_or_province,State / province (needs downscaling to city),yes,State and Territory Greenhouse Gas Inventories,AUS-002,ABS Agricultural Census / ABARES agricultural statistics,Australia's National Greenhouse Accounts / National Inventory Report (NIR)
AUS,Australia,A,82,VI.1,Other Scope 3,3,covered,state_or_province,State / province (needs downscaling to city),yes,National Greenhouse Accounts Factors,AUS-004,Household energy surveys / ABS household consumption modules,"Energy Account, Australia (ABS)"
CRI,Costa Rica,B,74,I.1,Residential buildings,10,covered,city_or_municipality,City / municipality (city-ready),no,SINAMECC — Sistema Nacional de Métrica de Cambio Climático (datos abiertos),CRI-002,ARESEP / RECOPE — ventas de hidrocarburos,Programa País Carbono Neutralidad (PPCN) — categoría cantonal
CRI,Costa Rica,B,74,I.2,Commercial & institutional buildings,10,covered,city_or_municipality,City / municipality (city-ready),no,SINAMECC — Sistema Nacional de Métrica de Cambio Climático (datos abiertos),CRI-002,ARESEP / RECOPE — ventas de hidrocarburos,Programa País Carbono Neutralidad (PPCN) — categoría cantonal
CRI,Costa Rica,B,74,I.3,Manufacturing industries & construction,11,covered,city_or_municipality,City / municipality (city-ready),no,SINAMECC — Sistema Nacional de Métrica de Cambio Climático (datos abiertos),CRI-002,ARESEP / RECOPE — ventas de hidrocarburos,Programa País Carbono Neutralidad (PPCN) — categoría cantonal
CRI,Costa Rica,B,74,I.4,Energy industries,10,covered,city_or_municipality,City / municipality (city-ready),no,SINAMECC — Sistema Nacional de Métrica de Cambio Climático (datos abiertos),CRI-002,Programa País Carbono Neutralidad (PPCN) — categoría cantonal,Inventario Nacional de Gases de Efecto Invernadero (INGEI) — IMN/DCC
CRI,Costa Rica,B,74,I.5,"Agriculture, forestry & fishing energy",4,covered,city_or_municipality,City / municipality (city-ready),no,ARESEP / RECOPE — ventas de hidrocarburos,CRI-005,INEC — Encuesta Nacional Agropecuaria (ENA) y estadísticas agropecuarias,Inventario Nacional de Gases de Efecto Invernadero (INGEI) — IMN/DCC
CRI,Costa Rica,B,74,I.6,Non-specified sources,0,missing,unknown,Unknown,n/a,,,,
CRI,Costa Rica,B,74,I.7,"Fugitive emissions from mining, processing, storage & transport of coal",0,missing,unknown,Unknown,n/a,,,,
CRI,Costa Rica,B,74,I.8,Fugitive emissions from oil & natural gas systems,2,covered,national,National only (needs downscaling to city),yes,Inventario Nacional de Gases de Efecto Invernadero (INGEI) — IMN/DCC,CRI-001,Fugitivas de distribución de combustibles/GLP (INGEI + ARESEP gas),
CRI,Costa Rica,B,74,II.1,On-road transportation,11,covered,city_or_municipality,City / municipality (city-ready),no,SINAMECC — Sistema Nacional de Métrica de Cambio Climático (datos abiertos),CRI-002,ARESEP / RECOPE — ventas de hidrocarburos,Programa País Carbono Neutralidad (PPCN) — categoría cantonal
CRI,Costa Rica,B,74,II.2,Railways,4,covered,city_or_municipality,City / municipality (city-ready),no,Programa País Carbono Neutralidad (PPCN) — categoría cantonal,CRI-007,MOPT — Anuario de tránsito / conteos vehiculares y anuario sector transportes,Inventario Nacional de Gases de Efecto Invernadero (INGEI) — IMN/DCC
CRI,Costa Rica,B,74,II.3,Waterborne navigation,5,covered,facility_or_asset,Facility / asset (point sources in cities),no,MOPT — Anuario de tránsito / conteos vehiculares y anuario sector transportes,CRI-011,DGAC / INCOP — aviación civil y puertos,Inventario Nacional de Gases de Efecto Invernadero (INGEI) — IMN/DCC
CRI,Costa Rica,B,74,II.4,Aviation,6,covered,city_or_municipality,City / municipality (city-ready),no,ARESEP / RECOPE — ventas de hidrocarburos,CRI-005,MOPT — Anuario de tránsito / conteos vehiculares y anuario sector transportes,DGAC / INCOP — aviación civil y puertos
CRI,Costa Rica,B,74,II.5,Off-road transportation,2,covered,city_or_municipality,City / municipality (city-ready),no,ARESEP / RECOPE — ventas de hidrocarburos,CRI-005,Inventario Nacional de Gases de Efecto Invernadero (INGEI) — IMN/DCC,
CRI,Costa Rica,B,74,III.1,Solid waste disposal,7,covered,city_or_municipality,City / municipality (city-ready),no,SINAMECC — Sistema Nacional de Métrica de Cambio Climático (datos abiertos),CRI-002,Programa País Carbono Neutralidad (PPCN) — categoría cantonal,Inventario Nacional de Gases de Efecto Invernadero (INGEI) — IMN/DCC
CRI,Costa Rica,B,74,III.2,Biological treatment of waste,2,covered,city_or_municipality,City / municipality (city-ready),no,Inventario Nacional de Gases de Efecto Invernadero (INGEI) — IMN/DCC,CRI-001,Ministerio de Salud / municipalidades — residuos sólidos (PNGIR / datos municipales),
CRI,Costa Rica,B,74,III.3,Incineration & open burning,2,covered,city_or_municipality,City / municipality (city-ready),no,Inventario Nacional de Gases de Efecto Invernadero (INGEI) — IMN/DCC,CRI-001,Ministerio de Salud / municipalidades — residuos sólidos (PNGIR / datos municipales),
CRI,Costa Rica,B,74,III.4,Wastewater treatment & discharge,4,covered,city_or_municipality,City / municipality (city-ready),no,Programa País Carbono Neutralidad (PPCN) — categoría cantonal,CRI-007,Inventario Nacional de Gases de Efecto Invernadero (INGEI) — IMN/DCC,AyA / ASADAS — agua potable y saneamiento / aguas residuales
CRI,Costa Rica,B,74,IV.1,Industrial processes,6,covered,city_or_municipality,City / municipality (city-ready),no,SINAMECC — Sistema Nacional de Métrica de Cambio Climático (datos abiertos),CRI-002,Programa País Carbono Neutralidad (PPCN) — categoría cantonal,Inventario Nacional de Gases de Efecto Invernadero (INGEI) — IMN/DCC
CRI,Costa Rica,B,74,IV.2,Product use,3,covered,city_or_municipality,City / municipality (city-ready),no,Programa País Carbono Neutralidad (PPCN) — categoría cantonal,CRI-007,Inventario Nacional de Gases de Efecto Invernadero (INGEI) — IMN/DCC,F-gases / uso de productos (INGEI IPPU)
CRI,Costa Rica,B,74,V.1,Livestock,6,covered,city_or_municipality,City / municipality (city-ready),no,SINAMECC — Sistema Nacional de Métrica de Cambio Climático (datos abiertos),CRI-002,Programa País Carbono Neutralidad (PPCN) — categoría cantonal,INEC — Encuesta Nacional Agropecuaria (ENA) y estadísticas agropecuarias
CRI,Costa Rica,B,74,V.2,Land,8,covered,city_or_municipality,City / municipality (city-ready),no,SINAMECC — Sistema Nacional de Métrica de Cambio Climático (datos abiertos),CRI-002,Programa País Carbono Neutralidad (PPCN) — categoría cantonal,INEC — Encuesta Nacional Agropecuaria (ENA) y estadísticas agropecuarias
CRI,Costa Rica,B,74,V.3,Aggregate sources & non-CO₂ emissions sources on land,4,covered,state_or_province,State / province (needs downscaling to city),yes,INEC — Encuesta Nacional Agropecuaria (ENA) y estadísticas agropecuarias,CRI-009,Inventario Nacional de Gases de Efecto Invernadero (INGEI) — IMN/DCC,EDGAR GHG gridded & cities emissions
CRI,Costa Rica,B,74,VI.1,Other Scope 3,2,covered,city_or_municipality,City / municipality (city-ready),no,SINAMECC — Sistema Nacional de Métrica de Cambio Climático (datos abiertos),CRI-002,BCCR — Cuenta de Energía (flujos físicos),
ARG,Argentina,B,68,I.1,Residential buildings,11,covered,city_or_municipality,City / municipality (city-ready),no,Inventario de GEI de la Ciudad de Buenos Aires (IGEI CABA) — GPC,ARG-013,Volúmenes de combustibles — bocas de expendio y despacho (Res. S.E. 1104/2004 y afines),Datos Abiertos Energía (portal datos.gob.ar / datos.energia.gob.ar)
ARG,Argentina,B,68,I.2,Commercial & institutional buildings,11,covered,city_or_municipality,City / municipality (city-ready),no,Inventario de GEI de la Ciudad de Buenos Aires (IGEI CABA) — GPC,ARG-013,Volúmenes de combustibles — bocas de expendio y despacho (Res. S.E. 1104/2004 y afines),Datos Abiertos Energía (portal datos.gob.ar / datos.energia.gob.ar)
ARG,Argentina,B,68,I.3,Manufacturing industries & construction,12,covered,city_or_municipality,City / municipality (city-ready),no,Inventario de GEI de la Ciudad de Buenos Aires (IGEI CABA) — GPC,ARG-013,Volúmenes de combustibles — bocas de expendio y despacho (Res. S.E. 1104/2004 y afines),Datos Abiertos Energía (portal datos.gob.ar / datos.energia.gob.ar)
ARG,Argentina,B,68,I.4,Energy industries,11,covered,city_or_municipality,City / municipality (city-ready),no,Inventario de GEI de la Ciudad de Buenos Aires (IGEI CABA) — GPC,ARG-013,SESCO / estadísticas de hidrocarburos (producción petróleo y gas),Datos Abiertos Energía (portal datos.gob.ar / datos.energia.gob.ar)
ARG,Argentina,B,68,I.5,"Agriculture, forestry & fishing energy",4,covered,other_or_mixed,Mixed / other,no,Asignación por jurisdicción del INGEI (desagregación provincial),ARG-002,Inventario Nacional de Gases de Efecto Invernadero (INGEI) / Informe Nacional de Inventario (INI),Balance Energético Nacional (BEN)
ARG,Argentina,B,68,I.6,Non-specified sources,0,missing,unknown,Unknown,n/a,,,,
ARG,Argentina,B,68,I.7,"Fugitive emissions from mining, processing, storage & transport of coal",2,covered,other_or_mixed,Mixed / other,no,Asignación por jurisdicción del INGEI (desagregación provincial),ARG-002,Inventario Nacional de Gases de Efecto Invernadero (INGEI) / Informe Nacional de Inventario (INI),
ARG,Argentina,B,68,I.8,Fugitive emissions from oil & natural gas systems,7,covered,city_or_municipality,City / municipality (city-ready),no,Inventario de GEI de la Ciudad de Buenos Aires (IGEI CABA) — GPC,ARG-013,SESCO / estadísticas de hidrocarburos (producción petróleo y gas),Datos Abiertos Energía (portal datos.gob.ar / datos.energia.gob.ar)
ARG,Argentina,B,68,II.1,On-road transportation,11,covered,city_or_municipality,City / municipality (city-ready),no,Inventario de GEI de la Ciudad de Buenos Aires (IGEI CABA) — GPC,ARG-013,Volúmenes de combustibles — bocas de expendio y despacho (Res. S.E. 1104/2004 y afines),Datos Abiertos Energía (portal datos.gob.ar / datos.energia.gob.ar)
ARG,Argentina,B,68,II.2,Railways,4,covered,city_or_municipality,City / municipality (city-ready),no,Inventario de GEI de la Ciudad de Buenos Aires (IGEI CABA) — GPC,ARG-013,Asignación por jurisdicción del INGEI (desagregación provincial),Inventario Nacional de Gases de Efecto Invernadero (INGEI) / Informe Nacional de Inventario (INI)
ARG,Argentina,B,68,II.3,Waterborne navigation,5,covered,other_or_mixed,Mixed / other,no,Asignación por jurisdicción del INGEI (desagregación provincial),ARG-002,Inventario Nacional de Gases de Efecto Invernadero (INGEI) / Informe Nacional de Inventario (INI),Estadísticas portuarias / fluvial-marítima (AGP y Ministerio de Transporte)
