iso3,country,related_gpc_sector,sector_name,rank_in_sector,dataset_id,dataset_name,publisher,confidence_level,granularity_class,authoritative_tier,granularity_label
CAN,Canada,I.4,Energy industries,2,CAN-002,Greenhouse Gas Reporting Program (GHGRP) facility emissions,ECCC,High,facility_or_asset,Primary official,Facility / asset (point sources in cities)
CAN,Canada,I.4,Energy industries,3,CAN-001,Canada's Official Greenhouse Gas Inventory / National Inventory Report (NIR),Environment and Climate Change Canada (ECCC),High,state_or_province,Primary official,State / province (needs downscaling to city)
CAN,Canada,I.5,"Agriculture, forestry & fishing energy",1,CAN-001,Canada's Official Greenhouse Gas Inventory / National Inventory Report (NIR),Environment and Climate Change Canada (ECCC),High,state_or_province,Primary official,State / province (needs downscaling to city)
CAN,Canada,I.5,"Agriculture, forestry & fishing energy",2,CAN-008,Census of Agriculture (incl. geodata products),Statistics Canada,High,other_or_mixed,Primary official,Mixed / other
CAN,Canada,I.5,"Agriculture, forestry & fishing energy",3,CAN-004,Report on Energy Supply and Demand in Canada (RESD) / energy tables,Statistics Canada / Canadian Centre for Energy Information,High,national,Primary official,National only (needs downscaling to city)
CAN,Canada,I.7,"Fugitive emissions from mining, processing, storage & transport of coal",1,CAN-001,Canada's Official Greenhouse Gas Inventory / National Inventory Report (NIR),Environment and Climate Change Canada (ECCC),High,state_or_province,Primary official,State / province (needs downscaling to city)
CAN,Canada,I.8,Fugitive emissions from oil & natural gas systems,1,CAN-002,Greenhouse Gas Reporting Program (GHGRP) facility emissions,ECCC,High,facility_or_asset,Primary official,Facility / asset (point sources in cities)
CAN,Canada,I.8,Fugitive emissions from oil & natural gas systems,2,CAN-001,Canada's Official Greenhouse Gas Inventory / National Inventory Report (NIR),Environment and Climate Change Canada (ECCC),High,state_or_province,Primary official,State / province (needs downscaling to city)
CAN,Canada,I.8,Fugitive emissions from oil & natural gas systems,3,CAN-013,CER pipeline throughput & capacity / energy system data,Canada Energy Regulator (CER),High,other_or_mixed,Primary official,Mixed / other
CAN,Canada,II.1,On-road transportation,1,CAN-010,BC Community Energy and Emissions Inventory (CEEI),Government of British Columbia,High,city_or_municipality,Provincial official,City / municipality (city-ready)
CAN,Canada,II.1,On-road transportation,2,CAN-011,Toronto Sector-Based Emissions Inventory (SBEI) / community GHG inventory,City of Toronto,High,city_or_municipality,City official,City / municipality (city-ready)
CAN,Canada,II.1,On-road transportation,3,CAN-012,Calgary Community-wide GHG Inventory (Open Calgary),City of Calgary,High,city_or_municipality,City official,City / municipality (city-ready)
CAN,Canada,II.2,Railways,1,CAN-011,Toronto Sector-Based Emissions Inventory (SBEI) / community GHG inventory,City of Toronto,High,city_or_municipality,City official,City / municipality (city-ready)
CAN,Canada,II.2,Railways,2,CAN-001,Canada's Official Greenhouse Gas Inventory / National Inventory Report (NIR),Environment and Climate Change Canada (ECCC),High,state_or_province,Primary official,State / province (needs downscaling to city)
CAN,Canada,II.2,Railways,3,CAN-016,StatCan rail / marine transport statistics,Statistics Canada / Transport Canada,High,national,Primary official,National only (needs downscaling to city)
CAN,Canada,II.3,Waterborne navigation,1,CAN-001,Canada's Official Greenhouse Gas Inventory / National Inventory Report (NIR),Environment and Climate Change Canada (ECCC),High,state_or_province,Primary official,State / province (needs downscaling to city)
CAN,Canada,II.3,Waterborne navigation,2,CAN-016,StatCan rail / marine transport statistics,Statistics Canada / Transport Canada,High,national,Primary official,National only (needs downscaling to city)
CAN,Canada,II.3,Waterborne navigation,3,CAN-019,EDGAR GHG gridded & cities emissions,European Commission JRC,High,modeled_grid,International modeled,Modeled / international (cross-check only)
CAN,Canada,II.4,Aviation,1,CAN-015,StatCan air carrier / airport traffic statistics,Statistics Canada / airport authorities,High,facility_or_asset,Primary official,Facility / asset (point sources in cities)
CAN,Canada,II.4,Aviation,2,CAN-001,Canada's Official Greenhouse Gas Inventory / National Inventory Report (NIR),Environment and Climate Change Canada (ECCC),High,state_or_province,Primary official,State / province (needs downscaling to city)
CAN,Canada,II.4,Aviation,3,CAN-019,EDGAR GHG gridded & cities emissions,European Commission JRC,High,modeled_grid,International modeled,Modeled / international (cross-check only)
CAN,Canada,II.5,Off-road transportation,1,CAN-002,Greenhouse Gas Reporting Program (GHGRP) facility emissions,ECCC,High,facility_or_asset,Primary official,Facility / asset (point sources in cities)
CAN,Canada,II.5,Off-road transportation,2,CAN-001,Canada's Official Greenhouse Gas Inventory / National Inventory Report (NIR),Environment and Climate Change Canada (ECCC),High,state_or_province,Primary official,State / province (needs downscaling to city)
CAN,Canada,III.1,Solid waste disposal,1,CAN-010,BC Community Energy and Emissions Inventory (CEEI),Government of British Columbia,High,city_or_municipality,Provincial official,City / municipality (city-ready)
CAN,Canada,III.1,Solid waste disposal,2,CAN-011,Toronto Sector-Based Emissions Inventory (SBEI) / community GHG inventory,City of Toronto,High,city_or_municipality,City official,City / municipality (city-ready)
CAN,Canada,III.1,Solid waste disposal,3,CAN-012,Calgary Community-wide GHG Inventory (Open Calgary),City of Calgary,High,city_or_municipality,City official,City / municipality (city-ready)
CAN,Canada,III.2,Biological treatment of waste,1,CAN-017,Waste Management Survey / solid waste statistics (StatCan) + landfill reporters in GHGRP,Statistics Canada; ECCC GHGRP landfill reporters,High,facility_or_asset,Primary official,Facility / asset (point sources in cities)
CAN,Canada,III.2,Biological treatment of waste,2,CAN-001,Canada's Official Greenhouse Gas Inventory / National Inventory Report (NIR),Environment and Climate Change Canada (ECCC),High,state_or_province,Primary official,State / province (needs downscaling to city)
CAN,Canada,III.3,Incineration & open burning,1,CAN-017,Waste Management Survey / solid waste statistics (StatCan) + landfill reporters in GHGRP,Statistics Canada; ECCC GHGRP landfill reporters,High,facility_or_asset,Primary official,Facility / asset (point sources in cities)
CAN,Canada,III.3,Incineration & open burning,2,CAN-018,National Pollutant Release Inventory (NPRI),ECCC,High,facility_or_asset,Primary official,Facility / asset (point sources in cities)
CAN,Canada,III.3,Incineration & open burning,3,CAN-001,Canada's Official Greenhouse Gas Inventory / National Inventory Report (NIR),Environment and Climate Change Canada (ECCC),High,state_or_province,Primary official,State / province (needs downscaling to city)
CAN,Canada,III.4,Wastewater treatment & discharge,1,CAN-011,Toronto Sector-Based Emissions Inventory (SBEI) / community GHG inventory,City of Toronto,High,city_or_municipality,City official,City / municipality (city-ready)
CAN,Canada,III.4,Wastewater treatment & discharge,2,CAN-012,Calgary Community-wide GHG Inventory (Open Calgary),City of Calgary,High,city_or_municipality,City official,City / municipality (city-ready)
CAN,Canada,III.4,Wastewater treatment & discharge,3,CAN-002,Greenhouse Gas Reporting Program (GHGRP) facility emissions,ECCC,High,facility_or_asset,Primary official,Facility / asset (point sources in cities)
CAN,Canada,IV.1,Industrial processes,1,CAN-011,Toronto Sector-Based Emissions Inventory (SBEI) / community GHG inventory,City of Toronto,High,city_or_municipality,City official,City / municipality (city-ready)
CAN,Canada,IV.1,Industrial processes,2,CAN-002,Greenhouse Gas Reporting Program (GHGRP) facility emissions,ECCC,High,facility_or_asset,Primary official,Facility / asset (point sources in cities)
CAN,Canada,IV.1,Industrial processes,3,CAN-018,National Pollutant Release Inventory (NPRI),ECCC,High,facility_or_asset,Primary official,Facility / asset (point sources in cities)
CAN,Canada,IV.2,Product use,1,CAN-011,Toronto Sector-Based Emissions Inventory (SBEI) / community GHG inventory,City of Toronto,High,city_or_municipality,City official,City / municipality (city-ready)
CAN,Canada,IV.2,Product use,2,CAN-001,Canada's Official Greenhouse Gas Inventory / National Inventory Report (NIR),Environment and Climate Change Canada (ECCC),High,state_or_province,Primary official,State / province (needs downscaling to city)
CAN,Canada,IV.2,Product use,3,CAN-025,HFC / refrigeration product-use statistics (NIR IPPU + Environment Canada ODS/HFC reporting context),ECCC (NIR IPPU product use),High,national,Primary official,National only (needs downscaling to city)
CAN,Canada,V.1,Livestock,1,CAN-001,Canada's Official Greenhouse Gas Inventory / National Inventory Report (NIR),Environment and Climate Change Canada (ECCC),High,state_or_province,Primary official,State / province (needs downscaling to city)
CAN,Canada,V.1,Livestock,2,CAN-008,Census of Agriculture (incl. geodata products),Statistics Canada,High,other_or_mixed,Primary official,Mixed / other
CAN,Canada,V.1,Livestock,3,CAN-019,EDGAR GHG gridded & cities emissions,European Commission JRC,High,modeled_grid,International modeled,Modeled / international (cross-check only)
CAN,Canada,V.2,Land,1,CAN-010,BC Community Energy and Emissions Inventory (CEEI),Government of British Columbia,High,city_or_municipality,Provincial official,City / municipality (city-ready)
CAN,Canada,V.2,Land,2,CAN-001,Canada's Official Greenhouse Gas Inventory / National Inventory Report (NIR),Environment and Climate Change Canada (ECCC),High,state_or_province,Primary official,State / province (needs downscaling to city)
CAN,Canada,V.2,Land,3,CAN-008,Census of Agriculture (incl. geodata products),Statistics Canada,High,other_or_mixed,Primary official,Mixed / other
CAN,Canada,V.3,Aggregate sources & non-CO₂ emissions sources on land,1,CAN-001,Canada's Official Greenhouse Gas Inventory / National Inventory Report (NIR),Environment and Climate Change Canada (ECCC),High,state_or_province,Primary official,State / province (needs downscaling to city)
CAN,Canada,V.3,Aggregate sources & non-CO₂ emissions sources on land,2,CAN-008,Census of Agriculture (incl. geodata products),Statistics Canada,High,other_or_mixed,Primary official,Mixed / other
CAN,Canada,V.3,Aggregate sources & non-CO₂ emissions sources on land,3,CAN-019,EDGAR GHG gridded & cities emissions,European Commission JRC,High,modeled_grid,International modeled,Modeled / international (cross-check only)
CAN,Canada,VI.1,Other Scope 3,1,CAN-003,Canadian System of Environmental-Economic Accounts — energy use & GHG (SEEA PFA),Statistics Canada,High,national,Primary official,National only (needs downscaling to city)
CAN,Canada,VI.1,Other Scope 3,2,CAN-023,Households and the Environment Survey / Survey of Household Spending (energy modules),Statistics Canada,High,national,Primary official,National only (needs downscaling to city)
AUS,Australia,I.1,Residential buildings,1,AUS-016,City of Melbourne Municipal Greenhouse Gas Emissions (open data),City of Melbourne,High,city_or_municipality,City official,City / municipality (city-ready)
AUS,Australia,I.1,Residential buildings,2,AUS-002,State and Territory Greenhouse Gas Inventories,DCCEEW,High,state_or_province,Primary official,State / province (needs downscaling to city)
AUS,Australia,I.1,Residential buildings,3,AUS-004,National Greenhouse Accounts Factors,DCCEEW,High,state_or_province,Primary official,State / province (needs downscaling to city)
AUS,Australia,I.2,Commercial & institutional buildings,1,AUS-016,City of Melbourne Municipal Greenhouse Gas Emissions (open data),City of Melbourne,High,city_or_municipality,City official,City / municipality (city-ready)
AUS,Australia,I.2,Commercial & institutional buildings,2,AUS-002,State and Territory Greenhouse Gas Inventories,DCCEEW,High,state_or_province,Primary official,State / province (needs downscaling to city)
AUS,Australia,I.2,Commercial & institutional buildings,3,AUS-004,National Greenhouse Accounts Factors,DCCEEW,High,state_or_province,Primary official,State / province (needs downscaling to city)
AUS,Australia,I.3,Manufacturing industries & construction,1,AUS-014,National Pollutant Inventory (NPI),DCCEEW,High,neighborhood_or_small_area,Primary official,Neighborhood / small area (city-ready)
AUS,Australia,I.3,Manufacturing industries & construction,2,AUS-016,City of Melbourne Municipal Greenhouse Gas Emissions (open data),City of Melbourne,High,city_or_municipality,City official,City / municipality (city-ready)
AUS,Australia,I.3,Manufacturing industries & construction,3,AUS-003,National Greenhouse and Energy Reporting (NGER) — corporate & electricity facility data,Clean Energy Regulator (CER),High,facility_or_asset,Primary official,Facility / asset (point sources in cities)
AUS,Australia,I.4,Energy industries,1,AUS-016,City of Melbourne Municipal Greenhouse Gas Emissions (open data),City of Melbourne,High,city_or_municipality,City official,City / municipality (city-ready)
AUS,Australia,I.4,Energy industries,2,AUS-003,National Greenhouse and Energy Reporting (NGER) — corporate & electricity facility data,Clean Energy Regulator (CER),High,facility_or_asset,Primary official,Facility / asset (point sources in cities)
AUS,Australia,I.4,Energy industries,3,AUS-007,"AEMO NEM / electricity market data (generation, demand, carbon intensity products)",Australian Energy Market Operator (AEMO),High,facility_or_asset,Primary official / system operator,Facility / asset (point sources in cities)
AUS,Australia,I.5,"Agriculture, forestry & fishing energy",1,AUS-002,State and Territory Greenhouse Gas Inventories,DCCEEW,High,state_or_province,Primary official,State / province (needs downscaling to city)
AUS,Australia,I.5,"Agriculture, forestry & fishing energy",2,AUS-005,Australian Energy Statistics / Australian Energy Update,DCCEEW (energy.gov.au),High,state_or_province,Primary official,State / province (needs downscaling to city)
AUS,Australia,I.5,"Agriculture, forestry & fishing energy",3,AUS-011,ABS Agricultural Census / ABARES agricultural statistics,ABS / ABARES (DAFF),High,state_or_province,Primary official,State / province (needs downscaling to city)
AUS,Australia,I.7,"Fugitive emissions from mining, processing, storage & transport of coal",1,AUS-002,State and Territory Greenhouse Gas Inventories,DCCEEW,High,state_or_province,Primary official,State / province (needs downscaling to city)
AUS,Australia,I.7,"Fugitive emissions from mining, processing, storage & transport of coal",2,AUS-001,Australia's National Greenhouse Accounts / National Inventory Report (NIR),"Department of Climate Change, Energy, the Environment and Water (DCCEEW)",High,national,Primary official,National only (needs downscaling to city)
