iso3,country,related_ccra_indicator,indicator_name,rank,dataset_id,dataset_name,publisher,granularity_class,authoritative_tier,confidence_level,horizons_covered,role
GBR,United Kingdom,CCRA-018,Inadequate Sanitation,1,GBR-A001,"ONS Census 2021 — population, age/sex, housing & deprivation dimensions (LSOA/MSOA)",Office for National Statistics (ONS),neighborhood_or_small_area,Primary official,High,present,primary_mapping
GBR,United Kingdom,CCRA-019,Inadequate water access,1,GBR-A001,"ONS Census 2021 — population, age/sex, housing & deprivation dimensions (LSOA/MSOA)",Office for National Statistics (ONS),neighborhood_or_small_area,Primary official,High,present,primary_mapping
GBR,United Kingdom,CCRA-019,Inadequate water access,2,GBR-A026,WRI Aqueduct + water company / EA water resources plans,WRI / water companies / EA,other_or_mixed,Secondary official,Medium,present;2030;2050,primary_mapping
GBR,United Kingdom,CCRA-020,Income,1,GBR-A002,English Indices of Deprivation (IoD/IMD) + Welsh/Scottish/NI IMD,MHCLG / Welsh Government / Scottish Government / NISRA,neighborhood_or_small_area,Primary official,High,present,primary_mapping
GBR,United Kingdom,CCRA-020,Income,2,GBR-A001,"ONS Census 2021 — population, age/sex, housing & deprivation dimensions (LSOA/MSOA)",Office for National Statistics (ONS),neighborhood_or_small_area,Primary official,High,present,primary_mapping
GBR,United Kingdom,CCRA-020,Income,3,GBR-A036,OEF shared city Vulnerability score (age/social screening),Open Earth Foundation,neighborhood_or_small_area,OEF derived screening,High,present,primary_mapping
GBR,United Kingdom,CCRA-021,Industrial GDP share,1,GBR-A020,ONS / OBR National Accounts — agriculture & industry GVA shares,Office for National Statistics,national,Primary official,High,present,primary_mapping
GBR,United Kingdom,CCRA-022,Landslide Susceptibility,1,GBR-A012,BGS GeoSure / landslide susceptibility & mass-movement datasets,British Geological Survey,modeled_grid,Primary official,High,present,primary_mapping
GBR,United Kingdom,CCRA-022,Landslide Susceptibility,2,GBR-A031,OEF Landslide Hazard Score (city screening ensemble),Open Earth Foundation (models/landslide_hazard),modeled_grid,OEF derived screening,High,present,primary_mapping
GBR,United Kingdom,CCRA-022,Landslide Susceptibility,3,GBR-A034,OEF Landslide Risk Score H×E×V (city screening),Open Earth Foundation (landslide_risk),modeled_grid,OEF derived screening,High,present,primary_mapping
GBR,United Kingdom,CCRA-022,Landslide Susceptibility,4,GBR-A013,NASA LHASA + Copernicus DEM (landslide drivers / global hazard),NASA / ESA,modeled_grid,International modeled,Medium,present,primary_mapping
GBR,United Kingdom,CCRA-023,Landslide Threat Index,1,GBR-A012,BGS GeoSure / landslide susceptibility & mass-movement datasets,British Geological Survey,modeled_grid,Primary official,High,present,primary_mapping
GBR,United Kingdom,CCRA-023,Landslide Threat Index,2,GBR-A031,OEF Landslide Hazard Score (city screening ensemble),Open Earth Foundation (models/landslide_hazard),modeled_grid,OEF derived screening,High,present,primary_mapping
GBR,United Kingdom,CCRA-023,Landslide Threat Index,3,GBR-A034,OEF Landslide Risk Score H×E×V (city screening),Open Earth Foundation (landslide_risk),modeled_grid,OEF derived screening,High,present,primary_mapping
GBR,United Kingdom,CCRA-023,Landslide Threat Index,4,GBR-A037,OEF Flood / Heat / Landslide mechanism-type layers (NbS screening),Open Earth Foundation (nbs_*_mechanism_type),modeled_grid,OEF derived screening,Medium,present,primary_mapping
GBR,United Kingdom,CCRA-023,Landslide Threat Index,5,GBR-A013,NASA LHASA + Copernicus DEM (landslide drivers / global hazard),NASA / ESA,modeled_grid,International modeled,Medium,present,primary_mapping
GBR,United Kingdom,CCRA-024,Maximum Consecutive Dry Days (CDD),1,GBR-A011,HadUK-Grid / Met Office drought & extreme rainfall indices,Met Office,modeled_grid,Primary official,High,present,primary_mapping
GBR,United Kingdom,CCRA-024,Maximum Consecutive Dry Days (CDD),2,GBR-A010,UKCP18 / Met Office climate projections + UK Climate Projections user tools,Met Office / Defra,modeled_grid,Primary official,High,present;2030;2050,primary_mapping
GBR,United Kingdom,CCRA-024,Maximum Consecutive Dry Days (CDD),3,GBR-A014,CHIRPS / ERA5-Land / OEF HWM & FRI inputs,UCSB / ECMWF / OEF,modeled_grid,International modeled,High,present;2030;2050,primary_mapping
GBR,United Kingdom,CCRA-025,Maximum Precipitation 5 days (Rx5day),1,GBR-A011,HadUK-Grid / Met Office drought & extreme rainfall indices,Met Office,modeled_grid,Primary official,High,present,primary_mapping
GBR,United Kingdom,CCRA-025,Maximum Precipitation 5 days (Rx5day),2,GBR-A010,UKCP18 / Met Office climate projections + UK Climate Projections user tools,Met Office / Defra,modeled_grid,Primary official,High,present;2030;2050,primary_mapping
GBR,United Kingdom,CCRA-025,Maximum Precipitation 5 days (Rx5day),3,GBR-A014,CHIRPS / ERA5-Land / OEF HWM & FRI inputs,UCSB / ECMWF / OEF,modeled_grid,International modeled,High,present;2030;2050,primary_mapping
GBR,United Kingdom,CCRA-026,Maximum temperature,1,GBR-A011,HadUK-Grid / Met Office drought & extreme rainfall indices,Met Office,modeled_grid,Primary official,High,present,primary_mapping
GBR,United Kingdom,CCRA-026,Maximum temperature,2,GBR-A010,UKCP18 / Met Office climate projections + UK Climate Projections user tools,Met Office / Defra,modeled_grid,Primary official,High,present;2030;2050,primary_mapping
GBR,United Kingdom,CCRA-026,Maximum temperature,3,GBR-A030,OEF Heat Hazard Score (city screening ensemble),Open Earth Foundation (models/heat_hazard),modeled_grid,OEF derived screening,High,present,primary_mapping
GBR,United Kingdom,CCRA-026,Maximum temperature,4,GBR-A033,OEF Heat Risk Score H×E×V (city screening),Open Earth Foundation (heat_risk),modeled_grid,OEF derived screening,High,present,primary_mapping
GBR,United Kingdom,CCRA-026,Maximum temperature,5,GBR-A037,OEF Flood / Heat / Landslide mechanism-type layers (NbS screening),Open Earth Foundation (nbs_*_mechanism_type),modeled_grid,OEF derived screening,Medium,present,primary_mapping
GBR,United Kingdom,CCRA-027,Natural vegetation cover,1,GBR-A017,National Forest Inventory / Forest Research + Hansen GFC + Living England/Wales land cover,Forest Research / JNCC / UMD / EA,modeled_grid,Primary official,High,present,primary_mapping
GBR,United Kingdom,CCRA-028,Population density,1,GBR-A003,ONS / OS Boundary-Line & Census geographies (OA/LSOA/MSOA/LAD),ONS / Ordnance Survey,neighborhood_or_small_area,Primary official,High,n/a,primary_mapping
GBR,United Kingdom,CCRA-028,Population density,2,GBR-A001,"ONS Census 2021 — population, age/sex, housing & deprivation dimensions (LSOA/MSOA)",Office for National Statistics (ONS),neighborhood_or_small_area,Primary official,High,present,primary_mapping
GBR,United Kingdom,CCRA-028,Population density,3,GBR-A035,OEF shared city Exposure score (population density screening),Open Earth Foundation,neighborhood_or_small_area,OEF derived screening,High,present,primary_mapping
GBR,United Kingdom,CCRA-028,Population density,4,GBR-A032,OEF Flood Risk Score H×E×V (city screening),Open Earth Foundation (flood_risk),modeled_grid,OEF derived screening,High,present,primary_mapping
GBR,United Kingdom,CCRA-028,Population density,5,GBR-A033,OEF Heat Risk Score H×E×V (city screening),Open Earth Foundation (heat_risk),modeled_grid,OEF derived screening,High,present,primary_mapping
GBR,United Kingdom,CCRA-029,Port infrastructures,1,GBR-A022,DfT / port authorities — UK port infrastructure & maritime statistics,Department for Transport / port authorities,facility_or_asset,Primary official,High,present,primary_mapping
GBR,United Kingdom,CCRA-029,Port infrastructures,2,GBR-A009,National Coastal Erosion Risk Mapping (NCERM) 2024,Environment Agency,modeled_grid,Primary official,High,present;2030;2050,primary_mapping
GBR,United Kingdom,CCRA-029,Port infrastructures,3,GBR-A021,"OS Open Roads / OpenMap / OSM — roads, rail, ports, buildings",Ordnance Survey / OSM,facility_or_asset,Primary official,High,present,primary_mapping
GBR,United Kingdom,CCRA-029,Port infrastructures,4,GBR-A015,UK sea-level projections (UKCP18 marine / MCCIP) + EA coastal flood products,Met Office / MCCIP / Environment Agency,modeled_grid,Primary official,High,present;2030;2050,primary_mapping
GBR,United Kingdom,CCRA-030,Power generation facilities,1,GBR-A023,DESNZ DUKES / Digest of UK Energy Statistics; subnational electricity & gas; WRI power plants,DESNZ / WRI,neighborhood_or_small_area,Primary official,High,present,primary_mapping
GBR,United Kingdom,CCRA-031,Protected areas,1,GBR-A018,Natural England / NRW / NatureScot protected sites + WDPA,Natural England / NRW / NatureScot / JNCC,facility_or_asset,Primary official,High,present,primary_mapping
GBR,United Kingdom,CCRA-032,Railroad density,1,GBR-A021,"OS Open Roads / OpenMap / OSM — roads, rail, ports, buildings",Ordnance Survey / OSM,facility_or_asset,Primary official,High,present,primary_mapping
GBR,United Kingdom,CCRA-033,Relative humidity,1,GBR-A010,UKCP18 / Met Office climate projections + UK Climate Projections user tools,Met Office / Defra,modeled_grid,Primary official,High,present;2030;2050,primary_mapping
GBR,United Kingdom,CCRA-033,Relative humidity,2,GBR-A014,CHIRPS / ERA5-Land / OEF HWM & FRI inputs,UCSB / ECMWF / OEF,modeled_grid,International modeled,High,present;2030;2050,primary_mapping
GBR,United Kingdom,CCRA-034,Road density,1,GBR-A021,"OS Open Roads / OpenMap / OSM — roads, rail, ports, buildings",Ordnance Survey / OSM,facility_or_asset,Primary official,High,present,primary_mapping
GBR,United Kingdom,CCRA-035,Sea Level change,1,GBR-A006,Environment Agency — Risk of Flooding from Rivers and Sea (RoFRS) + climate-change scenarios,Environment Agency (Defra DSP),modeled_grid,Primary official,High,present;2030;2050,primary_mapping
GBR,United Kingdom,CCRA-035,Sea Level change,2,GBR-A009,National Coastal Erosion Risk Mapping (NCERM) 2024,Environment Agency,modeled_grid,Primary official,High,present;2030;2050,primary_mapping
GBR,United Kingdom,CCRA-035,Sea Level change,3,GBR-A015,UK sea-level projections (UKCP18 marine / MCCIP) + EA coastal flood products,Met Office / MCCIP / Environment Agency,modeled_grid,Primary official,High,present;2030;2050,primary_mapping
GBR,United Kingdom,CCRA-036,Standardized Precipitation Evapotranspiration Index (SPEI),1,GBR-A011,HadUK-Grid / Met Office drought & extreme rainfall indices,Met Office,modeled_grid,Primary official,High,present,primary_mapping
GBR,United Kingdom,CCRA-036,Standardized Precipitation Evapotranspiration Index (SPEI),2,GBR-A010,UKCP18 / Met Office climate projections + UK Climate Projections user tools,Met Office / Defra,modeled_grid,Primary official,High,present;2030;2050,primary_mapping
GBR,United Kingdom,CCRA-036,Standardized Precipitation Evapotranspiration Index (SPEI),3,GBR-A014,CHIRPS / ERA5-Land / OEF HWM & FRI inputs,UCSB / ECMWF / OEF,modeled_grid,International modeled,High,present;2030;2050,primary_mapping
GBR,United Kingdom,CCRA-037,Total precipitation,1,GBR-A011,HadUK-Grid / Met Office drought & extreme rainfall indices,Met Office,modeled_grid,Primary official,High,present,primary_mapping
GBR,United Kingdom,CCRA-037,Total precipitation,2,GBR-A010,UKCP18 / Met Office climate projections + UK Climate Projections user tools,Met Office / Defra,modeled_grid,Primary official,High,present;2030;2050,primary_mapping
GBR,United Kingdom,CCRA-038,Urban infrastructure social vulnerability,1,GBR-A002,English Indices of Deprivation (IoD/IMD) + Welsh/Scottish/NI IMD,MHCLG / Welsh Government / Scottish Government / NISRA,neighborhood_or_small_area,Primary official,High,present,primary_mapping
GBR,United Kingdom,CCRA-038,Urban infrastructure social vulnerability,2,GBR-A001,"ONS Census 2021 — population, age/sex, housing & deprivation dimensions (LSOA/MSOA)",Office for National Statistics (ONS),neighborhood_or_small_area,Primary official,High,present,primary_mapping
GBR,United Kingdom,CCRA-038,Urban infrastructure social vulnerability,3,GBR-A021,"OS Open Roads / OpenMap / OSM — roads, rail, ports, buildings",Ordnance Survey / OSM,facility_or_asset,Primary official,High,present,primary_mapping
GBR,United Kingdom,CCRA-038,Urban infrastructure social vulnerability,4,GBR-A036,OEF shared city Vulnerability score (age/social screening),Open Earth Foundation,neighborhood_or_small_area,OEF derived screening,High,present,primary_mapping
GBR,United Kingdom,CCRA-038,Urban infrastructure social vulnerability,5,GBR-A025,Microsoft / OS Open Buildings footprints,Microsoft / Ordnance Survey,facility_or_asset,International modeled,Medium,present,primary_mapping
GBR,United Kingdom,CCRA-039,Urban stormwater drainage coverage,1,GBR-A007,Environment Agency — Risk of Flooding from Surface Water (RoFSW) + climate change,Environment Agency,modeled_grid,Primary official,High,present;2030;2050,related_proxy
GBR,United Kingdom,CCRA-039,Urban stormwater drainage coverage,2,GBR-A037,OEF Flood / Heat / Landslide mechanism-type layers (NbS screening),Open Earth Foundation (nbs_*_mechanism_type),modeled_grid,OEF derived screening,Medium,present,related_proxy
GBR,United Kingdom,CCRA-040,Waste Collection,1,GBR-A001,"ONS Census 2021 — population, age/sex, housing & deprivation dimensions (LSOA/MSOA)",Office for National Statistics (ONS),neighborhood_or_small_area,Primary official,High,present,primary_mapping
GBR,United Kingdom,CCRA-041,Water security index,1,GBR-A026,WRI Aqueduct + water company / EA water resources plans,WRI / water companies / EA,other_or_mixed,Secondary official,Medium,present;2030;2050,primary_mapping
MEX,Mexico,CCRA-001,Age Distribution,1,MEX-A001,INEGI Censo de Población y Vivienda 2020 — Principales resultados por AGEB y manzana urbana,Instituto Nacional de Estadística y Geografía (INEGI),neighborhood_or_small_area,Primary official,High,present,primary_mapping
MEX,Mexico,CCRA-001,Age Distribution,2,MEX-A036,OEF shared city Vulnerability score (age/social screening),Open Earth Foundation,neighborhood_or_small_area,OEF derived screening,High,present,primary_mapping
MEX,Mexico,CCRA-001,Age Distribution,3,MEX-A033,OEF Heat Risk Score H×E×V (city screening),Open Earth Foundation (heat_risk),modeled_grid,OEF derived screening,High,present,primary_mapping
MEX,Mexico,CCRA-002,Agricultural GDP share,1,MEX-A013,INEGI Censo Agropecuario / SIAP land use & irrigation statistics,INEGI / SIAP–SADER,state_or_province,Primary official,High,present,primary_mapping
MEX,Mexico,CCRA-002,Agricultural GDP share,2,MEX-A017,INEGI SCN / Cuentas por sectores — agroindustria e industria (PIB shares),INEGI,national,Primary official,High,present,primary_mapping
MEX,Mexico,CCRA-003,Agricultural establishment density,1,MEX-A013,INEGI Censo Agropecuario / SIAP land use & irrigation statistics,INEGI / SIAP–SADER,state_or_province,Primary official,High,present,primary_mapping
MEX,Mexico,CCRA-004,Agricultural land area,1,MEX-A013,INEGI Censo Agropecuario / SIAP land use & irrigation statistics,INEGI / SIAP–SADER,state_or_province,Primary official,High,present,primary_mapping
MEX,Mexico,CCRA-005,Areas of global conservation value,1,MEX-A015,CONANP / CONABIO Áreas Naturales Protegidas + WDPA México,CONANP / CONABIO / UNEP-WCMC,facility_or_asset,Primary official,High,present,primary_mapping
MEX,Mexico,CCRA-005,Areas of global conservation value,2,MEX-A016,Biodiversity Intactness Index + KBAs (México),NHM / BirdLife,modeled_grid,Research/NGO,Medium,present,primary_mapping
MEX,Mexico,CCRA-006,Biodiversity Intactness Index (BII),1,MEX-A016,Biodiversity Intactness Index + KBAs (México),NHM / BirdLife,modeled_grid,Research/NGO,Medium,present,primary_mapping
MEX,Mexico,CCRA-007,Confirmed disease cases,1,MEX-A005,CLUES / SSA establecimientos de salud + OSM healthcare POIs,Secretaría de Salud / DGIS / OSM,facility_or_asset,Primary official,High,present,primary_mapping
MEX,Mexico,CCRA-008,Dependence on large-scale irrigation,1,MEX-A013,INEGI Censo Agropecuario / SIAP land use & irrigation statistics,INEGI / SIAP–SADER,state_or_province,Primary official,High,present,primary_mapping
MEX,Mexico,CCRA-009,Electricity consumption,1,MEX-A019,CENACE / CFE / CRE generation registers + WRI Global Power Plant Database,CENACE / CFE / CRE / WRI,facility_or_asset,Primary official,High,present,primary_mapping
MEX,Mexico,CCRA-009,Electricity consumption,2,MEX-A020,SENER BNE/SIE electricity sales; Census dwelling electricity & CONEVAL energy-related carencias,SENER / INEGI / CONEVAL,other_or_mixed,Primary official,Medium,present,primary_mapping
MEX,Mexico,CCRA-010,Energy poverty,1,MEX-A002,CONEVAL Grado de Rezago Social AGEB urbana 2020 + estimaciones de pobreza urbana (AGEB/localidad),CONEVAL,neighborhood_or_small_area,Primary official,High,present,primary_mapping
MEX,Mexico,CCRA-010,Energy poverty,2,MEX-A001,INEGI Censo de Población y Vivienda 2020 — Principales resultados por AGEB y manzana urbana,Instituto Nacional de Estadística y Geografía (INEGI),neighborhood_or_small_area,Primary official,High,present,primary_mapping
MEX,Mexico,CCRA-010,Energy poverty,3,MEX-A020,SENER BNE/SIE electricity sales; Census dwelling electricity & CONEVAL energy-related carencias,SENER / INEGI / CONEVAL,other_or_mixed,Primary official,Medium,present,primary_mapping
MEX,Mexico,CCRA-011,Flood Threat Index,1,MEX-A006,CENAPRED Atlas Nacional de Riesgos — peligro/vulnerabilidad por inundación + catálogo de inundaciones,CENAPRED,modeled_grid,Primary official,High,present,primary_mapping
MEX,Mexico,CCRA-011,Flood Threat Index,2,MEX-A007,Atlas estatales/municipales de riesgos + CONAGUA puntos críticos de inundación,Estados / municipios / CONAGUA–CENAPRED,other_or_mixed,Primary official,High,present,primary_mapping
MEX,Mexico,CCRA-011,Flood Threat Index,3,MEX-A029,OEF Flood Hazard Score (city screening ensemble),Open Earth Foundation (models/flood_hazard),modeled_grid,OEF derived screening,High,present,primary_mapping
MEX,Mexico,CCRA-011,Flood Threat Index,4,MEX-A032,OEF Flood Risk Score H×E×V (city screening),Open Earth Foundation (flood_risk),modeled_grid,OEF derived screening,High,present,primary_mapping
MEX,Mexico,CCRA-011,Flood Threat Index,5,MEX-A028,OEF CHIRPS–COPDEM Flood Risk Index (FRI) — present+SSP,Open Earth Foundation,modeled_grid,OEF derived screening,Medium,present;2030;2050,primary_mapping
MEX,Mexico,CCRA-012,Food production and marketing,1,MEX-A013,INEGI Censo Agropecuario / SIAP land use & irrigation statistics,INEGI / SIAP–SADER,state_or_province,Primary official,High,present,primary_mapping
MEX,Mexico,CCRA-013,Forest cover,1,MEX-A014,CONAFOR INFyS / MAD-MEX land cover + Hansen GFC,CONAFOR / CONABIO / UMD,modeled_grid,Primary official,High,present,primary_mapping
MEX,Mexico,CCRA-014,Forest loss,1,MEX-A014,CONAFOR INFyS / MAD-MEX land cover + Hansen GFC,CONAFOR / CONABIO / UMD,modeled_grid,Primary official,High,present,primary_mapping
MEX,Mexico,CCRA-015,Health and basic services access,1,MEX-A002,CONEVAL Grado de Rezago Social AGEB urbana 2020 + estimaciones de pobreza urbana (AGEB/localidad),CONEVAL,neighborhood_or_small_area,Primary official,High,present,primary_mapping
MEX,Mexico,CCRA-015,Health and basic services access,2,MEX-A001,INEGI Censo de Población y Vivienda 2020 — Principales resultados por AGEB y manzana urbana,Instituto Nacional de Estadística y Geografía (INEGI),neighborhood_or_small_area,Primary official,High,present,primary_mapping
MEX,Mexico,CCRA-015,Health and basic services access,3,MEX-A005,CLUES / SSA establecimientos de salud + OSM healthcare POIs,Secretaría de Salud / DGIS / OSM,facility_or_asset,Primary official,High,present,primary_mapping
MEX,Mexico,CCRA-016,Health facility density,1,MEX-A005,CLUES / SSA establecimientos de salud + OSM healthcare POIs,Secretaría de Salud / DGIS / OSM,facility_or_asset,Primary official,High,present,primary_mapping
MEX,Mexico,CCRA-017,Households in hazard-prone areas,1,MEX-A003,INEGI Marco Geoestadístico — AGEB / manzana / municipio / entidad,INEGI,neighborhood_or_small_area,Primary official,High,n/a,primary_mapping
MEX,Mexico,CCRA-017,Households in hazard-prone areas,2,MEX-A006,CENAPRED Atlas Nacional de Riesgos — peligro/vulnerabilidad por inundación + catálogo de inundaciones,CENAPRED,modeled_grid,Primary official,High,present,primary_mapping
MEX,Mexico,CCRA-017,Households in hazard-prone areas,3,MEX-A009,CENAPRED Mapa Nacional de Susceptibilidad por Inestabilidad de Laderas (2020) + NASA LHASA/DEM drivers,CENAPRED / NASA / ESA,modeled_grid,Primary official,High,present,primary_mapping
MEX,Mexico,CCRA-017,Households in hazard-prone areas,4,MEX-A007,Atlas estatales/municipales de riesgos + CONAGUA puntos críticos de inundación,Estados / municipios / CONAGUA–CENAPRED,other_or_mixed,Primary official,High,present,primary_mapping
MEX,Mexico,CCRA-017,Households in hazard-prone areas,5,MEX-A018,"INEGI / OSM — carretera, ferrocarril, puertos, edificios; Microsoft footprints",INEGI / OSM / Microsoft,facility_or_asset,Secondary official,High,present,primary_mapping
MEX,Mexico,CCRA-018,Inadequate Sanitation,1,MEX-A001,INEGI Censo de Población y Vivienda 2020 — Principales resultados por AGEB y manzana urbana,Instituto Nacional de Estadística y Geografía (INEGI),neighborhood_or_small_area,Primary official,High,present,primary_mapping
