iso3,country,tier,score,related_ccra_indicator,indicator_name,dataset_count,proxy_dataset_count,coverage_status,readiness_status,best_granularity_class,best_granularity_label,needs_city_downscaling,top_dataset_1,top_dataset_1_id,top_dataset_2,top_dataset_3,top_note
GBR,United Kingdom,A,94,CCRA-011,Flood Threat Index,10,0,covered,city-ready,modeled_grid,Modeled grid (city screening),no,Environment Agency — Risk of Flooding from Rivers and Sea (RoFRS) + climate-change scenarios,GBR-A006,Environment Agency — Risk of Flooding from Surface Water (RoFSW) + climate change,Flood Map for Planning — Flood Zones (+ climate change),
GBR,United Kingdom,A,94,CCRA-012,Food production and marketing,1,0,covered,facility,facility_or_asset,Facility / asset (city-usable),no,"Defra / RPA agricultural land classification, June Survey, Crop Map of England",GBR-A016,,,
GBR,United Kingdom,A,94,CCRA-013,Forest cover,1,0,covered,city-ready,modeled_grid,Modeled grid (city screening),no,National Forest Inventory / Forest Research + Hansen GFC + Living England/Wales land cover,GBR-A017,,,
GBR,United Kingdom,A,94,CCRA-014,Forest loss,1,0,covered,city-ready,modeled_grid,Modeled grid (city screening),no,National Forest Inventory / Forest Research + Hansen GFC + Living England/Wales land cover,GBR-A017,,,
GBR,United Kingdom,A,94,CCRA-015,Health and basic services access,3,0,covered,city-ready,neighborhood_or_small_area,Neighborhood / small area (city-ready),no,English Indices of Deprivation (IoD/IMD) + Welsh/Scottish/NI IMD,GBR-A002,"ONS Census 2021 — population, age/sex, housing & deprivation dimensions (LSOA/MSOA)",NHS Digital / ODS health sites + OSM healthcare POIs,
GBR,United Kingdom,A,94,CCRA-016,Health facility density,1,0,covered,facility,facility_or_asset,Facility / asset (city-usable),no,NHS Digital / ODS health sites + OSM healthcare POIs,GBR-A005,,,
GBR,United Kingdom,A,94,CCRA-017,Households in hazard-prone areas,13,0,covered,city-ready,neighborhood_or_small_area,Neighborhood / small area (city-ready),no,ONS / OS Boundary-Line & Census geographies (OA/LSOA/MSOA/LAD),GBR-A003,BGS GeoSure / landslide susceptibility & mass-movement datasets,Environment Agency — Risk of Flooding from Rivers and Sea (RoFRS) + climate-change scenarios,
GBR,United Kingdom,A,94,CCRA-018,Inadequate Sanitation,1,0,covered,city-ready,neighborhood_or_small_area,Neighborhood / small area (city-ready),no,"ONS Census 2021 — population, age/sex, housing & deprivation dimensions (LSOA/MSOA)",GBR-A001,,,
GBR,United Kingdom,A,94,CCRA-019,Inadequate water access,2,0,covered,mixed,neighborhood_or_small_area,Neighborhood / small area (city-ready),no,"ONS Census 2021 — population, age/sex, housing & deprivation dimensions (LSOA/MSOA)",GBR-A001,WRI Aqueduct + water company / EA water resources plans,,
GBR,United Kingdom,A,94,CCRA-020,Income,3,0,covered,city-ready,neighborhood_or_small_area,Neighborhood / small area (city-ready),no,English Indices of Deprivation (IoD/IMD) + Welsh/Scottish/NI IMD,GBR-A002,"ONS Census 2021 — population, age/sex, housing & deprivation dimensions (LSOA/MSOA)",OEF shared city Vulnerability score (age/social screening),
GBR,United Kingdom,A,94,CCRA-021,Industrial GDP share,1,0,covered,needs downscaling (national),national,National (needs downscaling),yes,ONS / OBR National Accounts — agriculture & industry GVA shares,GBR-A020,,,
GBR,United Kingdom,A,94,CCRA-022,Landslide Susceptibility,4,0,covered,city-ready,modeled_grid,Modeled grid (city screening),no,BGS GeoSure / landslide susceptibility & mass-movement datasets,GBR-A012,OEF Landslide Hazard Score (city screening ensemble),OEF Landslide Risk Score H×E×V (city screening),
GBR,United Kingdom,A,94,CCRA-023,Landslide Threat Index,5,0,covered,city-ready,modeled_grid,Modeled grid (city screening),no,BGS GeoSure / landslide susceptibility & mass-movement datasets,GBR-A012,OEF Landslide Hazard Score (city screening ensemble),OEF Landslide Risk Score H×E×V (city screening),
GBR,United Kingdom,A,94,CCRA-024,Maximum Consecutive Dry Days (CDD),3,0,covered,city-ready,modeled_grid,Modeled grid (city screening),no,HadUK-Grid / Met Office drought & extreme rainfall indices,GBR-A011,UKCP18 / Met Office climate projections + UK Climate Projections user tools,CHIRPS / ERA5-Land / OEF HWM & FRI inputs,
GBR,United Kingdom,A,94,CCRA-025,Maximum Precipitation 5 days (Rx5day),3,0,covered,city-ready,modeled_grid,Modeled grid (city screening),no,HadUK-Grid / Met Office drought & extreme rainfall indices,GBR-A011,UKCP18 / Met Office climate projections + UK Climate Projections user tools,CHIRPS / ERA5-Land / OEF HWM & FRI inputs,
GBR,United Kingdom,A,94,CCRA-026,Maximum temperature,6,0,covered,city-ready,modeled_grid,Modeled grid (city screening),no,HadUK-Grid / Met Office drought & extreme rainfall indices,GBR-A011,UKCP18 / Met Office climate projections + UK Climate Projections user tools,OEF Heat Hazard Score (city screening ensemble),
GBR,United Kingdom,A,94,CCRA-027,Natural vegetation cover,1,0,covered,city-ready,modeled_grid,Modeled grid (city screening),no,National Forest Inventory / Forest Research + Hansen GFC + Living England/Wales land cover,GBR-A017,,,
GBR,United Kingdom,A,94,CCRA-028,Population density,7,0,covered,city-ready,neighborhood_or_small_area,Neighborhood / small area (city-ready),no,ONS / OS Boundary-Line & Census geographies (OA/LSOA/MSOA/LAD),GBR-A003,"ONS Census 2021 — population, age/sex, housing & deprivation dimensions (LSOA/MSOA)",OEF shared city Exposure score (population density screening),
GBR,United Kingdom,A,94,CCRA-029,Port infrastructures,4,0,covered,city-ready,modeled_grid,Modeled grid (city screening),no,DfT / port authorities — UK port infrastructure & maritime statistics,GBR-A022,National Coastal Erosion Risk Mapping (NCERM) 2024,"OS Open Roads / OpenMap / OSM — roads, rail, ports, buildings",
GBR,United Kingdom,A,94,CCRA-030,Power generation facilities,1,0,covered,city-ready,neighborhood_or_small_area,Neighborhood / small area (city-ready),no,DESNZ DUKES / Digest of UK Energy Statistics; subnational electricity & gas; WRI power plants,GBR-A023,,,
GBR,United Kingdom,A,94,CCRA-031,Protected areas,1,0,covered,facility,facility_or_asset,Facility / asset (city-usable),no,Natural England / NRW / NatureScot protected sites + WDPA,GBR-A018,,,
GBR,United Kingdom,A,94,CCRA-032,Railroad density,1,0,covered,facility,facility_or_asset,Facility / asset (city-usable),no,"OS Open Roads / OpenMap / OSM — roads, rail, ports, buildings",GBR-A021,,,
GBR,United Kingdom,A,94,CCRA-033,Relative humidity,2,0,covered,city-ready,modeled_grid,Modeled grid (city screening),no,UKCP18 / Met Office climate projections + UK Climate Projections user tools,GBR-A010,CHIRPS / ERA5-Land / OEF HWM & FRI inputs,,
GBR,United Kingdom,A,94,CCRA-034,Road density,1,0,covered,facility,facility_or_asset,Facility / asset (city-usable),no,"OS Open Roads / OpenMap / OSM — roads, rail, ports, buildings",GBR-A021,,,
GBR,United Kingdom,A,94,CCRA-035,Sea Level change,3,0,covered,city-ready,modeled_grid,Modeled grid (city screening),no,Environment Agency — Risk of Flooding from Rivers and Sea (RoFRS) + climate-change scenarios,GBR-A006,National Coastal Erosion Risk Mapping (NCERM) 2024,UK sea-level projections (UKCP18 marine / MCCIP) + EA coastal flood products,
GBR,United Kingdom,A,94,CCRA-036,Standardized Precipitation Evapotranspiration Index (SPEI),3,0,covered,city-ready,modeled_grid,Modeled grid (city screening),no,HadUK-Grid / Met Office drought & extreme rainfall indices,GBR-A011,UKCP18 / Met Office climate projections + UK Climate Projections user tools,CHIRPS / ERA5-Land / OEF HWM & FRI inputs,
GBR,United Kingdom,A,94,CCRA-037,Total precipitation,2,0,covered,city-ready,modeled_grid,Modeled grid (city screening),no,HadUK-Grid / Met Office drought & extreme rainfall indices,GBR-A011,UKCP18 / Met Office climate projections + UK Climate Projections user tools,,
GBR,United Kingdom,A,94,CCRA-038,Urban infrastructure social vulnerability,5,0,covered,city-ready,neighborhood_or_small_area,Neighborhood / small area (city-ready),no,English Indices of Deprivation (IoD/IMD) + Welsh/Scottish/NI IMD,GBR-A002,"ONS Census 2021 — population, age/sex, housing & deprivation dimensions (LSOA/MSOA)","OS Open Roads / OpenMap / OSM — roads, rail, ports, buildings",
GBR,United Kingdom,A,94,CCRA-039,Urban stormwater drainage coverage,0,2,missing,missing,unknown,Gap,n/a,Environment Agency — Risk of Flooding from Surface Water (RoFSW) + climate change,GBR-A007,OEF Flood / Heat / Landslide mechanism-type layers (NbS screening),,related proxies only (hard gap)
GBR,United Kingdom,A,94,CCRA-040,Waste Collection,1,0,covered,city-ready,neighborhood_or_small_area,Neighborhood / small area (city-ready),no,"ONS Census 2021 — population, age/sex, housing & deprivation dimensions (LSOA/MSOA)",GBR-A001,,,
GBR,United Kingdom,A,94,CCRA-041,Water security index,1,0,covered,mixed,other_or_mixed,Mixed / other,no,WRI Aqueduct + water company / EA water resources plans,GBR-A026,,,
MEX,Mexico,A,91,CCRA-001,Age Distribution,3,0,covered,city-ready,neighborhood_or_small_area,Neighborhood / small area (city-ready),no,INEGI Censo de Población y Vivienda 2020 — Principales resultados por AGEB y manzana urbana,MEX-A001,OEF shared city Vulnerability score (age/social screening),OEF Heat Risk Score H×E×V (city screening),
MEX,Mexico,A,91,CCRA-002,Agricultural GDP share,2,0,covered,needs downscaling (state),state_or_province,State / province (needs downscaling),yes,INEGI Censo Agropecuario / SIAP land use & irrigation statistics,MEX-A013,INEGI SCN / Cuentas por sectores — agroindustria e industria (PIB shares),,
MEX,Mexico,A,91,CCRA-003,Agricultural establishment density,1,0,covered,needs downscaling (state),state_or_province,State / province (needs downscaling),yes,INEGI Censo Agropecuario / SIAP land use & irrigation statistics,MEX-A013,,,
MEX,Mexico,A,91,CCRA-004,Agricultural land area,1,0,covered,needs downscaling (state),state_or_province,State / province (needs downscaling),yes,INEGI Censo Agropecuario / SIAP land use & irrigation statistics,MEX-A013,,,
MEX,Mexico,A,91,CCRA-005,Areas of global conservation value,2,0,covered,city-ready,modeled_grid,Modeled grid (city screening),no,CONANP / CONABIO Áreas Naturales Protegidas + WDPA México,MEX-A015,Biodiversity Intactness Index + KBAs (México),,
MEX,Mexico,A,91,CCRA-006,Biodiversity Intactness Index (BII),1,0,covered,city-ready,modeled_grid,Modeled grid (city screening),no,Biodiversity Intactness Index + KBAs (México),MEX-A016,,,
MEX,Mexico,A,91,CCRA-007,Confirmed disease cases,1,0,covered,facility,facility_or_asset,Facility / asset (city-usable),no,CLUES / SSA establecimientos de salud + OSM healthcare POIs,MEX-A005,,,
MEX,Mexico,A,91,CCRA-008,Dependence on large-scale irrigation,1,0,covered,needs downscaling (state),state_or_province,State / province (needs downscaling),yes,INEGI Censo Agropecuario / SIAP land use & irrigation statistics,MEX-A013,,,
MEX,Mexico,A,91,CCRA-009,Electricity consumption,2,0,covered,mixed,facility_or_asset,Facility / asset (city-usable),no,CENACE / CFE / CRE generation registers + WRI Global Power Plant Database,MEX-A019,SENER BNE/SIE electricity sales; Census dwelling electricity & CONEVAL energy-related carencias,,
MEX,Mexico,A,91,CCRA-010,Energy poverty,3,0,covered,mixed,neighborhood_or_small_area,Neighborhood / small area (city-ready),no,CONEVAL Grado de Rezago Social AGEB urbana 2020 + estimaciones de pobreza urbana (AGEB/localidad),MEX-A002,INEGI Censo de Población y Vivienda 2020 — Principales resultados por AGEB y manzana urbana,SENER BNE/SIE electricity sales; Census dwelling electricity & CONEVAL energy-related carencias,
MEX,Mexico,A,91,CCRA-011,Flood Threat Index,8,0,covered,mixed,modeled_grid,Modeled grid (city screening),no,CENAPRED Atlas Nacional de Riesgos — peligro/vulnerabilidad por inundación + catálogo de inundaciones,MEX-A006,Atlas estatales/municipales de riesgos + CONAGUA puntos críticos de inundación,OEF Flood Hazard Score (city screening ensemble),
MEX,Mexico,A,91,CCRA-012,Food production and marketing,1,0,covered,needs downscaling (state),state_or_province,State / province (needs downscaling),yes,INEGI Censo Agropecuario / SIAP land use & irrigation statistics,MEX-A013,,,
MEX,Mexico,A,91,CCRA-013,Forest cover,1,0,covered,city-ready,modeled_grid,Modeled grid (city screening),no,CONAFOR INFyS / MAD-MEX land cover + Hansen GFC,MEX-A014,,,
MEX,Mexico,A,91,CCRA-014,Forest loss,1,0,covered,city-ready,modeled_grid,Modeled grid (city screening),no,CONAFOR INFyS / MAD-MEX land cover + Hansen GFC,MEX-A014,,,
MEX,Mexico,A,91,CCRA-015,Health and basic services access,3,0,covered,city-ready,neighborhood_or_small_area,Neighborhood / small area (city-ready),no,CONEVAL Grado de Rezago Social AGEB urbana 2020 + estimaciones de pobreza urbana (AGEB/localidad),MEX-A002,INEGI Censo de Población y Vivienda 2020 — Principales resultados por AGEB y manzana urbana,CLUES / SSA establecimientos de salud + OSM healthcare POIs,
MEX,Mexico,A,91,CCRA-016,Health facility density,1,0,covered,facility,facility_or_asset,Facility / asset (city-usable),no,CLUES / SSA establecimientos de salud + OSM healthcare POIs,MEX-A005,,,
MEX,Mexico,A,91,CCRA-017,Households in hazard-prone areas,10,0,covered,mixed,neighborhood_or_small_area,Neighborhood / small area (city-ready),no,INEGI Marco Geoestadístico — AGEB / manzana / municipio / entidad,MEX-A003,CENAPRED Atlas Nacional de Riesgos — peligro/vulnerabilidad por inundación + catálogo de inundaciones,CENAPRED Mapa Nacional de Susceptibilidad por Inestabilidad de Laderas (2020) + NASA LHASA/DEM drivers,
MEX,Mexico,A,91,CCRA-018,Inadequate Sanitation,1,0,covered,city-ready,neighborhood_or_small_area,Neighborhood / small area (city-ready),no,INEGI Censo de Población y Vivienda 2020 — Principales resultados por AGEB y manzana urbana,MEX-A001,,,
MEX,Mexico,A,91,CCRA-019,Inadequate water access,2,0,covered,mixed,neighborhood_or_small_area,Neighborhood / small area (city-ready),no,INEGI Censo de Población y Vivienda 2020 — Principales resultados por AGEB y manzana urbana,MEX-A001,CONAGUA REPDA / availability & drought monitors; organismos operadores urban water,,
MEX,Mexico,A,91,CCRA-020,Income,3,0,covered,city-ready,neighborhood_or_small_area,Neighborhood / small area (city-ready),no,CONEVAL Grado de Rezago Social AGEB urbana 2020 + estimaciones de pobreza urbana (AGEB/localidad),MEX-A002,INEGI Censo de Población y Vivienda 2020 — Principales resultados por AGEB y manzana urbana,OEF shared city Vulnerability score (age/social screening),
MEX,Mexico,A,91,CCRA-021,Industrial GDP share,1,0,covered,needs downscaling (national),national,National (needs downscaling),yes,INEGI SCN / Cuentas por sectores — agroindustria e industria (PIB shares),MEX-A017,,,
MEX,Mexico,A,91,CCRA-022,Landslide Susceptibility,3,0,covered,city-ready,modeled_grid,Modeled grid (city screening),no,CENAPRED Mapa Nacional de Susceptibilidad por Inestabilidad de Laderas (2020) + NASA LHASA/DEM drivers,MEX-A009,OEF Landslide Hazard Score (city screening ensemble),OEF Landslide Risk Score H×E×V (city screening),
MEX,Mexico,A,91,CCRA-023,Landslide Threat Index,4,0,covered,city-ready,modeled_grid,Modeled grid (city screening),no,CENAPRED Mapa Nacional de Susceptibilidad por Inestabilidad de Laderas (2020) + NASA LHASA/DEM drivers,MEX-A009,OEF Landslide Hazard Score (city screening ensemble),OEF Landslide Risk Score H×E×V (city screening),
MEX,Mexico,A,91,CCRA-024,Maximum Consecutive Dry Days (CDD),2,0,covered,city-ready,modeled_grid,Modeled grid (city screening),no,SMN / CONAGUA climate + INECC escenarios de cambio climático (proyecciones nacionales),MEX-A010,CHIRPS + ERA5-Land extremes / OEF HWM & FRI inputs,,
MEX,Mexico,A,91,CCRA-025,Maximum Precipitation 5 days (Rx5day),2,0,covered,city-ready,modeled_grid,Modeled grid (city screening),no,SMN / CONAGUA climate + INECC escenarios de cambio climático (proyecciones nacionales),MEX-A010,CHIRPS + ERA5-Land extremes / OEF HWM & FRI inputs,,
MEX,Mexico,A,91,CCRA-026,Maximum temperature,5,0,covered,city-ready,modeled_grid,Modeled grid (city screening),no,SMN / CONAGUA climate + INECC escenarios de cambio climático (proyecciones nacionales),MEX-A010,OEF Heat Hazard Score (city screening ensemble),OEF Heat Risk Score H×E×V (city screening),
MEX,Mexico,A,91,CCRA-027,Natural vegetation cover,1,0,covered,city-ready,modeled_grid,Modeled grid (city screening),no,CONAFOR INFyS / MAD-MEX land cover + Hansen GFC,MEX-A014,,,
MEX,Mexico,A,91,CCRA-028,Population density,6,0,covered,city-ready,neighborhood_or_small_area,Neighborhood / small area (city-ready),no,INEGI Censo de Población y Vivienda 2020 — Principales resultados por AGEB y manzana urbana,MEX-A001,OEF shared city Exposure score (population density screening),OEF Flood Risk Score H×E×V (city screening),
MEX,Mexico,A,91,CCRA-029,Port infrastructures,2,0,covered,mixed,facility_or_asset,Facility / asset (city-usable),no,INECC / SEMARNAT coastal vulnerability & SLR studies + tide gauges; IPCC AR6 regional SLR,MEX-A012,API / SCT / SEMAR ports & OSM harbour features,,
MEX,Mexico,A,91,CCRA-030,Power generation facilities,1,0,covered,facility,facility_or_asset,Facility / asset (city-usable),no,CENACE / CFE / CRE generation registers + WRI Global Power Plant Database,MEX-A019,,,
MEX,Mexico,A,91,CCRA-031,Protected areas,1,0,covered,facility,facility_or_asset,Facility / asset (city-usable),no,CONANP / CONABIO Áreas Naturales Protegidas + WDPA México,MEX-A015,,,
MEX,Mexico,A,91,CCRA-032,Railroad density,1,0,covered,facility,facility_or_asset,Facility / asset (city-usable),no,"INEGI / OSM — carretera, ferrocarril, puertos, edificios; Microsoft footprints",MEX-A018,,,
MEX,Mexico,A,91,CCRA-033,Relative humidity,2,0,covered,city-ready,modeled_grid,Modeled grid (city screening),no,SMN / CONAGUA climate + INECC escenarios de cambio climático (proyecciones nacionales),MEX-A010,CHIRPS + ERA5-Land extremes / OEF HWM & FRI inputs,,
MEX,Mexico,A,91,CCRA-034,Road density,1,0,covered,facility,facility_or_asset,Facility / asset (city-usable),no,"INEGI / OSM — carretera, ferrocarril, puertos, edificios; Microsoft footprints",MEX-A018,,,
MEX,Mexico,A,91,CCRA-035,Sea Level change,2,0,covered,mixed,modeled_grid,Modeled grid (city screening),no,SMN / CONAGUA climate + INECC escenarios de cambio climático (proyecciones nacionales),MEX-A010,INECC / SEMARNAT coastal vulnerability & SLR studies + tide gauges; IPCC AR6 regional SLR,,
MEX,Mexico,A,91,CCRA-036,Standardized Precipitation Evapotranspiration Index (SPEI),3,0,covered,mixed,modeled_grid,Modeled grid (city screening),no,SMN / CONAGUA climate + INECC escenarios de cambio climático (proyecciones nacionales),MEX-A010,CONAGUA REPDA / availability & drought monitors; organismos operadores urban water,CHIRPS + ERA5-Land extremes / OEF HWM & FRI inputs,
MEX,Mexico,A,91,CCRA-037,Total precipitation,2,0,covered,city-ready,modeled_grid,Modeled grid (city screening),no,SMN / CONAGUA climate + INECC escenarios de cambio climático (proyecciones nacionales),MEX-A010,CHIRPS + ERA5-Land extremes / OEF HWM & FRI inputs,,
MEX,Mexico,A,91,CCRA-038,Urban infrastructure social vulnerability,4,0,covered,city-ready,neighborhood_or_small_area,Neighborhood / small area (city-ready),no,CONEVAL Grado de Rezago Social AGEB urbana 2020 + estimaciones de pobreza urbana (AGEB/localidad),MEX-A002,INEGI Censo de Población y Vivienda 2020 — Principales resultados por AGEB y manzana urbana,"INEGI / OSM — carretera, ferrocarril, puertos, edificios; Microsoft footprints",
MEX,Mexico,A,91,CCRA-039,Urban stormwater drainage coverage,0,0,missing,missing,unknown,Gap,n/a,,,,,
MEX,Mexico,A,91,CCRA-040,Waste Collection,1,0,covered,city-ready,city_or_municipality,City / municipality (city-ready),no,SEMARNAT residuos / INEGI waste statistics + municipal collection open data,MEX-A022,,,
MEX,Mexico,A,91,CCRA-041,Water security index,2,0,covered,mixed,modeled_grid,Modeled grid (city screening),no,SMN / CONAGUA climate + INECC escenarios de cambio climático (proyecciones nacionales),MEX-A010,CONAGUA REPDA / availability & drought monitors; organismos operadores urban water,,
PHL,Philippines,A,90,CCRA-001,Age Distribution,5,0,covered,mixed,neighborhood_or_small_area,Neighborhood / small area (city-ready),no,"PSA Census of Population and Housing 2020 — barangay population, age/sex, housing & WASH",PHL-A001,OEF shared city Vulnerability score (age/social screening),OEF Heat Risk Score H×E×V (city screening),
PHL,Philippines,A,90,CCRA-002,Agricultural GDP share,2,0,covered,needs downscaling (state),state_or_province,State / province (needs downscaling),yes,PSA / DA agriculture & fisheries statistics (OpenSTAT),PHL-A023,PSA National Accounts — agriculture & industry GDP shares,,
PHL,Philippines,A,90,CCRA-003,Agricultural establishment density,1,0,covered,needs downscaling (state),state_or_province,State / province (needs downscaling),yes,PSA / DA agriculture & fisheries statistics (OpenSTAT),PHL-A023,,,
PHL,Philippines,A,90,CCRA-004,Agricultural land area,3,0,covered,mixed,modeled_grid,Modeled grid (city screening),no,PSA / DA agriculture & fisheries statistics (OpenSTAT),PHL-A023,NIA / DA irrigation service areas + FAO WaPOR,ESA WorldCover / Dynamic World + NAMRIA land cover,
PHL,Philippines,A,90,CCRA-005,Areas of global conservation value,2,0,covered,city-ready,modeled_grid,Modeled grid (city screening),no,World Database on Protected Areas (WDPA) + NIPAS sites,PHL-A021,Biodiversity Intactness Index (BII) + KBAs,,
PHL,Philippines,A,90,CCRA-006,Biodiversity Intactness Index (BII),1,0,covered,city-ready,modeled_grid,Modeled grid (city screening),no,Biodiversity Intactness Index (BII) + KBAs,PHL-A022,,,
PHL,Philippines,A,90,CCRA-007,Confirmed disease cases,1,0,covered,needs downscaling (state),state_or_province,State / province (needs downscaling),yes,"NDHS / DHS Philippines — health, WASH, nutrition",PHL-A006,,,
PHL,Philippines,A,90,CCRA-008,Dependence on large-scale irrigation,2,0,covered,mixed,facility_or_asset,Facility / asset (city-usable),no,PSA / DA agriculture & fisheries statistics (OpenSTAT),PHL-A023,NIA / DA irrigation service areas + FAO WaPOR,,
PHL,Philippines,A,90,CCRA-009,Electricity consumption,1,0,covered,mixed,other_or_mixed,Mixed / other,no,DOE Power Statistics / Meralco & electric cooperative sales; HECS,PHL-A030,,,
PHL,Philippines,A,90,CCRA-010,Energy poverty,2,0,covered,mixed,city_or_municipality,City / municipality (city-ready),no,PSA poverty statistics (FIES / SAE) + OpenSTAT poverty,PHL-A002,DOE Power Statistics / Meralco & electric cooperative sales; HECS,,
PHL,Philippines,A,90,CCRA-011,Flood Threat Index,9,0,covered,city-ready,modeled_grid,Modeled grid (city screening),no,Project NOAH — Flood hazard maps (5 / 25 / 100-year return periods),PHL-A007,OEF Flood Hazard Score (city screening ensemble),OEF Flood Risk Score H×E×V (city screening),
PHL,Philippines,A,90,CCRA-012,Food production and marketing,1,0,covered,needs downscaling (state),state_or_province,State / province (needs downscaling),yes,PSA / DA agriculture & fisheries statistics (OpenSTAT),PHL-A023,,,
PHL,Philippines,A,90,CCRA-013,Forest cover,2,0,covered,city-ready,modeled_grid,Modeled grid (city screening),no,ESA WorldCover / Dynamic World + NAMRIA land cover,PHL-A020,Hansen Global Forest Change (treecover / loss),,
PHL,Philippines,A,90,CCRA-014,Forest loss,1,0,covered,city-ready,modeled_grid,Modeled grid (city screening),no,Hansen Global Forest Change (treecover / loss),PHL-A019,,,
PHL,Philippines,A,90,CCRA-015,Health and basic services access,4,0,covered,mixed,neighborhood_or_small_area,Neighborhood / small area (city-ready),no,"PSA Census of Population and Housing 2020 — barangay population, age/sex, housing & WASH",PHL-A001,DOH National Health Facility Registry / healthsites.io,"NDHS / DHS Philippines — health, WASH, nutrition",
PHL,Philippines,A,90,CCRA-016,Health facility density,3,0,covered,mixed,facility_or_asset,Facility / asset (city-usable),no,DOH National Health Facility Registry / healthsites.io,PHL-A027,"OpenStreetMap — roads, rail, ports, health, buildings",HeiGIT / HDX risk assessment style composites (if published) + COD population joins,
PHL,Philippines,A,90,CCRA-017,Households in hazard-prone areas,13,0,covered,mixed,neighborhood_or_small_area,Neighborhood / small area (city-ready),no,Project NOAH — Flood hazard maps (5 / 25 / 100-year return periods),PHL-A007,Project NOAH — Landslide susceptibility & debris-flow / alluvial-fan hazards,Project NOAH — Storm surge advisory hazard maps (SSA 1–4),
PHL,Philippines,A,90,CCRA-018,Inadequate Sanitation,2,0,covered,mixed,neighborhood_or_small_area,Neighborhood / small area (city-ready),no,"PSA Census of Population and Housing 2020 — barangay population, age/sex, housing & WASH",PHL-A001,"NDHS / DHS Philippines — health, WASH, nutrition",,
PHL,Philippines,A,90,CCRA-019,Inadequate water access,3,0,covered,mixed,neighborhood_or_small_area,Neighborhood / small area (city-ready),no,"PSA Census of Population and Housing 2020 — barangay population, age/sex, housing & WASH",PHL-A001,"NDHS / DHS Philippines — health, WASH, nutrition",WRI Aqueduct Water Risk / water security composites,
PHL,Philippines,A,90,CCRA-020,Income,2,0,covered,city-ready,neighborhood_or_small_area,Neighborhood / small area (city-ready),no,PSA poverty statistics (FIES / SAE) + OpenSTAT poverty,PHL-A002,OEF shared city Vulnerability score (age/social screening),,
PHL,Philippines,A,90,CCRA-021,Industrial GDP share,1,0,covered,needs downscaling (national),national,National (needs downscaling),yes,PSA National Accounts — agriculture & industry GDP shares,PHL-A025,,,
PHL,Philippines,A,90,CCRA-022,Landslide Susceptibility,5,0,covered,city-ready,modeled_grid,Modeled grid (city screening),no,Project NOAH — Landslide susceptibility & debris-flow / alluvial-fan hazards,PHL-A008,OEF Landslide Hazard Score (city screening ensemble),OEF Landslide Risk Score H×E×V (city screening),
