iso3,country,track,cell_id,cell_name,covered,years_covered,year_frac,best_tier,city_ready,best_dataset_id,best_dataset_name,notes
ARG,Argentina,adaptation,CCRA-002,Agricultural GDP share,1,7,0.7,T1,0,ARG-A014,INDEC Censo Nacional Agropecuario 2018 + MAGyP land use / irrigation statistics,
ARG,Argentina,adaptation,CCRA-003,Agricultural establishment density,1,7,0.7,T1,0,ARG-A014,INDEC Censo Nacional Agropecuario 2018 + MAGyP land use / irrigation statistics,
ARG,Argentina,adaptation,CCRA-004,Agricultural land area,1,7,0.7,T1,0,ARG-A014,INDEC Censo Nacional Agropecuario 2018 + MAGyP land use / irrigation statistics,
ARG,Argentina,adaptation,CCRA-005,Areas of global conservation value,1,1,0.1,T1,1,ARG-A016,SIB / APN áreas protegidas + WDPA Argentina,
ARG,Argentina,adaptation,CCRA-006,Biodiversity Intactness Index (BII),1,1,0.1,T3,1,ARG-A017,Biodiversity Intactness Index + KBAs (Argentina),
ARG,Argentina,adaptation,CCRA-007,Confirmed disease cases,1,1,0.1,T1,1,ARG-A005,Ministerio de Salud / provincial health open data + OSM healthcare POIs,
ARG,Argentina,adaptation,CCRA-008,Dependence on large-scale irrigation,1,7,0.7,T1,0,ARG-A014,INDEC Censo Nacional Agropecuario 2018 + MAGyP land use / irrigation statistics,
ARG,Argentina,adaptation,CCRA-009,Electricity consumption,1,3,0.3,T1,1,ARG-A020,CAMMESA / Secretaría de Energía generation & SESCO; WRI Global Power Plant Database,
ARG,Argentina,adaptation,CCRA-010,Energy poverty,1,3,0.3,T1,1,ARG-A001,"INDEC Censo Nacional de Población, Hogares y Viviendas 2022 — radios censales (edad, NBI, vivienda, agua/saneamiento)",
ARG,Argentina,adaptation,CCRA-011,Flood Threat Index,1,1,0.1,T1,1,ARG-A006,INA / provincial flood hazard & floodplain studies + CABA/AMBA inundación open layers,
ARG,Argentina,adaptation,CCRA-012,Food production and marketing,1,7,0.7,T1,0,ARG-A014,INDEC Censo Nacional Agropecuario 2018 + MAGyP land use / irrigation statistics,
ARG,Argentina,adaptation,CCRA-013,Forest cover,1,1,0.1,T1,1,ARG-A015,UMSEF / Dirección de Bosques monitores + Hansen GFC + ESA WorldCover,
ARG,Argentina,adaptation,CCRA-014,Forest loss,1,1,0.1,T1,1,ARG-A015,UMSEF / Dirección de Bosques monitores + Hansen GFC + ESA WorldCover,
ARG,Argentina,adaptation,CCRA-015,Health and basic services access,1,3,0.3,T1,1,ARG-A001,"INDEC Censo Nacional de Población, Hogares y Viviendas 2022 — radios censales (edad, NBI, vivienda, agua/saneamiento)",
ARG,Argentina,adaptation,CCRA-016,Health facility density,1,1,0.1,T1,1,ARG-A005,Ministerio de Salud / provincial health open data + OSM healthcare POIs,
ARG,Argentina,adaptation,CCRA-017,Households in hazard-prone areas,1,2,0.2,T1,1,ARG-A003,INDEC Portal Geoestadístico — radios/fracciones/departamentos + IGN administrative boundaries,
ARG,Argentina,adaptation,CCRA-018,Inadequate Sanitation,1,3,0.3,T1,1,ARG-A001,"INDEC Censo Nacional de Población, Hogares y Viviendas 2022 — radios censales (edad, NBI, vivienda, agua/saneamiento)",
ARG,Argentina,adaptation,CCRA-019,Inadequate water access,1,3,0.3,T1,1,ARG-A001,"INDEC Censo Nacional de Población, Hogares y Viviendas 2022 — radios censales (edad, NBI, vivienda, agua/saneamiento)",
ARG,Argentina,adaptation,CCRA-020,Income,1,3,0.3,T1,1,ARG-A001,"INDEC Censo Nacional de Población, Hogares y Viviendas 2022 — radios censales (edad, NBI, vivienda, agua/saneamiento)",
ARG,Argentina,adaptation,CCRA-021,Industrial GDP share,1,1,0.1,T1,0,ARG-A018,INDEC Cuentas Nacionales / provincial GVA by industry (agro & industry shares),
ARG,Argentina,adaptation,CCRA-022,Landslide Susceptibility,1,1,0.1,T1,1,ARG-A013,SEGEMAR geological hazard / landslide inventories + provincial susceptibility (Andes/Sierras),
ARG,Argentina,adaptation,CCRA-023,Landslide Threat Index,1,1,0.1,T1,1,ARG-A013,SEGEMAR geological hazard / landslide inventories + provincial susceptibility (Andes/Sierras),
ARG,Argentina,adaptation,CCRA-024,Maximum Consecutive Dry Days (CDD),1,1,0.1,T1,1,ARG-A010,SMN observational climate + 3ra Comunicación Nacional / proyecciones climáticas nacionales,
ARG,Argentina,adaptation,CCRA-025,Maximum Precipitation 5 days (Rx5day),1,1,0.1,T1,1,ARG-A010,SMN observational climate + 3ra Comunicación Nacional / proyecciones climáticas nacionales,
ARG,Argentina,adaptation,CCRA-026,Maximum temperature,1,1,0.1,T1,1,ARG-A010,SMN observational climate + 3ra Comunicación Nacional / proyecciones climáticas nacionales,
ARG,Argentina,adaptation,CCRA-027,Natural vegetation cover,1,1,0.1,T1,1,ARG-A015,UMSEF / Dirección de Bosques monitores + Hansen GFC + ESA WorldCover,
ARG,Argentina,adaptation,CCRA-028,Population density,1,3,0.3,T1,1,ARG-A001,"INDEC Censo Nacional de Población, Hogares y Viviendas 2022 — radios censales (edad, NBI, vivienda, agua/saneamiento)",
ARG,Argentina,adaptation,CCRA-029,Port infrastructures,1,1,0.1,T1,1,ARG-A012,Servicio de Hidrografía Naval (SHN) / IPCC AR6 regional SLR + Río de la Plata coastal/sudestada studies,
ARG,Argentina,adaptation,CCRA-030,Power generation facilities,1,1,0.1,T1,1,ARG-A020,CAMMESA / Secretaría de Energía generation & SESCO; WRI Global Power Plant Database,
ARG,Argentina,adaptation,CCRA-031,Protected areas,1,1,0.1,T1,1,ARG-A016,SIB / APN áreas protegidas + WDPA Argentina,
ARG,Argentina,adaptation,CCRA-032,Railroad density,1,1,0.1,T1,1,ARG-A019,"IGN / OSM — roads, rail, ports, buildings; Microsoft footprints",
ARG,Argentina,adaptation,CCRA-033,Relative humidity,1,1,0.1,T1,1,ARG-A010,SMN observational climate + 3ra Comunicación Nacional / proyecciones climáticas nacionales,
ARG,Argentina,adaptation,CCRA-034,Road density,1,1,0.1,T1,1,ARG-A019,"IGN / OSM — roads, rail, ports, buildings; Microsoft footprints",
ARG,Argentina,adaptation,CCRA-035,Sea Level change,1,1,0.1,T1,1,ARG-A010,SMN observational climate + 3ra Comunicación Nacional / proyecciones climáticas nacionales,
ARG,Argentina,adaptation,CCRA-036,Standardized Precipitation Evapotranspiration Index (SPEI),1,1,0.1,T1,1,ARG-A010,SMN observational climate + 3ra Comunicación Nacional / proyecciones climáticas nacionales,
ARG,Argentina,adaptation,CCRA-037,Total precipitation,1,1,0.1,T1,1,ARG-A010,SMN observational climate + 3ra Comunicación Nacional / proyecciones climáticas nacionales,
ARG,Argentina,adaptation,CCRA-038,Urban infrastructure social vulnerability,1,3,0.3,T1,1,ARG-A001,"INDEC Censo Nacional de Población, Hogares y Viviendas 2022 — radios censales (edad, NBI, vivienda, agua/saneamiento)",
ARG,Argentina,adaptation,CCRA-039,Urban stormwater drainage coverage,0,0,0.0,,0,,,no usable dataset / gap
ARG,Argentina,adaptation,CCRA-040,Waste Collection,1,1,0.1,T1,1,ARG-A023,ENGIRSU / Observatorio RSU + CEAMSE (AMBA) + municipal waste open data,
ARG,Argentina,adaptation,CCRA-041,Water security index,1,1,0.1,T1,1,ARG-A010,SMN observational climate + 3ra Comunicación Nacional / proyecciones climáticas nacionales,
AUS,Australia,mitigation,I.1,Residential buildings,1,10,1.0,T1,1,AUS-001,Australia's National Greenhouse Accounts / National Inventory Report (NIR),
AUS,Australia,mitigation,I.2,Commercial & institutional buildings,1,10,1.0,T1,1,AUS-001,Australia's National Greenhouse Accounts / National Inventory Report (NIR),
AUS,Australia,mitigation,I.3,Manufacturing industries & construction,1,10,1.0,T1,1,AUS-001,Australia's National Greenhouse Accounts / National Inventory Report (NIR),
AUS,Australia,mitigation,I.4,Energy industries,1,10,1.0,T1,1,AUS-001,Australia's National Greenhouse Accounts / National Inventory Report (NIR),
AUS,Australia,mitigation,I.5,"Agriculture, forestry & fishing energy",1,10,1.0,T1,0,AUS-001,Australia's National Greenhouse Accounts / National Inventory Report (NIR),
AUS,Australia,mitigation,I.6,Non-specified sources,0,0,0.0,,0,,,no usable dataset / gap
AUS,Australia,mitigation,I.7,"Fugitive emissions from mining, processing, storage & transport of coal",1,10,1.0,T1,0,AUS-001,Australia's National Greenhouse Accounts / National Inventory Report (NIR),
AUS,Australia,mitigation,I.8,Fugitive emissions from oil & natural gas systems,1,10,1.0,T1,1,AUS-001,Australia's National Greenhouse Accounts / National Inventory Report (NIR),
AUS,Australia,mitigation,II.1,On-road transportation,1,10,1.0,T1,1,AUS-001,Australia's National Greenhouse Accounts / National Inventory Report (NIR),
AUS,Australia,mitigation,II.2,Railways,1,10,1.0,T1,1,AUS-001,Australia's National Greenhouse Accounts / National Inventory Report (NIR),
AUS,Australia,mitigation,II.3,Waterborne navigation,1,10,1.0,T1,0,AUS-001,Australia's National Greenhouse Accounts / National Inventory Report (NIR),
AUS,Australia,mitigation,II.4,Aviation,1,10,1.0,T1,0,AUS-001,Australia's National Greenhouse Accounts / National Inventory Report (NIR),
AUS,Australia,mitigation,II.5,Off-road transportation,1,10,1.0,T1,1,AUS-001,Australia's National Greenhouse Accounts / National Inventory Report (NIR),
AUS,Australia,mitigation,III.1,Solid waste disposal,1,10,1.0,T1,1,AUS-001,Australia's National Greenhouse Accounts / National Inventory Report (NIR),
AUS,Australia,mitigation,III.2,Biological treatment of waste,1,10,1.0,T1,1,AUS-001,Australia's National Greenhouse Accounts / National Inventory Report (NIR),
AUS,Australia,mitigation,III.3,Incineration & open burning,1,10,1.0,T1,1,AUS-001,Australia's National Greenhouse Accounts / National Inventory Report (NIR),
AUS,Australia,mitigation,III.4,Wastewater treatment & discharge,1,10,1.0,T1,1,AUS-001,Australia's National Greenhouse Accounts / National Inventory Report (NIR),
AUS,Australia,mitigation,IV.1,Industrial processes,1,10,1.0,T1,1,AUS-001,Australia's National Greenhouse Accounts / National Inventory Report (NIR),
AUS,Australia,mitigation,IV.2,Product use,1,10,1.0,T1,0,AUS-001,Australia's National Greenhouse Accounts / National Inventory Report (NIR),
AUS,Australia,mitigation,V.1,Livestock,1,10,1.0,T1,0,AUS-001,Australia's National Greenhouse Accounts / National Inventory Report (NIR),
AUS,Australia,mitigation,V.2,Land,1,10,1.0,T1,0,AUS-001,Australia's National Greenhouse Accounts / National Inventory Report (NIR),
AUS,Australia,mitigation,V.3,Aggregate sources & non-CO₂ emissions sources on land,1,10,1.0,T1,0,AUS-001,Australia's National Greenhouse Accounts / National Inventory Report (NIR),
AUS,Australia,mitigation,VI.1,Other Scope 3,1,1,0.1,T1,0,AUS-004,National Greenhouse Accounts Factors,
AUS,Australia,adaptation,CCRA-001,Age Distribution,1,9,0.9,T1,1,AUS-A001,"ABS Census of Population and Housing 2021 — SA1/SA2 General Community Profiles (age, income, housing, dwellings)",
AUS,Australia,adaptation,CCRA-002,Agricultural GDP share,1,1,0.1,T1,1,AUS-A016,ABARES / ABS Agricultural Census + Catchment Scale Land Use (CLUM) / irrigated agriculture layers,
AUS,Australia,adaptation,CCRA-003,Agricultural establishment density,1,1,0.1,T1,1,AUS-A016,ABARES / ABS Agricultural Census + Catchment Scale Land Use (CLUM) / irrigated agriculture layers,
AUS,Australia,adaptation,CCRA-004,Agricultural land area,1,1,0.1,T1,1,AUS-A016,ABARES / ABS Agricultural Census + Catchment Scale Land Use (CLUM) / irrigated agriculture layers,
AUS,Australia,adaptation,CCRA-005,Areas of global conservation value,1,1,0.1,T1,1,AUS-A018,Collaborative Australian Protected Areas Database (CAPAD) / WDPA,
AUS,Australia,adaptation,CCRA-006,Biodiversity Intactness Index (BII),1,1,0.1,T3,1,AUS-A019,Biodiversity Intactness Index + Key Biodiversity Areas (Australia),
AUS,Australia,adaptation,CCRA-007,Confirmed disease cases,1,1,0.1,T1,1,AUS-A005,AIHW / state health facility directories + OSM healthcare POIs,
AUS,Australia,adaptation,CCRA-008,Dependence on large-scale irrigation,1,1,0.1,T1,1,AUS-A016,ABARES / ABS Agricultural Census + Catchment Scale Land Use (CLUM) / irrigated agriculture layers,
AUS,Australia,adaptation,CCRA-009,Electricity consumption,1,1,0.1,T1,1,AUS-A022,AEMO / CER generator registers + WRI Global Power Plant Database,
AUS,Australia,adaptation,CCRA-010,Energy poverty,1,9,0.9,T1,1,AUS-A001,"ABS Census of Population and Housing 2021 — SA1/SA2 General Community Profiles (age, income, housing, dwellings)",
AUS,Australia,adaptation,CCRA-011,Flood Threat Index,1,7,0.7,T1,1,AUS-A006,Australian Flood Risk Information Portal (AFRIP) / GA Flood Study Database + WMS/WFS,
AUS,Australia,adaptation,CCRA-012,Food production and marketing,1,1,0.1,T1,1,AUS-A016,ABARES / ABS Agricultural Census + Catchment Scale Land Use (CLUM) / irrigated agriculture layers,
AUS,Australia,adaptation,CCRA-013,Forest cover,1,1,0.1,T1,1,AUS-A017,Australia's State of the Forests / National Forest Inventory + Hansen GFC + DEA land cover,
AUS,Australia,adaptation,CCRA-014,Forest loss,1,1,0.1,T1,1,AUS-A017,Australia's State of the Forests / National Forest Inventory + Hansen GFC + DEA land cover,
AUS,Australia,adaptation,CCRA-015,Health and basic services access,1,9,0.9,T1,1,AUS-A001,"ABS Census of Population and Housing 2021 — SA1/SA2 General Community Profiles (age, income, housing, dwellings)",
AUS,Australia,adaptation,CCRA-016,Health facility density,1,1,0.1,T1,1,AUS-A005,AIHW / state health facility directories + OSM healthcare POIs,
AUS,Australia,adaptation,CCRA-017,Households in hazard-prone areas,1,7,0.7,T1,1,AUS-A003,ABS ASGS Edition 3 digital boundaries (Mesh Block / SA1 / SA2 / LGA / GCCSA),
AUS,Australia,adaptation,CCRA-018,Inadequate Sanitation,1,9,0.9,T1,1,AUS-A001,"ABS Census of Population and Housing 2021 — SA1/SA2 General Community Profiles (age, income, housing, dwellings)",
AUS,Australia,adaptation,CCRA-019,Inadequate water access,1,9,0.9,T1,1,AUS-A001,"ABS Census of Population and Housing 2021 — SA1/SA2 General Community Profiles (age, income, housing, dwellings)",
AUS,Australia,adaptation,CCRA-020,Income,1,9,0.9,T1,1,AUS-A001,"ABS Census of Population and Housing 2021 — SA1/SA2 General Community Profiles (age, income, housing, dwellings)",
AUS,Australia,adaptation,CCRA-021,Industrial GDP share,1,1,0.1,T1,0,AUS-A020,ABS National Accounts / state GVA by industry (agriculture & industry shares),
AUS,Australia,adaptation,CCRA-022,Landslide Susceptibility,1,1,0.1,T1,1,AUS-A015,GA National Landslide Database / state landslide susceptibility inventories + DEM drivers,
AUS,Australia,adaptation,CCRA-023,Landslide Threat Index,1,1,0.1,T1,1,AUS-A015,GA National Landslide Database / state landslide susceptibility inventories + DEM drivers,
AUS,Australia,adaptation,CCRA-024,Maximum Consecutive Dry Days (CDD),1,1,0.1,T1,1,AUS-A011,Climate Change in Australia / NCRA / CSIRO–BoM national climate projections (CMIP),
AUS,Australia,adaptation,CCRA-025,Maximum Precipitation 5 days (Rx5day),1,1,0.1,T1,1,AUS-A011,Climate Change in Australia / NCRA / CSIRO–BoM national climate projections (CMIP),
AUS,Australia,adaptation,CCRA-026,Maximum temperature,1,1,0.1,T1,1,AUS-A011,Climate Change in Australia / NCRA / CSIRO–BoM national climate projections (CMIP),
AUS,Australia,adaptation,CCRA-027,Natural vegetation cover,1,1,0.1,T1,1,AUS-A017,Australia's State of the Forests / National Forest Inventory + Hansen GFC + DEA land cover,
AUS,Australia,adaptation,CCRA-028,Population density,1,9,0.9,T1,1,AUS-A001,"ABS Census of Population and Housing 2021 — SA1/SA2 General Community Profiles (age, income, housing, dwellings)",
AUS,Australia,adaptation,CCRA-029,Port infrastructures,1,1,0.1,T1,1,AUS-A014,CoastAdapt / Canute / GA coastal + IPCC AR6 regional SLR; state coastal hazard overlays,
AUS,Australia,adaptation,CCRA-030,Power generation facilities,1,1,0.1,T1,1,AUS-A022,AEMO / CER generator registers + WRI Global Power Plant Database,
AUS,Australia,adaptation,CCRA-031,Protected areas,1,1,0.1,T1,1,AUS-A018,Collaborative Australian Protected Areas Database (CAPAD) / WDPA,
AUS,Australia,adaptation,CCRA-032,Railroad density,1,1,0.1,T1,1,AUS-A021,"Geoscape / OSM / PSMA — roads, rail, ports, buildings; Microsoft footprints",
AUS,Australia,adaptation,CCRA-033,Relative humidity,1,1,0.1,T1,1,AUS-A012,Bureau of Meteorology climate grids / AWAP / AGCD + drought statements; SPEI/CDD/Rx5day derivable,
AUS,Australia,adaptation,CCRA-034,Road density,1,1,0.1,T1,1,AUS-A021,"Geoscape / OSM / PSMA — roads, rail, ports, buildings; Microsoft footprints",
AUS,Australia,adaptation,CCRA-035,Sea Level change,1,1,0.1,T1,1,AUS-A011,Climate Change in Australia / NCRA / CSIRO–BoM national climate projections (CMIP),
AUS,Australia,adaptation,CCRA-036,Standardized Precipitation Evapotranspiration Index (SPEI),1,1,0.1,T1,1,AUS-A011,Climate Change in Australia / NCRA / CSIRO–BoM national climate projections (CMIP),
AUS,Australia,adaptation,CCRA-037,Total precipitation,1,1,0.1,T1,1,AUS-A011,Climate Change in Australia / NCRA / CSIRO–BoM national climate projections (CMIP),
AUS,Australia,adaptation,CCRA-038,Urban infrastructure social vulnerability,1,9,0.9,T1,1,AUS-A001,"ABS Census of Population and Housing 2021 — SA1/SA2 General Community Profiles (age, income, housing, dwellings)",
AUS,Australia,adaptation,CCRA-039,Urban stormwater drainage coverage,0,0,0.0,,0,,,no usable dataset / gap
AUS,Australia,adaptation,CCRA-040,Waste Collection,1,1,0.1,T1,1,AUS-A025,ABS / state waste statistics + council kerbside collection open data,
AUS,Australia,adaptation,CCRA-041,Water security index,1,1,0.1,T1,1,AUS-A012,Bureau of Meteorology climate grids / AWAP / AGCD + drought statements; SPEI/CDD/Rx5day derivable,
CAN,Canada,mitigation,I.1,Residential buildings,1,10,1.0,T1,1,CAN-001,Canada's Official Greenhouse Gas Inventory / National Inventory Report (NIR),
CAN,Canada,mitigation,I.2,Commercial & institutional buildings,1,10,1.0,T1,1,CAN-001,Canada's Official Greenhouse Gas Inventory / National Inventory Report (NIR),
CAN,Canada,mitigation,I.3,Manufacturing industries & construction,1,10,1.0,T1,1,CAN-001,Canada's Official Greenhouse Gas Inventory / National Inventory Report (NIR),
CAN,Canada,mitigation,I.4,Energy industries,1,10,1.0,T1,1,CAN-001,Canada's Official Greenhouse Gas Inventory / National Inventory Report (NIR),
CAN,Canada,mitigation,I.5,"Agriculture, forestry & fishing energy",1,10,1.0,T1,0,CAN-001,Canada's Official Greenhouse Gas Inventory / National Inventory Report (NIR),
CAN,Canada,mitigation,I.6,Non-specified sources,0,0,0.0,,0,,,no usable dataset / gap
CAN,Canada,mitigation,I.7,"Fugitive emissions from mining, processing, storage & transport of coal",1,10,1.0,T1,0,CAN-001,Canada's Official Greenhouse Gas Inventory / National Inventory Report (NIR),
CAN,Canada,mitigation,I.8,Fugitive emissions from oil & natural gas systems,1,10,1.0,T1,1,CAN-001,Canada's Official Greenhouse Gas Inventory / National Inventory Report (NIR),
CAN,Canada,mitigation,II.1,On-road transportation,1,10,1.0,T1,1,CAN-001,Canada's Official Greenhouse Gas Inventory / National Inventory Report (NIR),
CAN,Canada,mitigation,II.2,Railways,1,10,1.0,T1,1,CAN-001,Canada's Official Greenhouse Gas Inventory / National Inventory Report (NIR),
CAN,Canada,mitigation,II.3,Waterborne navigation,1,10,1.0,T1,0,CAN-001,Canada's Official Greenhouse Gas Inventory / National Inventory Report (NIR),
CAN,Canada,mitigation,II.4,Aviation,1,10,1.0,T1,1,CAN-001,Canada's Official Greenhouse Gas Inventory / National Inventory Report (NIR),
CAN,Canada,mitigation,II.5,Off-road transportation,1,10,1.0,T1,1,CAN-001,Canada's Official Greenhouse Gas Inventory / National Inventory Report (NIR),
CAN,Canada,mitigation,III.1,Solid waste disposal,1,10,1.0,T1,1,CAN-001,Canada's Official Greenhouse Gas Inventory / National Inventory Report (NIR),
CAN,Canada,mitigation,III.2,Biological treatment of waste,1,10,1.0,T1,1,CAN-001,Canada's Official Greenhouse Gas Inventory / National Inventory Report (NIR),
CAN,Canada,mitigation,III.3,Incineration & open burning,1,10,1.0,T1,1,CAN-001,Canada's Official Greenhouse Gas Inventory / National Inventory Report (NIR),
CAN,Canada,mitigation,III.4,Wastewater treatment & discharge,1,10,1.0,T1,1,CAN-001,Canada's Official Greenhouse Gas Inventory / National Inventory Report (NIR),
CAN,Canada,mitigation,IV.1,Industrial processes,1,10,1.0,T1,1,CAN-001,Canada's Official Greenhouse Gas Inventory / National Inventory Report (NIR),
CAN,Canada,mitigation,IV.2,Product use,1,10,1.0,T1,1,CAN-001,Canada's Official Greenhouse Gas Inventory / National Inventory Report (NIR),
CAN,Canada,mitigation,V.1,Livestock,1,10,1.0,T1,0,CAN-001,Canada's Official Greenhouse Gas Inventory / National Inventory Report (NIR),
CAN,Canada,mitigation,V.2,Land,1,10,1.0,T1,1,CAN-001,Canada's Official Greenhouse Gas Inventory / National Inventory Report (NIR),
CAN,Canada,mitigation,V.3,Aggregate sources & non-CO₂ emissions sources on land,1,10,1.0,T1,0,CAN-001,Canada's Official Greenhouse Gas Inventory / National Inventory Report (NIR),
CAN,Canada,mitigation,VI.1,Other Scope 3,1,10,1.0,T1,0,CAN-003,Canadian System of Environmental-Economic Accounts — energy use & GHG (SEEA PFA),
CAN,Canada,adaptation,CCRA-001,Age Distribution,1,10,1.0,T1,1,CAN-A001,"Statistics Canada Census of Population 2021 — Dissemination Area profiles (age, income, housing, dwelling)",
CAN,Canada,adaptation,CCRA-002,Agricultural GDP share,1,1,0.1,T1,1,CAN-A016,AAFC Annual Crop Inventory + Census of Agriculture,
CAN,Canada,adaptation,CCRA-003,Agricultural establishment density,1,1,0.1,T1,1,CAN-A016,AAFC Annual Crop Inventory + Census of Agriculture,
CAN,Canada,adaptation,CCRA-004,Agricultural land area,1,1,0.1,T1,1,CAN-A016,AAFC Annual Crop Inventory + Census of Agriculture,
CAN,Canada,adaptation,CCRA-005,Areas of global conservation value,1,1,0.1,T1,1,CAN-A018,Canadian Protected and Conserved Areas Database (CPCAD) / WDPA,
CAN,Canada,adaptation,CCRA-006,Biodiversity Intactness Index (BII),1,1,0.1,T3,1,CAN-A019,Biodiversity Intactness Index + KBAs (Canada),
CAN,Canada,adaptation,CCRA-007,Confirmed disease cases,1,1,0.1,T1,0,CAN-A005,CCHS / provincial health indicators; PHAC disease surveillance (aggregates),
CAN,Canada,adaptation,CCRA-008,Dependence on large-scale irrigation,1,1,0.1,T1,1,CAN-A016,AAFC Annual Crop Inventory + Census of Agriculture,
CAN,Canada,adaptation,CCRA-009,Electricity consumption,1,1,0.1,T1,0,CAN-A025,StatCan / CER energy use; provincial utility open data; energy poverty research,
CAN,Canada,adaptation,CCRA-010,Energy poverty,1,10,1.0,T1,1,CAN-A001,"Statistics Canada Census of Population 2021 — Dissemination Area profiles (age, income, housing, dwelling)",
CAN,Canada,adaptation,CCRA-011,Flood Threat Index,1,10,1.0,T1,1,CAN-A006,"NRCan Flood Susceptibility Mapping (historic, trends, future) — national ~30 m",
CAN,Canada,adaptation,CCRA-012,Food production and marketing,1,1,0.1,T1,1,CAN-A016,AAFC Annual Crop Inventory + Census of Agriculture,
